threshold_meV_per_atom,metric,coordinate_endpoint,regret_min_ci_low_95,regret_min_median,regret_min_ci_high_95,regret_max_ci_low_95,regret_max_median,regret_max_ci_high_95,positive_regret_frequency,bootstrap_replicates
0,ap,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,ap,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,ap,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,ap,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,ap,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,auroc,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,auroc,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,auroc,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,auroc,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,auroc,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_100,alex_pbe_source_coordinate,0.0,0.0,5.0,0.0,1.0,7.0,0.511,1000
0,expected_stable_hits_at_100,alexmp20_source_coordinate,0.0,0.0,5.0,0.0,1.0,6.0,0.573,1000
0,expected_stable_hits_at_100,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_100,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_1000,alex_pbe_matched_pool_coordinate,0.0,3.0,7.0,0.0,3.0,7.0,0.877,1000
0,expected_stable_hits_at_1000,alex_pbe_source_coordinate,0.0,0.0,17.0,0.0,1.0,17.0,0.52,1000
0,expected_stable_hits_at_1000,alexmp20_source_coordinate,0.0,2.0,17.0,0.0,3.0,18.0,0.597,1000
0,expected_stable_hits_at_1000,mp_matched_pool_coordinate,0.0,1.0,7.0,0.0,1.0,7.0,0.539,1000
0,expected_stable_hits_at_1000,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_300,alex_pbe_source_coordinate,0.0,0.0,8.0,0.0,0.0,9.0,0.266,1000
0,expected_stable_hits_at_300,alexmp20_source_coordinate,0.0,0.0,6.0,0.0,0.0,8.0,0.246,1000
0,expected_stable_hits_at_300,mp_matched_pool_coordinate,0.0,0.0,3.0,0.0,0.0,3.0,0.48,1000
0,expected_stable_hits_at_300,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_500,alex_pbe_matched_pool_coordinate,0.0,0.0,2.0,0.0,0.0,2.0,0.136,1000
0,expected_stable_hits_at_500,alex_pbe_source_coordinate,0.0,0.0,11.024999999999977,0.0,0.0,12.0,0.491,1000
0,expected_stable_hits_at_500,alexmp20_source_coordinate,0.0,0.0,9.0,0.0,0.0,9.0,0.417,1000
0,expected_stable_hits_at_500,mp_matched_pool_coordinate,0.0,0.0,6.0,0.0,0.0,6.024999999999977,0.328,1000
0,expected_stable_hits_at_500,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_5000,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1000
0,expected_stable_hits_at_5000,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_5000,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,expected_stable_hits_at_5000,mp_matched_pool_coordinate,0.0,0.0,13.0,0.0,0.0,13.0,0.169,1000
0,expected_stable_hits_at_5000,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,normalized_ap,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,normalized_ap,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,normalized_ap,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,normalized_ap,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,normalized_ap,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,ap,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,ap,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,ap,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,ap,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,ap,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,auroc,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,auroc,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,auroc,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,auroc,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,auroc,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_100,alex_pbe_source_coordinate,0.0,0.0,6.0,0.0,1.0,7.0,0.599,1000
10,expected_stable_hits_at_100,alexmp20_source_coordinate,0.0,0.0,6.0,0.0,1.0,7.0,0.556,1000
10,expected_stable_hits_at_100,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_100,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_1000,alex_pbe_matched_pool_coordinate,0.0,3.0,7.0,0.0,3.0,8.0,0.91,1000
10,expected_stable_hits_at_1000,alex_pbe_source_coordinate,0.0,0.0,10.0,0.0,0.0,11.0,0.384,1000
10,expected_stable_hits_at_1000,alexmp20_source_coordinate,0.0,0.0,13.0,0.0,1.0,13.0,0.512,1000
10,expected_stable_hits_at_1000,mp_matched_pool_coordinate,0.0,2.0,6.0,0.0,2.0,6.0,0.788,1000
10,expected_stable_hits_at_1000,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_300,alex_pbe_source_coordinate,0.0,0.0,10.0,0.0,0.0,11.0,0.374,1000
10,expected_stable_hits_at_300,alexmp20_source_coordinate,0.0,0.0,7.0,0.0,0.0,8.0,0.388,1000
10,expected_stable_hits_at_300,mp_matched_pool_coordinate,0.0,0.0,2.0,0.0,0.0,2.0,0.33,1000
10,expected_stable_hits_at_300,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_500,alex_pbe_matched_pool_coordinate,0.0,0.0,1.0,0.0,0.0,1.0,0.06,1000
10,expected_stable_hits_at_500,alex_pbe_source_coordinate,0.0,0.0,11.0,0.0,1.0,12.0,0.52,1000
10,expected_stable_hits_at_500,alexmp20_source_coordinate,0.0,0.0,7.0,0.0,0.0,8.0,0.442,1000
10,expected_stable_hits_at_500,mp_matched_pool_coordinate,0.0,0.0,3.0,0.0,0.0,3.0,0.251,1000
10,expected_stable_hits_at_500,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_5000,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.015,1000
10,expected_stable_hits_at_5000,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_5000,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,expected_stable_hits_at_5000,mp_matched_pool_coordinate,0.0,5.0,25.0,0.0,5.0,25.0,0.671,1000
10,expected_stable_hits_at_5000,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,normalized_ap,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,normalized_ap,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,normalized_ap,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,normalized_ap,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
10,normalized_ap,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,ap,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,ap,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,ap,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,ap,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,ap,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,auroc,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,auroc,alex_pbe_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,auroc,alexmp20_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,auroc,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,auroc,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,expected_stable_hits_at_100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,expected_stable_hits_at_100,alex_pbe_source_coordinate,0.0,0.0,5.0,0.0,1.0,6.0,0.54,1000
25,expected_stable_hits_at_100,alexmp20_source_coordinate,0.0,0.0,4.0,0.0,0.0,6.0,0.486,1000
25,expected_stable_hits_at_100,mp_matched_pool_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,expected_stable_hits_at_100,mp_source_coordinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
25,expected_stable_hits_at_1000,alex_pbe_matched_pool_coordinate,0.0,1.0,5.0,0.0,1.0,5.0,0.769,1000
25,expected_stable_hits_at_1000,alex_pbe_source_coordinate,0.0,0.0,8.0,0.0,0.0,9.0,0.327,1000
