threshold_meV_per_atom,coordinate_endpoint,metric,model_name,winner_replicate_n,winner_frequency,bootstrap_replicates
0,mp_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
0,mp_source_coordinate,auroc,CHGNet,0,0.0,1000
0,mp_source_coordinate,auroc,M3GNet,0,0.0,1000
0,mp_source_coordinate,auroc,MACE-MP,1000,1.0,1000
0,mp_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
0,mp_source_coordinate,ap,CHGNet,0,0.0,1000
0,mp_source_coordinate,ap,M3GNet,0,0.0,1000
0,mp_source_coordinate,ap,MACE-MP,1000,1.0,1000
0,mp_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
0,mp_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
0,mp_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
0,mp_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
0,mp_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,153,0.153,1000
0,mp_source_coordinate,expected_stable_hits_at_100,CHGNet,324,0.324,1000
0,mp_source_coordinate,expected_stable_hits_at_100,M3GNet,548,0.548,1000
0,mp_source_coordinate,expected_stable_hits_at_100,MACE-MP,353,0.353,1000
0,mp_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,152,0.152,1000
0,mp_source_coordinate,expected_stable_hits_at_300,CHGNet,57,0.057,1000
0,mp_source_coordinate,expected_stable_hits_at_300,M3GNet,783,0.783,1000
0,mp_source_coordinate,expected_stable_hits_at_300,MACE-MP,105,0.105,1000
0,mp_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,251,0.251,1000
0,mp_source_coordinate,expected_stable_hits_at_500,CHGNet,80,0.08,1000
0,mp_source_coordinate,expected_stable_hits_at_500,M3GNet,380,0.38,1000
0,mp_source_coordinate,expected_stable_hits_at_500,MACE-MP,433,0.433,1000
0,mp_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
0,mp_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
0,mp_source_coordinate,expected_stable_hits_at_1000,M3GNet,264,0.264,1000
0,mp_source_coordinate,expected_stable_hits_at_1000,MACE-MP,777,0.777,1000
0,mp_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
0,mp_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
0,mp_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
0,mp_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
0,alexmp20_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
0,alexmp20_source_coordinate,auroc,CHGNet,0,0.0,1000
0,alexmp20_source_coordinate,auroc,M3GNet,0,0.0,1000
0,alexmp20_source_coordinate,auroc,MACE-MP,1000,1.0,1000
0,alexmp20_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
0,alexmp20_source_coordinate,ap,CHGNet,0,0.0,1000
0,alexmp20_source_coordinate,ap,M3GNet,0,0.0,1000
0,alexmp20_source_coordinate,ap,MACE-MP,1000,1.0,1000
0,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
0,alexmp20_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
0,alexmp20_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
0,alexmp20_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,353,0.353,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_100,CHGNet,182,0.182,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_100,M3GNet,421,0.421,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_100,MACE-MP,400,0.4,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,57,0.057,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_300,CHGNet,24,0.024,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_300,M3GNet,864,0.864,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_300,MACE-MP,123,0.123,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,257,0.257,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_500,CHGNet,10,0.01,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_500,M3GNet,495,0.495,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_500,MACE-MP,368,0.368,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_1000,M3GNet,857,0.857,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_1000,MACE-MP,182,0.182,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
0,alexmp20_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
0,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
0,alex_pbe_source_coordinate,auroc,CHGNet,0,0.0,1000
0,alex_pbe_source_coordinate,auroc,M3GNet,0,0.0,1000
0,alex_pbe_source_coordinate,auroc,MACE-MP,1000,1.0,1000
0,alex_pbe_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
0,alex_pbe_source_coordinate,ap,CHGNet,0,0.0,1000
0,alex_pbe_source_coordinate,ap,M3GNet,0,0.0,1000
0,alex_pbe_source_coordinate,ap,MACE-MP,1000,1.0,1000
0,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
0,alex_pbe_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
0,alex_pbe_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
0,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,39,0.039,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_100,CHGNet,308,0.308,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_100,M3GNet,679,0.679,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_100,MACE-MP,225,0.225,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,67,0.067,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_300,CHGNet,9,0.009,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_300,M3GNet,903,0.903,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_300,MACE-MP,71,0.071,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,91,0.091,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_500,CHGNet,30,0.03,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_500,M3GNet,608,0.608,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_500,MACE-MP,361,0.361,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_1000,M3GNet,764,0.764,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_1000,MACE-MP,285,0.285,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
0,alex_pbe_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
0,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0,0.0,1000
0,mp_matched_pool_coordinate,auroc,CHGNet,0,0.0,1000
0,mp_matched_pool_coordinate,auroc,M3GNet,0,0.0,1000
0,mp_matched_pool_coordinate,auroc,MACE-MP,1000,1.0,1000
0,mp_matched_pool_coordinate,ap,ALIGNN-FF,0,0.0,1000
0,mp_matched_pool_coordinate,ap,CHGNet,0,0.0,1000
0,mp_matched_pool_coordinate,ap,M3GNet,0,0.0,1000
0,mp_matched_pool_coordinate,ap,MACE-MP,1000,1.0,1000
0,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
0,mp_matched_pool_coordinate,normalized_ap,CHGNet,0,0.0,1000
0,mp_matched_pool_coordinate,normalized_ap,M3GNet,0,0.0,1000
