threshold_meV_per_atom,coordinate_endpoint,model_name,metric,bootstrap_ci_low_95,bootstrap_median,bootstrap_ci_high_95
0,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,2722.975,2788.0,2865.025
0,alex_pbe_source_coordinate,ALIGNN-FF,normalized_ap,0.22385543908891642,0.23617725928694064,0.24969267005792728
0,alex_pbe_source_coordinate,CHGNet,ap,0.5853124228853154,0.5954107252606774,0.6055078578124519
0,alex_pbe_source_coordinate,CHGNet,auroc,0.7955833698089048,0.8022807218901438,0.8091718973395802
0,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_100,35.975,46.0,57.0
0,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_1000,544.975,576.0,606.025
0,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_300,135.0,153.0,170.02499999999998
0,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_500,251.0,276.0,299.0
0,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_5000,3248.0,3315.5,3379.0
0,alex_pbe_source_coordinate,CHGNet,normalized_ap,0.38092079299126047,0.394828951511105,0.4084276108280542
0,alex_pbe_source_coordinate,M3GNet,ap,0.5739219830273163,0.5839072587107927,0.5944578858647686
0,alex_pbe_source_coordinate,M3GNet,auroc,0.7696155421809082,0.776512614499287,0.7830783329194206
0,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_100,37.0,47.0,58.0
0,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_1000,571.0,603.0,636.0
0,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_300,143.0,161.0,179.0
0,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_500,261.975,285.0,308.0
0,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_5000,3265.0,3332.0,3400.0
0,alex_pbe_source_coordinate,M3GNet,normalized_ap,0.36378974142295734,0.3776403055822488,0.39178591761541587
0,alex_pbe_source_coordinate,MACE-MP,ap,0.6304612685392905,0.6401761060618971,0.6500445080782687
0,alex_pbe_source_coordinate,MACE-MP,auroc,0.8358858859014945,0.8418133797433753,0.8478702117192314
0,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_100,35.975,45.0,56.0
0,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_1000,565.975,598.0,629.0
0,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_300,137.0,155.0,173.0
0,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_500,259.0,283.0,305.025
0,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_5000,3385.0,3448.5,3518.0
0,alex_pbe_source_coordinate,MACE-MP,normalized_ap,0.44864842758411944,0.4616197653001204,0.4753572849398654
0,alexmp20_source_coordinate,ALIGNN-FF,ap,0.5229192095830152,0.5321867800435627,0.5421189225397561
0,alexmp20_source_coordinate,ALIGNN-FF,auroc,0.6765139771032239,0.6836640968058163,0.6905539608581348
0,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_100,59.0,70.0,79.0
0,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,583.0,615.0,645.025
0,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_300,172.0,190.0,206.0
0,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_500,297.0,319.0,339.0
