threshold_meV_per_atom,metric,model_a,model_b,margin_range_ci_low_95,margin_range_median,margin_range_ci_high_95,sign_change_frequency,bootstrap_replicates
50,expected_stable_hits_at_500,ALIGNN-FF,MACE-MP,3.0,9.0,17.0,0.503,1000
50,expected_stable_hits_at_500,CHGNet,M3GNet,2.0,6.0,12.0,0.443,1000
50,expected_stable_hits_at_500,CHGNet,MACE-MP,1.0,4.0,9.0,0.335,1000
50,expected_stable_hits_at_500,M3GNet,MACE-MP,2.0,5.0,11.0,0.342,1000
50,expected_stable_hits_at_5000,ALIGNN-FF,CHGNet,121.0,156.0,194.0,0.0,1000
50,expected_stable_hits_at_5000,ALIGNN-FF,M3GNet,135.0,170.0,205.0,0.0,1000
50,expected_stable_hits_at_5000,ALIGNN-FF,MACE-MP,182.975,219.0,256.0,0.0,1000
50,expected_stable_hits_at_5000,CHGNet,M3GNet,19.0,43.0,72.0,0.723,1000
50,expected_stable_hits_at_5000,CHGNet,MACE-MP,56.0,76.0,100.0,0.949,1000
50,expected_stable_hits_at_5000,M3GNet,MACE-MP,35.0,53.0,75.0,0.017,1000
50,normalized_ap,ALIGNN-FF,CHGNet,0.04416869665912984,0.05858755754322176,0.0739677404038177,0.0,1000
50,normalized_ap,ALIGNN-FF,M3GNet,0.04203239598896754,0.05580385259929066,0.06968378616777805,0.0,1000
50,normalized_ap,ALIGNN-FF,MACE-MP,0.0609508116960802,0.07673093359164831,0.09268633279473308,0.0,1000
50,normalized_ap,CHGNet,M3GNet,0.01643918620455415,0.02475140471272058,0.033901895702714346,0.0,1000
50,normalized_ap,CHGNet,MACE-MP,0.03822359215209584,0.046684102840601205,0.0555023973000006,0.0,1000
50,normalized_ap,M3GNet,MACE-MP,0.018674868208632837,0.028434895696903772,0.03869034469162146,0.0,1000
