threshold_meV_per_atom,metric,model_a,model_b,coordinate_endpoint,pairwise_margin_a_minus_b_ci_low_95,pairwise_margin_a_minus_b_median,pairwise_margin_a_minus_b_ci_high_95,difference_in_differences_vs_mp_ci_low_95,difference_in_differences_vs_mp_median,difference_in_differences_vs_mp_ci_high_95
0,ap,ALIGNN-FF,CHGNet,alex_pbe_matched_pool_coordinate,-0.14647282814763796,-0.14013946889962864,-0.13374999426770454,-0.028255127762277777,-0.023041911722371466,-0.017837510015187387
0,ap,ALIGNN-FF,CHGNet,alex_pbe_source_coordinate,-0.11257876167920484,-0.10585948065851161,-0.09949808485019888,0.005712734700937352,0.011043182500967752,0.016692984851185037
0,ap,ALIGNN-FF,CHGNet,alexmp20_source_coordinate,-0.11982859562984007,-0.11266784143546371,-0.1064911313239151,-0.0005510746811388939,0.004264215674644356,0.008879825745576827
0,ap,ALIGNN-FF,CHGNet,mp_matched_pool_coordinate,-0.1375984631454106,-0.13139569180485694,-0.12499834984882248,-0.01950181820601512,-0.014462335199049381,-0.009287217126907074
0,ap,ALIGNN-FF,CHGNet,mp_source_coordinate,-0.12350720247776086,-0.11698451838740526,-0.11065469888610553,0.0,0.0,0.0
0,ap,ALIGNN-FF,M3GNet,alex_pbe_matched_pool_coordinate,-0.1176174488105503,-0.11166395777223831,-0.10578549872271392,-0.0175049416242808,-0.012026719730177271,-0.0066948060904896915
0,ap,ALIGNN-FF,M3GNet,alex_pbe_source_coordinate,-0.10157187739008221,-0.09443614979790485,-0.0883877830637876,-0.0004656742275270185,0.005051965918035889,0.010791379407443473
0,ap,ALIGNN-FF,M3GNet,alexmp20_source_coordinate,-0.10450789190167299,-0.09753093499479731,-0.09144297988238996,-0.0024824560222810404,0.002062494480875865,0.006877725606498881
0,ap,ALIGNN-FF,M3GNet,mp_matched_pool_coordinate,-0.11022013729880493,-0.10400739489836397,-0.09796934125504159,-0.009452258796303212,-0.004371829396237759,0.0008287297013536404
0,ap,ALIGNN-FF,M3GNet,mp_source_coordinate,-0.10580659717628324,-0.09952369238742742,-0.09345350833068301,0.0,0.0,0.0
0,ap,ALIGNN-FF,MACE-MP,alex_pbe_matched_pool_coordinate,-0.1713728573516835,-0.1648695508186968,-0.1580341092046374,-0.014118809923527483,-0.008958167425006158,-0.0035636928806885185
0,ap,ALIGNN-FF,MACE-MP,alex_pbe_source_coordinate,-0.1574073876538501,-0.15068889465956906,-0.14370105191475463,-0.000633711249304096,0.005135663385757744,0.010793745999517244
0,ap,ALIGNN-FF,MACE-MP,alexmp20_source_coordinate,-0.16169068878952306,-0.1548157212923702,-0.14827851726961824,-0.003980117818087711,0.0009626586643048385,0.005542228918580571
0,ap,ALIGNN-FF,MACE-MP,mp_matched_pool_coordinate,-0.1629017821481339,-0.15638236044961684,-0.14978272535196105,-0.005442989403532467,-0.00046651965351707236,0.004804262284248542
0,ap,ALIGNN-FF,MACE-MP,mp_source_coordinate,-0.16268384604588298,-0.1559772832134793,-0.14889471096218157,0.0,0.0,0.0
0,ap,CHGNet,M3GNet,alex_pbe_matched_pool_coordinate,0.02533153630706506,0.028310879841703274,0.03138797393451597,0.007575165886931914,0.010991180990171767,0.014104519349224678
