denominator,n,columns
denominator_d0_formula,34962,19
denominator_d1_mp_alexmp20_exact,43139,20
denominator_d2_triple_single_match,36802,23
denominator_d3_jarvis_overlap,36802,23
denominator_d4_source_union_pool,36802,22
denominator_d5_model_complete,36801,25
