row_id,mp_id,mattergen_id,official_alexandria_id,jarvis_id,formula,reduced_formula,chemical_system,structure_hash,match_status,duplicate_status,multiple_match_status,has_mp,has_alexmp20,has_alex_pbe,has_jarvis,in_d0_formula,in_d1_mp_alexmp20_exact,in_d2_triple_single_match,in_d3_jarvis_overlap,in_d4_source_union_pool,in_d5_model_complete,jarvis_match_count
SAS36K-00001,mp-1000,,agm003157758,JVASP-114098;JVASP-1267,BaTe,BaTe,Ba-Te,fa19cafe4853b30245756632d123cef9eef4b2cb86d798608a80040b6f1c29a8,jarvis_exact_structure_overlap,multiple_match,multiple_match,True,True,True,True,True,True,True,True,False,False,2.0
SAS36K-00002,mp-10000,,agm003140346,JVASP-15837,Hf2S,Hf2S,Hf-S,41ed7b9af2f9533b83d6e55091ff7dad7c499a059d13b40ef33e247a21fe5041,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00003,mp-10003,,agm003209195,JVASP-58233,Nb4CoSi,Nb4CoSi,Co-Nb-Si,617a54ee4ce35c9b1ef6a1ca150ae1498f735402c7f371cf75dda7245146bd51,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00004,mp-10004,,agm003219913,JVASP-153642;JVASP-21565,Mo3P,Mo3P,Mo-P,9077b912761cd164acbd165c5118f4f479f03c1e8830f83bcd1eb876f63d23db,jarvis_exact_structure_overlap,multiple_match,multiple_match,True,True,True,True,True,True,True,True,False,False,2.0
SAS36K-00005,mp-10009,,agm005249592,JVASP-4666,GaTe,GaTe,Ga-Te,3e1e1fc4d51fdbb6d869183269a4ccfc395cd194e89e57cfefd46169207a7b7f,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00006,mp-1001,,agm003200922,JVASP-85829;JVASP-86328,BaN2,BaN2,Ba-N,9457c5be19ee45d04b5c31648def285fd2de76c233f8763c3329a741965e9320,jarvis_exact_structure_overlap,multiple_match,multiple_match,True,True,True,True,True,True,True,True,False,False,2.0
SAS36K-00007,mp-10010,,agm003194282,JVASP-15840,Al(CoSi)2,Al(CoSi)2,Al-Co-Si,0317426897793f26d8fe6ecbbf57fe5190c8d4c82f1851a0e4002271b5dadc45,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00008,mp-1001012,,agm003214202,JVASP-35946,Sc2ZnS4,Sc2ZnS4,S-Sc-Zn,9225cafb1a8b013dcf2dd927e9459de3d4c3a4f4784bf0ea8db5bcaba7c3ca5e,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00009,mp-1001015,,agm003215164,JVASP-35947,Y2ZnS4,Y2ZnS4,S-Y-Zn,016b4158f41d49ae20ee90d0a691d4ed1eec2ddffe4d614b83287f124344f60a,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00010,mp-1001016,,agm003214203,JVASP-35948,Sc2ZnSe4,Sc2ZnSe4,Sc-Se-Zn,5458f95777a02c4dd2bce503bc0b74c8b35f455218109d8ea6c7918291f27579,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00011,mp-1001017,,agm003214954,JVASP-35949,Zn(InSe2)2,Zn(InSe2)2,In-Se-Zn,aeb44c2b2a8f99a8fa925517c101cb1944879e2236fcb14533b45d83551ace6d,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00012,mp-1001019,,agm003214238,JVASP-35950,Mg(ScSe2)2,Mg(ScSe2)2,Mg-Sc-Se,2c1cc046709754b6571c4b2e5a47518d332248065889d73616f5ecfdedb2fee5,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00013,mp-1001021,,agm003215173,JVASP-35951,Y2ZnSe4,Y2ZnSe4,Se-Y-Zn,97769ac916e3cbe1969ee1deaf4dd2aa6c2fe5599750a65028200bb3d859b5c0,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00014,mp-1001022,,agm003204634,,Cu2PPd2,Cu2PPd2,Cu-P-Pd,a464cb24d8f208fe4cc5551b573720419029a42c67540a216a85fd5d01ab2306,no_jarvis_exact_match,no_match,no_match,True,True,True,False,True,True,True,False,False,False,
SAS36K-00015,mp-1001024,,agm003214150,JVASP-35954,Y2MgS4,Y2MgS4,Mg-S-Y,1905b3928b7d594fe6d086fccc2be90cb71ecf130a6d235aa380af8372b57078,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00016,mp-1001034,,agm003215917,JVASP-35955,Mg(InSe2)2,Mg(InSe2)2,In-Mg-Se,0e2462b276b77ed19da3ca23db45629919842a07766600de4c792b8ea92dba39,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00017,mp-1001080,,agm003212508,JVASP-32138,H2CO3,H2CO3,C-H-O,aec5d8e3bd4d2de569167c2e068ef20ae403ae5108aebec57d71c62b633859f8,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00018,mp-10014,,agm003160933,JVASP-15841;JVASP-588;JVASP-78821,TaS2,TaS2,S-Ta,98b8018f0e60a7ad74d34f055cfca9390d1be72959554e4d2871b7b91fa848c3,jarvis_exact_structure_overlap,multiple_match,multiple_match,True,True,True,True,True,True,True,True,False,False,3.0
SAS36K-00019,mp-10015,,agm001191357,JVASP-15842,SiOs,SiOs,Os-Si,19f0d024241ddd940b1a400c35f19af22848b438c65309817b1bcb2113a4c3db,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00020,mp-1001581,,agm000999997,JVASP-35959,LiC6,LiC6,C-Li,f78bee740bc81d89e57f46cd081ac4b360cb504c2f3f9c29873850f98dab4e8a,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00021,mp-1001600,,agm003212870,JVASP-35960,HfB12,HfB12,B-Hf,7c812e31bd8c3ade4d61eb46619f3ad15562cb17b4f366920816ca12cfc0648c,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00022,mp-1001603,,agm003188362,JVASP-35962,LuNiC2,LuNiC2,C-Lu-Ni,d45e9f58db38b2730aabfbcec08587857e9424e5ed01bdc89329ca25ccc3296f,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00023,mp-1001604,,agm003187669,JVASP-35963,LuTlS2,LuTlS2,Lu-S-Tl,3a8d4e9fface50b59eea77c775e1ac4bb472c167f2f8e9ff65e79037d48204af,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00024,mp-1001606,,agm003187262,JVASP-35965,LuFeC2,LuFeC2,C-Fe-Lu,5d1a26e8ce3ba77d6fc5e02f68672c850003238eb0460ff1c24f85a6267070c0,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00025,mp-1001611,,agm003187361,JVASP-35966,LuTlSe2,LuTlSe2,Lu-Se-Tl,70503a124c7c80542615ab80fa92a9af140f92251624a895e2937a80da86efb0,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00026,mp-1001612,,agm002241920,JVASP-35967,LuSi,LuSi,Lu-Si,04b1061ac445acbdd1ae73ad846857183a30ef398d0e29fcc5afc0fa68c9ae8c,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00027,mp-1001613,,agm003187285,JVASP-35968,LuGa,LuGa,Ga-Lu,b96e49a4f71970d1be21cca7fa5fc548fedf20572608303aec78f8b080b61401,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00028,mp-1001614,,agm003187524,JVASP-35969,LuCoC2,LuCoC2,C-Co-Lu,30c41a9fe5833b1b89ca693d5227eb43b0eb95f38da36f4b7d8cccd6c17483b1,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00029,mp-1001615,,agm003186865,JVASP-35970,LiZrSe2,LiZrSe2,Li-Se-Zr,e1a52c00ae182e7d3aa33832d508e8b0e5e24a3303b665825f83da73bf8bc674,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00030,mp-1001780,,agm003187664,JVASP-35971,LuCuS2,LuCuS2,Cu-Lu-S,8133ce6c709bb589f293c2b843b4a9adbe0fd5fd32751e9bb6d18375217cc973,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00031,mp-1001783,,agm003184951,JVASP-35972,LiSnS2,LiSnS2,Li-S-Sn,62d3c58946fde6a07f5e0aae011ecb9638999412d7b480f20fa382caf341f66a,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00032,mp-1001784,,agm003186851,JVASP-35973,LiTiS2,LiTiS2,Li-S-Ti,35326d42faeac061860f0341215becfef8bb09ef3977fa0d0f9f0a272c2e1369,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00033,mp-1001786,,agm003186847,JVASP-35975,LiScS2,LiScS2,Li-S-Sc,3677d9aabaa1df61b735bfc9020dbab1f46e15ce70bb76363672391b3c6c2090,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00034,mp-1001787,,agm003190005,JVASP-79442,LiRh3,LiRh3,Li-Rh,9c1286dd8f3ff1e39cafa5d55b23f4333a77cd176be10f92ca87a3ed49254588,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00035,mp-1001833,,agm003157337,JVASP-35987,InBi,InBi,Bi-In,c6e06b470023b2facf35116d966a6e98f1b37850d734c3eea99d7deda4f445df,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00036,mp-1001836,,agm002162292,JVASP-35990,MnGa,MnGa,Ga-Mn,7b7f0a37329ce0b2c97b6ca600cbba470e561d1a3b8017c15fb652a373b6b8e2,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00037,mp-1002063,,agm003200607,JVASP-36000;JVASP-8397,SnS2,SnS2,S-Sn,2ce2dca3598e23f247d627ce476a20c210129038ce2311db81b275735fe867ef,jarvis_exact_structure_overlap,multiple_match,multiple_match,True,True,True,True,True,True,True,True,False,False,2.0
SAS36K-00038,mp-1002104,,agm002375043,,LaPt,LaPt,La-Pt,1ecabf16a31eef363cbe560d58331452d6e6a894de081aaf0bedd1f37fd4ec32,no_jarvis_exact_match,no_match,no_match,True,True,True,False,True,True,True,False,False,False,
SAS36K-00039,mp-1002107,,agm002379878,JVASP-85127,LaRh,LaRh,La-Rh,e97bda0c3f604cdde811ec4cc6307871b0457ae48573964d785208cd28da159e,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00040,mp-1002115,,agm003187332,,LaPd,LaPd,La-Pd,b1dd5fcdab1d5c8f12fc6f73f3963733bca267301fc243ec77d2ee31a590ecc6,no_jarvis_exact_match,no_match,no_match,True,True,True,False,True,True,True,False,False,False,
SAS36K-00041,mp-1002123,,agm003823996,JVASP-36014,KZrS2,KZrS2,K-S-Zr,6bbaeaa51e9e1d370b7c77665e86f25c8648776cb79e7ef0ef33daa3e4ed1649,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00042,mp-1002133,,agm001418065,JVASP-85129,LaGa,LaGa,Ga-La,fb7586cbbaf44bbbded134c3875a6a57f1f532dc9d4e64ef17bfc90fa281f556,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00043,mp-1002136,,agm002283275,JVASP-98176,LaAu,LaAu,Au-La,99a66812fb6e6903d8e3d8890c4b6e197adaad402e1e8e9f614f9211329c52a5,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00044,mp-1002568,,agm003274261,JVASP-94827,MgMn2O4,MgMn2O4,Mg-Mn-O,58c68fc50026f2f539ea2dff049942882e0a78aa3dcde2bf3b8339a8186c8c23,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00045,mp-1002570,,agm002169863,JVASP-79450,KMnO2,KMnO2,K-Mn-O,a9e2272113fe8aa5df753d0058fc455e1520ea3a18a31151c1e41d35f7a1b0df,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
SAS36K-00046,mp-1002572,,agm002158359,,LiMnO2,LiMnO2,Li-Mn-O,97243536f5b66c1632b32e5313343a38cf6028bebbf7e8756a1be7d611ddb48c,no_jarvis_exact_match,no_match,no_match,True,True,True,False,True,True,True,False,False,False,
SAS36K-00047,mp-1002573,,agm002153988,JVASP-79451,MnHO2,MnHO2,H-Mn-O,b3550615c67cc097fffab3ab28f73c23964398ff99993f3db5646cab29ae4d91,jarvis_exact_structure_overlap,single_match,single_match,True,True,True,True,True,True,True,True,False,False,1.0
