scope,model,metric,min,max,spread,label_view
within_model_across_label_views,ALIGNN-FF,auroc,0.463363173945125,0.4884344187105304,0.025071244765405398,
within_model_across_label_views,CHGNet,auroc,0.4663785149428588,0.487977057724826,0.02159854278196721,
within_model_across_label_views,M3GNet,auroc,0.4806665419120528,0.498091234229729,0.017424692317676183,
within_model_across_label_views,MACE-MP,auroc,0.4871635028839151,0.5061237882519474,0.018960285368032292,
within_label_view_across_models,,auroc,0.4813147602052939,0.49782486815098625,0.016510107945692354,alex_pbe_common_pool
within_label_view_across_models,,auroc,0.48128657857347734,0.4990342522862651,0.017747673712787737,alex_pbe_native
within_label_view_across_models,,auroc,0.4707656433112909,0.49645415984538177,0.025688516534090877,alexmp20_native
within_label_view_across_models,,auroc,0.46831448584861424,0.4946128151105361,0.026298329261921882,all_source_native
within_label_view_across_models,,auroc,0.487977057724826,0.5061237882519474,0.018146730527121346,audit_view
within_label_view_across_models,,auroc,0.47714848087546924,0.4955174004314135,0.018368919555944274,common_pool
within_label_view_across_models,,auroc,0.4725325785828121,0.4975649371633023,0.025032358580490188,consensus
within_label_view_across_models,,auroc,0.4725325785828121,0.4975649371633023,0.025032358580490188,consensus_stable
within_label_view_across_models,,auroc,0.47981949170935684,0.49488474319718373,0.015065251487826892,mp_common_pool
within_label_view_across_models,,auroc,0.463363173945125,0.4871635028839151,0.023800328938790083,mp_native
within_model_across_label_views,ALIGNN-FF,auprc,0.24568878296055524,0.5254537302738114,0.27976494731325613,
within_model_across_label_views,CHGNet,auprc,0.24775629953573888,0.530031024295923,0.2822747247601841,
within_model_across_label_views,M3GNet,auprc,0.25546419810959065,0.539131123792445,0.28366692568285434,
within_model_across_label_views,MACE-MP,auprc,0.26115154888040665,0.5449425323952938,0.28379098351488713,
within_label_view_across_models,,auprc,0.5254537302738114,0.5449425323952938,0.019488802121482407,alex_pbe_common_pool
within_label_view_across_models,,auprc,0.31274951213680524,0.32858827465358625,0.015838762516781013,alex_pbe_native
within_label_view_across_models,,auprc,0.3350603054492114,0.35922800426466395,0.024167698815452554,alexmp20_native
within_label_view_across_models,,auprc,0.31253992741032377,0.33690573522403267,0.024365807813708895,all_source_native
within_label_view_across_models,,auprc,0.24568878296055524,0.26115154888040665,0.015462765919851407,audit_view
within_label_view_across_models,,auprc,0.4963726286121347,0.5182962046888805,0.021923576076745777,common_pool
within_label_view_across_models,,auprc,0.3600787647691679,0.38636990805521054,0.02629114328604265,consensus
within_label_view_across_models,,auprc,0.3600787647691679,0.38636990805521054,0.02629114328604265,consensus_stable
within_label_view_across_models,,auprc,0.4680754783355868,0.4869154345190473,0.01883995618346046,mp_common_pool
within_label_view_across_models,,auprc,0.38004042391434645,0.405154105837503,0.02511368192315655,mp_native
within_model_across_label_views,ALIGNN-FF,f1,0.22515020554442922,0.5206636350007496,0.2955134294563204,
within_model_across_label_views,CHGNet,f1,0.2232528723516391,0.5198141022437659,0.2965612298921268,
within_model_across_label_views,M3GNet,f1,0.24043427848634974,0.5245115186647344,0.2840772401783847,
within_model_across_label_views,MACE-MP,f1,0.25466427743227577,0.5292089350857029,0.2745446576534271,
within_label_view_across_models,,f1,0.5198141022437659,0.5292089350857029,0.009394832841936984,alex_pbe_common_pool
within_label_view_across_models,,f1,0.28901116951379763,0.31521024967148487,0.026199080157687238,alex_pbe_native
within_label_view_across_models,,f1,0.31090225563909774,0.3426315789473684,0.03172932330827066,alexmp20_native
within_label_view_across_models,,f1,0.28224372901441835,0.31582065968793205,0.033576930673513694,all_source_native
within_label_view_across_models,,f1,0.2232528723516391,0.25466427743227577,0.03141140508063667,audit_view
within_label_view_across_models,,f1,0.48337983743782603,0.49751304136843383,0.014133203930607796,common_pool
within_label_view_across_models,,f1,0.32981975334668495,0.36217982502371665,0.0323600716770317,consensus
within_label_view_across_models,,f1,0.32981975334668495,0.36217982502371665,0.0323600716770317,consensus_stable
within_label_view_across_models,,f1,0.4517880127595277,0.4680731993956013,0.016285186636073645,mp_common_pool
within_label_view_across_models,,f1,0.3502727151789278,0.37940667819608886,0.02913396301716109,mp_native
within_model_across_label_views,ALIGNN-FF,balanced_accuracy,0.4507600080695484,0.4780104106729249,0.027250402603376467,
within_model_across_label_views,CHGNet,balanced_accuracy,0.45748449020835624,0.47673224272191317,0.019247752513556926,
within_model_across_label_views,M3GNet,balanced_accuracy,0.4706086687115887,0.4883067636116306,0.017698094900041927,
within_model_across_label_views,MACE-MP,balanced_accuracy,0.475388091245791,0.4978930232442187,0.02250493199842768,
within_label_view_across_models,,balanced_accuracy,0.4737545794125322,0.48405056641122546,0.010295986998693274,alex_pbe_common_pool
within_label_view_across_models,,balanced_accuracy,0.4687289350107059,0.4883056324499556,0.019576697439249724,alex_pbe_native
within_label_view_across_models,,balanced_accuracy,0.46045942533880335,0.4853024283401154,0.024843003001312036,alexmp20_native
within_label_view_across_models,,balanced_accuracy,0.45748449020835624,0.48286358670383767,0.025379096495481424,all_source_native
within_label_view_across_models,,balanced_accuracy,0.47673224272191317,0.4978930232442187,0.021160780522305522,audit_view
within_label_view_across_models,,balanced_accuracy,0.46491232870201454,0.47955074920365015,0.014638420501635607,common_pool
within_label_view_across_models,,balanced_accuracy,0.4547558474540657,0.481083301815752,0.026327454361686264,consensus
within_label_view_across_models,,balanced_accuracy,0.4547558474540657,0.481083301815752,0.026327454361686264,consensus_stable
within_label_view_across_models,,balanced_accuracy,0.4667405672263247,0.4825815732427742,0.0158410060164495,mp_common_pool
within_label_view_across_models,,balanced_accuracy,0.4507600080695484,0.475388091245791,0.0246280831762426,mp_native
