model,model_version,score_source,score_kind,label_view,n,positive_rate,auroc,auprc,balanced_accuracy,f1,precision_threshold_matched,recall_threshold_matched,model_complete_denominator_n
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,alex_pbe_common_pool,36801,0.5437623977609304,0.4816901850498009,0.5254537302738114,0.4746855995134779,0.5206636350007496,0.5206636350007496,0.5206636350007496,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,alex_pbe_native,36801,0.33086057444091194,0.48277771867099795,0.31274951213680524,0.47087684852284933,0.2918856767411301,0.2918856767411301,0.2918856767411301,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,alexmp20_native,36801,0.36140322273851255,0.4707656433112909,0.3350603054492114,0.46045942533880335,0.31090225563909774,0.31090225563909774,0.31090225563909774,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,all_source_native,29915,0.33849239511950524,0.46831448584861424,0.31253992741032377,0.458678800631673,0.2838238198696425,0.2838238198696425,0.2838238198696425,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,audit_view,36801,0.2577919078285916,0.4884344187105304,0.24568878296055524,0.4780104106729249,0.22515020554442922,0.22515020554442922,0.22515020554442922,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,common_pool,31872,0.5172565261044176,0.47764713928991565,0.4963726286121347,0.46491232870201454,0.48337983743782603,0.48337983743782603,0.48337983743782603,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,consensus,24614,0.3854310554968717,0.4725325785828121,0.3600787647691679,0.4547558474540657,0.32981975334668495,0.32981975334668495,0.32981975334668495,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,consensus_stable,24614,0.3854310554968717,0.4725325785828121,0.3600787647691679,0.4547558474540657,0.32981975334668495,0.32981975334668495,0.32981975334668495,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,mp_common_pool,36769,0.4859800375316163,0.48080581012726065,0.4680754783355868,0.4667405672263247,0.4517880127595277,0.4517880127595277,0.4517880127595277,36801
ALIGNN-FF,/root/alignn_ff_models/v12.2.2024_dft_3d_307k,ALIGNN-FF_sourceaware_model_score,real_model_proxy_score,mp_native,36801,0.40852150756772915,0.463363173945125,0.38004042391434645,0.4507600080695484,0.3502727151789278,0.3502727151789278,0.3502727151789278,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,alex_pbe_common_pool,36801,0.5437623977609304,0.4813147602052939,0.530031024295923,0.4737545794125322,0.5198141022437659,0.5198141022437659,0.5198141022437659,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,alex_pbe_native,36801,0.33086057444091194,0.48128657857347734,0.3147672985817327,0.4687289350107059,0.28901116951379763,0.28901116951379763,0.28901116951379763,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,alexmp20_native,36801,0.36140322273851255,0.47649618493278,0.3423696989798331,0.46587543547179083,0.31781954887218045,0.31781954887218045,0.31781954887218045,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,all_source_native,29915,0.33849239511950524,0.47036313344776126,0.31731849840642146,0.45748449020835624,0.28224372901441835,0.28224372901441835,0.28224372901441835,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,audit_view,36801,0.2577919078285916,0.487977057724826,0.24775629953573888,0.47673224272191317,0.2232528723516391,0.2232528723516391,0.2232528723516391,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,common_pool,31872,0.5172565261044176,0.47714848087546924,0.5011589083844536,0.4661688454832708,0.48459298798980954,0.48459298798980954,0.48459298798980954,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,consensus,24614,0.3854310554968717,0.47316068878310924,0.3652564747342638,0.46178793624122616,0.33846316011384,0.33846316011384,0.33846316011384,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,consensus_stable,24614,0.3854310554968717,0.47316068878310924,0.3652564747342638,0.46178793624122616,0.33846316011384,0.33846316011384,0.33846316011384,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,mp_common_pool,36769,0.4859800375316163,0.47981949170935684,0.471825934552252,0.4715854109908058,0.4567687055794952,0.4567687055794952,0.4567687055794952,36801
CHGNet,CHGNet.load(),CHGNet_sourceaware_model_score,real_model_proxy_score,mp_native,36801,0.40852150756772915,0.4663785149428588,0.386028293860766,0.4599252536351364,0.36111480643873883,0.36111480643873883,0.36111480643873883,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,alex_pbe_common_pool,36801,0.5437623977609304,0.49124987957040545,0.539131123792445,0.4789025729118789,0.5245115186647344,0.5245115186647344,0.5245115186647344,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,alex_pbe_native,36801,0.33086057444091194,0.4926007290700854,0.323313065024834,0.4814936781685866,0.30609395532194483,0.30609395532194483,0.30609395532194483,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,alexmp20_native,36801,0.36140322273851255,0.48950115544595285,0.35203974060050314,0.4799452878824865,0.3357894736842105,0.3357894736842105,0.3357894736842105,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,all_source_native,29915,0.33849239511950524,0.4863014959910804,0.32956995726083493,0.4750259245508214,0.3054513134505234,0.3054513134505234,0.3054513134505234,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,audit_view,36801,0.2577919078285916,0.498091234229729,0.25546419810959065,0.4883067636116306,0.24043427848634974,0.24043427848634974,0.24043427848634974,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,common_pool,31872,0.5172565261044176,0.4862080744954233,0.510183827015601,0.4725770810676778,0.4907800558049254,0.4907800558049254,0.4907800558049254,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,consensus,24614,0.3854310554968717,0.486897080492364,0.3774059517436322,0.4746515132909101,0.3542742700537578,0.3542742700537578,0.3542742700537578,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,consensus_stable,24614,0.3854310554968717,0.486897080492364,0.3774059517436322,0.4746515132909101,0.3542742700537578,0.3542742700537578,0.3542742700537578,36801
M3GNet,matgl.load_model('M3GNet-PES-MatPES-PBE-2025.2'),M3GNet_sourceaware_model_score,real_model_proxy_score,mp_common_pool,36769,0.4859800375316163,0.48522777912503134,0.478429586705612,0.4747971613515293,0.46007051317924896,0.46007051317924896,0.46007051317924896,36801
