metric,label_view_a,label_view_b,common_model_n,pairwise_rank_inversions,top_model_a,top_model_b,leading_model_overturned
auroc,common_pool,mp_native,4,1,MACE-MP,MACE-MP,False
auroc,consensus,consensus_stable,4,0,MACE-MP,MACE-MP,False
auroc,consensus,mp_common_pool,4,1,MACE-MP,MACE-MP,False
auroc,consensus,mp_native,4,0,MACE-MP,MACE-MP,False
auroc,consensus_stable,mp_common_pool,4,1,MACE-MP,MACE-MP,False
auroc,consensus_stable,mp_native,4,0,MACE-MP,MACE-MP,False
auroc,mp_common_pool,mp_native,4,1,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,alex_pbe_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,alexmp20_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,all_source_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,audit_view,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,consensus,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_common_pool,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,alexmp20_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,all_source_native,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,consensus,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alex_pbe_native,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,all_source_native,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,audit_view,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,audit_view,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,common_pool,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,consensus,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,all_source_native,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,audit_view,common_pool,4,0,MACE-MP,MACE-MP,False
auprc,audit_view,consensus,4,0,MACE-MP,MACE-MP,False
auprc,audit_view,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,audit_view,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,audit_view,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,common_pool,consensus,4,0,MACE-MP,MACE-MP,False
auprc,common_pool,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,common_pool,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,consensus,consensus_stable,4,0,MACE-MP,MACE-MP,False
auprc,consensus,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,consensus,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,consensus_stable,mp_common_pool,4,0,MACE-MP,MACE-MP,False
auprc,consensus_stable,mp_native,4,0,MACE-MP,MACE-MP,False
auprc,mp_common_pool,mp_native,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,alex_pbe_native,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,alexmp20_native,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,all_source_native,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,audit_view,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,common_pool,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,consensus,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,consensus_stable,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,mp_common_pool,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_common_pool,mp_native,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,all_source_native,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False
f1,alex_pbe_native,common_pool,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,consensus_stable,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,mp_common_pool,4,1,MACE-MP,MACE-MP,False
f1,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False
f1,alexmp20_native,all_source_native,4,1,MACE-MP,MACE-MP,False
f1,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False
f1,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False
f1,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False
f1,alexmp20_native,consensus_stable,4,0,MACE-MP,MACE-MP,False
f1,alexmp20_native,mp_common_pool,4,0,MACE-MP,MACE-MP,False
f1,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False
f1,all_source_native,audit_view,4,0,MACE-MP,MACE-MP,False
f1,all_source_native,common_pool,4,1,MACE-MP,MACE-MP,False
f1,all_source_native,consensus,4,1,MACE-MP,MACE-MP,False
f1,all_source_native,consensus_stable,4,1,MACE-MP,MACE-MP,False
f1,all_source_native,mp_common_pool,4,1,MACE-MP,MACE-MP,False
f1,all_source_native,mp_native,4,1,MACE-MP,MACE-MP,False
f1,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False
f1,audit_view,consensus,4,1,MACE-MP,MACE-MP,False
f1,audit_view,consensus_stable,4,1,MACE-MP,MACE-MP,False
f1,audit_view,mp_common_pool,4,1,MACE-MP,MACE-MP,False
f1,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False
f1,common_pool,consensus,4,0,MACE-MP,MACE-MP,False
f1,common_pool,consensus_stable,4,0,MACE-MP,MACE-MP,False
f1,common_pool,mp_common_pool,4,0,MACE-MP,MACE-MP,False
f1,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False
f1,consensus,consensus_stable,4,0,MACE-MP,MACE-MP,False
f1,consensus,mp_common_pool,4,0,MACE-MP,MACE-MP,False
f1,consensus,mp_native,4,0,MACE-MP,MACE-MP,False
f1,consensus_stable,mp_common_pool,4,0,MACE-MP,MACE-MP,False
f1,consensus_stable,mp_native,4,0,MACE-MP,MACE-MP,False
f1,mp_common_pool,mp_native,4,0,MACE-MP,MACE-MP,False
