model,label_view,K,n_ranked,stable_n,stable_fraction,uncertain_fraction
ALIGNN-FF,alex_pbe_common_pool,100,36801,61,0.61,0.0
ALIGNN-FF,alex_pbe_common_pool,300,36801,155,0.5166666666666667,0.0
ALIGNN-FF,alex_pbe_common_pool,500,36801,250,0.5,0.0
ALIGNN-FF,alex_pbe_common_pool,1000,36801,527,0.527,0.0
ALIGNN-FF,alex_pbe_common_pool,5000,36801,2523,0.5046,0.0
ALIGNN-FF,alex_pbe_native,100,36801,29,0.29,0.0
ALIGNN-FF,alex_pbe_native,300,36801,66,0.22,0.0
ALIGNN-FF,alex_pbe_native,500,36801,119,0.238,0.0
ALIGNN-FF,alex_pbe_native,1000,36801,299,0.299,0.0
ALIGNN-FF,alex_pbe_native,5000,36801,1447,0.2894,0.0
ALIGNN-FF,alexmp20_native,100,36801,35,0.35,0.0
ALIGNN-FF,alexmp20_native,300,36801,79,0.2633333333333333,0.0
ALIGNN-FF,alexmp20_native,500,36801,134,0.268,0.0
ALIGNN-FF,alexmp20_native,1000,36801,323,0.323,0.0
ALIGNN-FF,alexmp20_native,5000,36801,1483,0.2966,0.0
ALIGNN-FF,all_source_native,100,29915,32,0.32,0.0
ALIGNN-FF,all_source_native,300,29915,82,0.2733333333333333,0.0
ALIGNN-FF,all_source_native,500,29915,153,0.306,0.0
ALIGNN-FF,all_source_native,1000,29915,308,0.308,0.0
ALIGNN-FF,all_source_native,5000,29915,1360,0.272,0.0
ALIGNN-FF,audit_view,100,36801,25,0.25,0.38
ALIGNN-FF,audit_view,300,36801,56,0.18666666666666668,0.36333333333333334
ALIGNN-FF,audit_view,500,36801,102,0.204,0.322
ALIGNN-FF,audit_view,1000,36801,245,0.245,0.311
ALIGNN-FF,audit_view,5000,36801,1132,0.2264,0.3124
ALIGNN-FF,common_pool,100,31872,57,0.57,0.0
ALIGNN-FF,common_pool,300,31872,145,0.48333333333333334,0.0
ALIGNN-FF,common_pool,500,31872,240,0.48,0.0
ALIGNN-FF,common_pool,1000,31872,499,0.499,0.0
ALIGNN-FF,common_pool,5000,31872,2330,0.466,0.0
ALIGNN-FF,consensus,100,24614,37,0.37,0.0
ALIGNN-FF,consensus,300,24614,90,0.3,0.0
ALIGNN-FF,consensus,500,24614,175,0.35,0.0
ALIGNN-FF,consensus,1000,24614,355,0.355,0.0
ALIGNN-FF,consensus,5000,24614,1630,0.326,0.0
ALIGNN-FF,consensus_stable,100,24614,37,0.37,0.0
ALIGNN-FF,consensus_stable,300,24614,90,0.3,0.0
ALIGNN-FF,consensus_stable,500,24614,175,0.35,0.0
ALIGNN-FF,consensus_stable,1000,24614,355,0.355,0.0
ALIGNN-FF,consensus_stable,5000,24614,1630,0.326,0.0
ALIGNN-FF,mp_common_pool,100,36769,55,0.55,0.0
ALIGNN-FF,mp_common_pool,300,36769,137,0.45666666666666667,0.0
ALIGNN-FF,mp_common_pool,500,36769,226,0.452,0.0
ALIGNN-FF,mp_common_pool,1000,36769,473,0.473,0.0
ALIGNN-FF,mp_common_pool,5000,36769,2233,0.4466,0.0
ALIGNN-FF,mp_native,100,36801,52,0.52,0.0
ALIGNN-FF,mp_native,300,36801,125,0.4166666666666667,0.0
ALIGNN-FF,mp_native,500,36801,202,0.404,0.0
ALIGNN-FF,mp_native,1000,36801,404,0.404,0.0
ALIGNN-FF,mp_native,5000,36801,1695,0.339,0.0
CHGNet,alex_pbe_common_pool,100,36801,70,0.7,0.0
CHGNet,alex_pbe_common_pool,300,36801,191,0.6366666666666667,0.0
CHGNet,alex_pbe_common_pool,500,36801,304,0.608,0.0
CHGNet,alex_pbe_common_pool,1000,36801,579,0.579,0.0
CHGNet,alex_pbe_common_pool,5000,36801,2585,0.517,0.0
CHGNet,alex_pbe_native,100,36801,38,0.38,0.0
CHGNet,alex_pbe_native,300,36801,99,0.33,0.0
CHGNet,alex_pbe_native,500,36801,163,0.326,0.0
CHGNet,alex_pbe_native,1000,36801,321,0.321,0.0
CHGNet,alex_pbe_native,5000,36801,1466,0.2932,0.0
CHGNet,alexmp20_native,100,36801,42,0.42,0.0
CHGNet,alexmp20_native,300,36801,117,0.39,0.0
CHGNet,alexmp20_native,500,36801,184,0.368,0.0
CHGNet,alexmp20_native,1000,36801,359,0.359,0.0
CHGNet,alexmp20_native,5000,36801,1570,0.314,0.0
CHGNet,all_source_native,100,29915,47,0.47,0.0
CHGNet,all_source_native,300,29915,117,0.39,0.0
CHGNet,all_source_native,500,29915,187,0.374,0.0
CHGNet,all_source_native,1000,29915,340,0.34,0.0
CHGNet,all_source_native,5000,29915,1409,0.2818,0.0
CHGNet,audit_view,100,36801,34,0.34,0.39
CHGNet,audit_view,300,36801,85,0.2833333333333333,0.38
CHGNet,audit_view,500,36801,133,0.266,0.372
CHGNet,audit_view,1000,36801,261,0.261,0.354
CHGNet,audit_view,5000,36801,1147,0.2294,0.324
CHGNet,common_pool,100,31872,72,0.72,0.0
CHGNet,common_pool,300,31872,186,0.62,0.0
CHGNet,common_pool,500,31872,289,0.578,0.0
CHGNet,common_pool,1000,31872,540,0.54,0.0
CHGNet,common_pool,5000,31872,2390,0.478,0.0
CHGNet,consensus,100,24614,54,0.54,0.0
CHGNet,consensus,300,24614,128,0.4266666666666667,0.0
