element,n,discordant_n,discordance_rate
Mn,31,2,0.06451612903225806
B,29,5,0.1724137931034483
O,29,1,0.034482758620689655
S,27,1,0.037037037037037035
Co,25,2,0.08
N,20,4,0.2
Hf,19,2,0.10526315789473684
As,18,1,0.05555555555555555
Ca,17,3,0.17647058823529413
Zn,17,1,0.058823529411764705
Ge,16,1,0.0625
Ni,15,1,0.06666666666666667
P,15,1,0.06666666666666667
Se,15,3,0.2
Fe,14,1,0.07142857142857142
K,13,3,0.23076923076923078
Mg,13,0,0.0
Ba,12,1,0.08333333333333333
Ce,12,2,0.16666666666666666
In,12,1,0.08333333333333333
Li,12,3,0.25
Pd,12,1,0.08333333333333333
Si,12,2,0.16666666666666666
Te,12,1,0.08333333333333333
Al,11,1,0.09090909090909091
Bi,11,1,0.09090909090909091
Ga,11,0,0.0
Sc,11,2,0.18181818181818182
Ti,11,1,0.09090909090909091
Tl,11,2,0.18181818181818182
V,11,3,0.2727272727272727
Zr,11,2,0.18181818181818182
C,10,1,0.1
H,10,1,0.1
Lu,10,0,0.0
Sm,10,0,0.0
Y,10,1,0.1
Cu,9,1,0.1111111111111111
Sn,9,1,0.1111111111111111
Sb,8,0,0.0
Be,7,0,0.0
Cs,7,0,0.0
Ir,7,3,0.42857142857142855
La,7,2,0.2857142857142857
Ag,6,1,0.16666666666666666
Au,6,0,0.0
Cr,6,2,0.3333333333333333
Eu,6,0,0.0
Nd,6,0,0.0
Pb,6,0,0.0
Ru,5,0,0.0
Dy,4,0,0.0
Gd,4,0,0.0
Ho,4,0,0.0
Pr,4,0,0.0
Pt,4,0,0.0
Cd,3,0,0.0
Mo,3,0,0.0
Nb,3,0,0.0
Rh,3,1,0.3333333333333333
Sr,3,2,0.6666666666666666
Tb,3,0,0.0
Tm,3,0,0.0
Br,2,1,0.5
Cl,2,1,0.5
Er,2,0,0.0
F,2,0,0.0
Na,2,0,0.0
Os,2,0,0.0
Re,2,0,0.0
Ta,2,0,0.0
W,2,0,0.0
Yb,2,1,0.5
Hg,1,0,0.0
I,1,0,0.0
