alpha,rho,K,seed,released,best_mass_ratio,alex_FTR_if_released,mp_FTR_if_released,claim_scope
0.1,0.1,124,16,0,0.024154268567776454,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,124,17,0,0.023520158819121475,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,124,18,0,0.02378914096310218,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,124,19,0,0.022361312515804862,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,0,0,0.014830895631663956,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,1,0,0.01514644660255042,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,2,0,0.014550631493783349,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,3,0,0.01612293703824227,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,4,0,0.01518609634903342,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,5,0,0.014146366696841441,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,6,0,0.014776562473036435,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,7,0,0.01531544003272888,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,8,0,0.01472409185871408,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,9,0,0.015785242643299488,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,10,0,0.015308758916391265,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,11,0,0.014557280624530228,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,12,0,0.014744589505637569,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,13,0,0.01524747153758782,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,14,0,0.01465492269895984,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,15,0,0.015677860040283847,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,16,0,0.015007193736678779,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,17,0,0.015278813763088206,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,18,0,0.015968299391558968,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,200,19,0,0.014885356001900324,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,0,0,0.010335118907082896,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,1,0,0.010555015054042105,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,2,0,0.010139812887653902,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,3,0,0.011235496193897052,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,4,0,0.010582645539396111,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,5,0,0.009858095259122956,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,6,0,0.010297256078771034,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,7,0,0.01067278051061246,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,8,0,0.01026069119074152,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,9,0,0.011000169089407309,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,10,0,0.010668124680412032,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,11,0,0.010144446428244061,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,12,0,0.01027497526525266,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,13,0,0.010625415705636111,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,14,0,0.0102124896856863,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,15,0,0.010925338007166444,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,16,0,0.010457974729392878,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,17,0,0.010647256977761817,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,18,0,0.011127734767636911,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
0.1,0.1,287,19,0,0.01037307038459953,0.0,0.0,strict_SCS_portability_check_not_fig4c_bar
