abs_delta_e_threshold_mev,n,tail_population_fraction,discordant_n,discordance_rate,ci95_lo,ci95_hi,discordant_capture_fraction
1,117,0.4076655052264808,25,0.21367521367521367,0.14330769988767822,0.29905977674636874,0.8064516129032258
2,105,0.36585365853658536,25,0.23809523809523808,0.16039237688007596,0.33109823393351484,0.8064516129032258
5,87,0.30313588850174217,24,0.27586206896551724,0.18541204115593118,0.3821180865282494,0.7741935483870968
10,69,0.24041811846689895,20,0.2898550724637681,0.18687194980560984,0.41157511945820613,0.6451612903225806
15,52,0.18118466898954705,17,0.3269230769230769,0.20329778781910318,0.47105323945245187,0.5483870967741935
20,37,0.1289198606271777,11,0.2972972972972973,0.15872543637962863,0.469799534994067,0.3548387096774194
25,30,0.10452961672473868,9,0.3,0.14734518475470101,0.4939590414625536,0.2903225806451613
30,18,0.0627177700348432,6,0.3333333333333333,0.13342740250612353,0.5900747618279255,0.1935483870967742
40,16,0.05574912891986063,5,0.3125,0.11016995471711757,0.5866206364513586,0.16129032258064516
50,9,0.0313588850174216,2,0.2222222222222222,0.028144973477898197,0.600093573716312,0.06451612903225806
75,7,0.024390243902439025,1,0.14285714285714285,0.0036102968619005833,0.5787231970431952,0.03225806451612903
100,5,0.017421602787456445,0,0.0,0.0,0.5218237501049814,0.0
