stratum,n,discordant_n,discordance_rate,ci95_lo,ci95_hi
abs_delta_e_lt_10_meV,218,11,0.05045871559633028,0.02545466339105751,0.08848943934333128
abs_delta_e_10_to_100_meV,64,20,0.3125,0.20242147258013002,0.44059436681746184
abs_delta_e_ge_100_meV,5,0,0.0,0.0,0.5218237501049814
full_intersection,287,31,0.10801393728222997,0.07457947901967947,0.14980476417965943
