case,n,discordant_n,discordance_rate,role,status
WBM_vs_alex_existing_probe,270,141,0.5222222222222223,case_analysis_high_discordance_source_selection_specific,available
MP_vs_alex_route_b_full_snapshot,287,31,0.1080139372822299,matched_denominator_pairwise_baseline,available
MP_vs_alex_top_decile_ALIGNN-FF,29,5,0.1724137931034483,selection_conditional_no_go_core_result,available
MP_vs_alex_top_decile_CHGNet,29,3,0.1034482758620689,selection_conditional_no_go_core_result,available
MP_vs_alex_top_decile_MACE-MP,29,3,0.1034482758620689,selection_conditional_no_go_core_result,available
MP_native_exact_stable_release_conditioned,124,21,0.1693548387096774,fig4c_source_native_selection_conditioned_diagnostic,available
MP_native_near_hull_25meV_conditioned,198,29,0.14646464646464646,fig4c_boundary_sensitivity,available
MP_vs_Alex_outside_either_source_25meV_flag,74,0,0.0,outside_conservative_near_hull_uncertainty_flag,available
MP_vs_Alex_strict_SCS_PARC_portability_check,100,0,0.0,zero_non_empty_releases_across_seed_budget_rows,available_portability_check_not_fig4c_bar
