abs_delta_e_bin_mev,bin_start_mev,bin_end_mev,n,population_fraction,discordant_n,concordant_n,discordance_rate,ci95_lo,ci95_hi,discordant_capture_fraction,median_abs_delta_e_mev
0-5,0.0,5.0,200,0.6968641114982579,7,193,0.035,0.014185525898419244,0.0707809983509772,0.22580645161290322,0.0
5-10,5.0,10.0,18,0.0627177700348432,4,14,0.2222222222222222,0.0640920477176665,0.4763727657364801,0.12903225806451613,7.292637777775349
10-25,10.0,25.0,39,0.13588850174216027,11,28,0.28205128205128205,0.1500141304705207,0.4487363233949208,0.3548387096774194,15.240025000002793
25-50,25.0,50.0,21,0.07317073170731707,7,14,0.3333333333333333,0.1458769423430967,0.5696754829041242,0.22580645161290322,28.410709192301397
50-100,50.0,100.0,4,0.013937282229965157,2,2,0.5,0.06758598648854294,0.932414013511457,0.06451612903225806,80.56334512499994
>=100,100.0,inf,5,0.017421602787456445,0,5,0.0,0.0,0.5218237501049814,0.0,122.73470733333788
