material_id,model,score_status,score
mp-1000,ALIGNN-FF,scored,-2.4772047996521
mp-1000,CHGNet,scored,-4.4852375984191895
mp-1000,MACE-MP,scored,-4.294638633728027
mp-10000,ALIGNN-FF,scored,-6.981053670247396
mp-10000,CHGNet,scored,-9.166236877441406
mp-10000,MACE-MP,scored,-9.038832346598308
mp-10003,ALIGNN-FF,scored,-6.583488464355469
mp-10003,CHGNet,scored,-9.149551391601562
mp-10003,MACE-MP,scored,-9.159513473510742
mp-10004,ALIGNN-FF,scored,-7.278918743133545
mp-10004,CHGNet,scored,-9.819979667663574
mp-10004,MACE-MP,scored,-9.844766616821287
mp-10009,ALIGNN-FF,scored,-0.5958585739135742
mp-10009,CHGNet,scored,-3.632289409637451
mp-10009,MACE-MP,scored,-3.4447522163391118
mp-1001,ALIGNN-FF,scored,-5.29530398050944
mp-1001,CHGNet,scored,-6.904505252838135
mp-1001,MACE-MP,scored,-6.710889180501302
mp-10010,ALIGNN-FF,scored,-4.351367568969726
mp-10010,CHGNet,scored,-6.307064533233643
mp-10010,MACE-MP,scored,-6.296092224121094
mp-1001012,ALIGNN-FF,scored,-3.9274019513811385
mp-1001012,CHGNet,scored,-6.231085300445557
mp-1001012,MACE-MP,scored,-5.9358335222516745
mp-1001015,ALIGNN-FF,scored,-4.094565255301339
mp-1001015,CHGNet,scored,-6.359629154205322
mp-1001015,MACE-MP,scored,-6.063562665666852
mp-1001016,ALIGNN-FF,scored,-3.255429131644113
mp-1001016,CHGNet,scored,-5.662124156951904
mp-1001016,MACE-MP,scored,-5.3931715829031805
mp-1001017,ALIGNN-FF,scored,-1.1725002016339985
mp-1001017,CHGNet,scored,-3.754234313964844
mp-1001017,MACE-MP,scored,-3.4862308502197266
mp-1001019,ALIGNN-FF,scored,-3.4258005959647044
mp-1001019,CHGNet,scored,-5.83704137802124
mp-1001019,MACE-MP,scored,-5.608010973249163
mp-1001021,ALIGNN-FF,scored,-3.1910176958356584
mp-1001021,CHGNet,scored,-5.821760177612305
mp-1001021,MACE-MP,scored,-5.542519705636161
mp-1001022,ALIGNN-FF,scored,-1.6449058532714844
mp-1001022,CHGNet,scored,-5.074968338012695
mp-1001022,MACE-MP,scored,-5.07695198059082
mp-1001024,ALIGNN-FF,scored,-4.353079659598214
mp-1001024,CHGNet,scored,-6.591545104980469
mp-1001024,MACE-MP,scored,-6.320903233119419
mp-1001034,ALIGNN-FF,scored,-1.459423337663923
mp-1001034,CHGNet,scored,-3.954408645629883
mp-1001034,MACE-MP,scored,-3.709926060267857
mp-1001080,ALIGNN-FF,scored,-5.175692240397136
mp-1001080,CHGNet,scored,-6.644555568695068
mp-1001080,MACE-MP,scored,-6.308872222900391
mp-10014,ALIGNN-FF,scored,-5.787137985229492
mp-10014,CHGNet,scored,-8.121171951293945
mp-10014,MACE-MP,scored,-7.755179723103841
mp-10015,ALIGNN-FF,scored,-6.209609508514404
mp-10015,CHGNet,scored,-8.616270065307617
mp-10015,MACE-MP,scored,-8.594314575195312
mp-1001571,ALIGNN-FF,scored,-4.797862243652344
mp-1001571,CHGNet,scored,-7.217103958129883
mp-1001571,MACE-MP,scored,-6.36165771484375
mp-1001581,ALIGNN-FF,scored,-6.689506530761719
mp-1001581,CHGNet,scored,-8.196990966796875
mp-1001581,MACE-MP,scored,-8.183677128383092
mp-1001600,ALIGNN-FF,scored,-5.92332282433143
mp-1001600,CHGNet,scored,-7.070993900299072
mp-1001600,MACE-MP,scored,-7.128459050105168
mp-1001603,ALIGNN-FF,scored,-5.26342248916626
mp-1001603,CHGNet,scored,-7.52599287033081
mp-1001603,MACE-MP,scored,-7.53074836730957
mp-1001604,ALIGNN-FF,scored,-3.24872088432312
mp-1001604,CHGNet,scored,-5.517077922821045
mp-1001604,MACE-MP,scored,-5.26585578918457
mp-1001606,ALIGNN-FF,scored,-6.071038246154785
mp-1001606,CHGNet,scored,-8.16822338104248
mp-1001606,MACE-MP,scored,-8.135932922363281
mp-1001611,ALIGNN-FF,scored,-2.458149671554565
mp-1001611,CHGNet,scored,-5.050719738006592
mp-1001611,MACE-MP,scored,-4.819944858551025
mp-1001612,ALIGNN-FF,scored,-3.812342882156372
mp-1001612,CHGNet,scored,-5.713164806365967
mp-1001612,MACE-MP,scored,-5.7805891036987305
mp-1001613,ALIGNN-FF,scored,-1.3735744953155518
mp-1001613,CHGNet,scored,-4.380345821380615
mp-1001613,MACE-MP,scored,-4.382272720336914
mp-1001614,ALIGNN-FF,scored,-5.909749031066895
mp-1001614,CHGNet,scored,-7.868504524230957
mp-1001614,MACE-MP,scored,-7.881148815155029
mp-1001615,ALIGNN-FF,scored,-3.8453619480133057
mp-1001615,CHGNet,scored,-5.926835060119629
mp-1001615,MACE-MP,scored,-5.717221736907959
mp-1001780,ALIGNN-FF,scored,-3.04386043548584
mp-1001780,CHGNet,scored,-5.817653656005859
mp-1001780,MACE-MP,scored,-5.595599174499512
mp-1001783,ALIGNN-FF,scored,-2.4829702377319336
mp-1001783,CHGNet,scored,-4.5446062088012695
mp-1001783,MACE-MP,scored,-4.257028102874756
mp-1001784,ALIGNN-FF,scored,-4.295376777648926
mp-1001784,CHGNet,scored,-6.167610168457031
mp-1001784,MACE-MP,scored,-5.928459644317627
mp-1001786,ALIGNN-FF,scored,-4.216054439544678
mp-1001786,CHGNet,scored,-6.116971015930176
mp-1001786,MACE-MP,scored,-5.896666526794434
mp-1001787,ALIGNN-FF,scored,-3.2766976356506348
mp-1001787,CHGNet,scored,-6.09901762008667
mp-1001787,MACE-MP,scored,-6.129008293151856
mp-1001833,ALIGNN-FF,scored,-0.4354985356330871
mp-1001833,CHGNet,scored,-3.2356820106506348
mp-1001833,MACE-MP,scored,-3.2854855060577397
mp-1001835,ALIGNN-FF,scored,-3.6219303607940674
mp-1001835,CHGNet,scored,-4.434252738952637
mp-1001835,MACE-MP,scored,-4.471939086914063
mp-1001836,ALIGNN-FF,scored,-2.49151611328125
mp-1001836,CHGNet,scored,-6.182096004486084
mp-1001836,MACE-MP,scored,-6.163163185119629
mp-1002063,ALIGNN-FF,scored,-2.2348947525024414
mp-1002063,CHGNet,scored,-4.710699081420898
mp-1002063,MACE-MP,scored,-4.374178250630696
mp-10021,ALIGNN-FF,scored,0.6995004415512085
mp-10021,CHGNet,scored,-2.9965837001800537
mp-10021,MACE-MP,scored,-3.0118746757507324
mp-1002104,ALIGNN-FF,scored,-4.218296051025391
mp-1002104,CHGNet,scored,-6.647620677947998
mp-1002104,MACE-MP,scored,-6.676017284393311
mp-1002106,ALIGNN-FF,scored,-5.530345916748047
mp-1002106,CHGNet,scored,-8.280482292175293
mp-1002106,MACE-MP,scored,-8.18571949005127
mp-1002107,ALIGNN-FF,scored,-4.115533828735352
mp-1002107,CHGNet,scored,-6.874582290649414
mp-1002107,MACE-MP,scored,-6.882546901702881
mp-1002109,ALIGNN-FF,scored,-5.297118186950684
mp-1002109,CHGNet,scored,-8.224569320678711
mp-1002109,MACE-MP,scored,-8.151252746582031
mp-1002114,ALIGNN-FF,scored,-4.804723739624023
mp-1002114,CHGNet,scored,-6.534472942352295
mp-1002114,MACE-MP,scored,-6.390795707702637
mp-1002115,ALIGNN-FF,scored,-3.357924461364746
mp-1002115,CHGNet,scored,-5.867446422576904
mp-1002115,MACE-MP,scored,-5.893697738647461
mp-1002122,ALIGNN-FF,scored,-7.685578346252441
mp-1002122,CHGNet,scored,-10.382904052734377
mp-1002122,MACE-MP,scored,-10.314529418945312
mp-1002123,ALIGNN-FF,scored,-4.020956039428711
mp-1002123,CHGNet,scored,-6.214319705963135
mp-1002123,MACE-MP,scored,-5.980847358703613
mp-1002133,ALIGNN-FF,scored,-1.771085262298584
mp-1002133,CHGNet,scored,-4.564122676849365
mp-1002133,MACE-MP,scored,-4.580206871032715
mp-1002136,ALIGNN-FF,scored,-2.582226514816284
mp-1002136,CHGNet,scored,-4.922429084777832
mp-1002136,MACE-MP,scored,-4.935739040374756
mp-10025,ALIGNN-FF,scored,-5.8109391530354815
mp-10025,CHGNet,scored,-8.428217887878418
mp-10025,MACE-MP,scored,-8.387851079305014
mp-1002568,ALIGNN-FF,scored,-5.253867558070591
mp-1002568,CHGNet,scored,-7.926450252532959
mp-1002568,MACE-MP,scored,-7.0623915536063055
mp-1002570,ALIGNN-FF,scored,-4.362641334533691
mp-1002570,CHGNet,scored,-6.931856632232666
mp-1002570,MACE-MP,scored,-6.191423416137695
