material_id,model,score_status,score
mp-1002572,ALIGNN-FF,scored,-5.145620822906494
mp-1002572,CHGNet,scored,-7.332874298095703
mp-1002572,MACE-MP,scored,-6.572450160980225
mp-1002573,ALIGNN-FF,scored,-5.206418514251709
mp-1002573,CHGNet,scored,-7.324538230895996
mp-1002573,MACE-MP,scored,-6.576853275299072
mp-1002574,ALIGNN-FF,scored,-4.34788703918457
mp-1002574,CHGNet,scored,-6.879660606384277
mp-1002574,MACE-MP,scored,-6.115535259246826
mp-10026,ALIGNN-FF,scored,-3.736146926879883
mp-10026,CHGNet,scored,-6.053478240966797
mp-10026,MACE-MP,scored,-5.917959690093994
mp-10032,ALIGNN-FF,scored,-3.409629503885905
mp-10032,CHGNet,scored,-6.878105640411377
mp-10032,MACE-MP,scored,-6.872419357299805
mp-10033,ALIGNN-FF,scored,-5.245489756266276
mp-10033,CHGNet,scored,-7.50014591217041
mp-10033,MACE-MP,scored,-7.136905034383138
mp-1003311,ALIGNN-FF,scored,-5.486128670828683
mp-1003311,CHGNet,scored,-8.107739448547363
mp-1003311,MACE-MP,scored,-7.238921574183872
mp-1003312,ALIGNN-FF,scored,-5.318807748647837
mp-1003312,CHGNet,scored,-7.846524238586426
mp-1003312,MACE-MP,scored,-6.930669931265024
mp-1003313,ALIGNN-FF,scored,-5.393104553222656
mp-1003313,CHGNet,scored,-7.591362476348877
mp-1003313,MACE-MP,scored,-6.762232000177557
mp-1003314,ALIGNN-FF,scored,-5.0017869131905695
mp-1003314,CHGNet,scored,-7.548000812530518
mp-1003314,MACE-MP,scored,-6.695473807198661
mp-1003316,ALIGNN-FF,scored,-5.392700782189002
mp-1003316,CHGNet,scored,-7.846088886260986
mp-1003316,MACE-MP,scored,-6.944206824669471
mp-1003317,ALIGNN-FF,scored,-5.570899581909179
mp-1003317,CHGNet,scored,-7.787322044372559
mp-1003317,MACE-MP,scored,-6.892578125
mp-1003322,ALIGNN-FF,scored,-5.035903930664063
mp-1003322,CHGNet,scored,-7.857836723327637
mp-1003322,MACE-MP,scored,-7.1268391609191895
mp-1003402,ALIGNN-FF,scored,-5.008370876312256
mp-1003402,CHGNet,scored,-7.854635238647461
mp-1003402,MACE-MP,scored,-7.1233649253845215
mp-1003483,ALIGNN-FF,scored,-5.591163635253906
mp-1003483,CHGNet,scored,-8.157886505126953
mp-1003483,MACE-MP,scored,-7.22965592604417
mp-1003486,ALIGNN-FF,scored,-5.042074680328369
mp-1003486,CHGNet,scored,-7.854623794555664
mp-1003486,MACE-MP,scored,-7.123372077941895
mp-10036,ALIGNN-FF,scored,-4.037162017822266
mp-10036,CHGNet,scored,-6.329605579376221
mp-10036,MACE-MP,scored,-6.370066833496094
mp-1003637,ALIGNN-FF,scored,-5.556869125366211
mp-1003637,CHGNet,scored,-7.845152854919434
mp-1003637,MACE-MP,scored,-6.940377807617187
mp-10037,ALIGNN-FF,scored,-4.93225326538086
mp-10037,CHGNet,scored,-7.051746845245361
mp-10037,MACE-MP,scored,-7.092942810058593
mp-1003769,ALIGNN-FF,scored,-5.345672607421875
mp-1003769,CHGNet,scored,-7.505592823028564
mp-1003769,MACE-MP,scored,-6.695075988769531
mp-1003856,ALIGNN-FF,scored,-4.7631425857543945
mp-1003856,CHGNet,scored,-7.598536014556885
mp-1003856,MACE-MP,scored,-6.884975433349609
mp-10039,ALIGNN-FF,scored,-3.6436656951904296
mp-10039,CHGNet,scored,-5.629197597503662
mp-10039,MACE-MP,scored,-5.61890869140625
mp-1004373,ALIGNN-FF,scored,-5.2062764167785645
mp-1004373,CHGNet,scored,-7.360650062561035
mp-1004373,MACE-MP,scored,-6.605442523956299
mp-1004375,ALIGNN-FF,scored,-5.52523686335637
mp-1004375,CHGNet,scored,-8.040021896362305
mp-1004375,MACE-MP,scored,-7.106290377103365
mp-10044,ALIGNN-FF,scored,-4.427464485168457
mp-10044,CHGNet,scored,-5.765933036804199
mp-10044,MACE-MP,scored,-5.691648006439209
mp-10045,ALIGNN-FF,scored,-2.182244777679444
mp-10045,CHGNet,scored,-3.960196733474731
mp-10045,MACE-MP,scored,-3.967076778411865
mp-1004525,ALIGNN-FF,scored,-5.729714613694411
mp-1004525,CHGNet,scored,-6.781383991241455
mp-1004525,MACE-MP,scored,-6.767669677734375
mp-1004528,ALIGNN-FF,scored,-3.59033203125
mp-1004528,CHGNet,scored,-5.952044486999512
mp-1004528,MACE-MP,scored,-5.601526596966912
mp-10046,ALIGNN-FF,scored,-6.199159145355225
mp-10046,CHGNet,scored,-8.53670597076416
mp-10046,MACE-MP,scored,-8.57400131225586
mp-10047,ALIGNN-FF,scored,-1.97159481048584
mp-10047,CHGNet,scored,-4.143429756164551
mp-10047,MACE-MP,scored,-4.1312689781188965
mp-1004753,ALIGNN-FF,scored,-5.811008159930889
mp-1004753,CHGNet,scored,-6.771125793457031
mp-1004753,MACE-MP,scored,-6.72317387507512
mp-1004756,ALIGNN-FF,scored,-5.791161757249099
mp-1004756,CHGNet,scored,-6.78495979309082
mp-1004756,MACE-MP,scored,-6.743509732759916
mp-1004758,ALIGNN-FF,scored,-5.407507809725675
mp-1004758,CHGNet,scored,-7.541117191314697
mp-1004758,MACE-MP,scored,-6.718942122025923
mp-10049,ALIGNN-FF,scored,-4.932204352484809
mp-10049,CHGNet,scored,-7.895993709564209
mp-10049,MACE-MP,scored,-7.883132934570312
mp-1005,ALIGNN-FF,scored,-4.782537460327148
mp-1005,CHGNet,scored,-7.5083327293396
mp-1005,MACE-MP,scored,-7.509382247924805
mp-10051,ALIGNN-FF,scored,-2.1903624534606934
mp-10051,CHGNet,scored,-3.788895606994629
mp-10051,MACE-MP,scored,-3.8205716609954834
mp-10052,ALIGNN-FF,scored,-5.078507900238037
mp-10052,CHGNet,scored,-7.162715435028076
mp-10052,MACE-MP,scored,-7.195254325866699
mp-10054,ALIGNN-FF,scored,-5.529401779174805
mp-10054,CHGNet,scored,-7.750575065612793
mp-10054,MACE-MP,scored,-7.735691070556641
mp-10055,ALIGNN-FF,scored,-6.168308258056641
mp-10055,CHGNet,scored,-7.729216575622559
mp-10055,MACE-MP,scored,-7.801960536411831
mp-1005689,ALIGNN-FF,scored,-2.485105302598741
mp-1005689,CHGNet,scored,-5.277811050415039
mp-1005689,MACE-MP,scored,-5.270030127631293
mp-1005693,ALIGNN-FF,scored,-0.7460770010948181
mp-1005693,CHGNet,scored,-3.610156297683716
mp-1005693,MACE-MP,scored,-3.5932393074035645
mp-10057,ALIGNN-FF,scored,-6.210944366455078
mp-10057,CHGNet,scored,-7.811694622039795
mp-10057,MACE-MP,scored,-7.850783538818359
mp-1005752,ALIGNN-FF,scored,-1.7037429809570312
mp-1005752,CHGNet,scored,-4.488335609436035
mp-1005752,MACE-MP,scored,-4.484954833984375
mp-1005753,ALIGNN-FF,scored,-1.963186899820964
mp-1005753,CHGNet,scored,-4.952798366546631
mp-1005753,MACE-MP,scored,-4.986313713921441
mp-1005755,ALIGNN-FF,scored,-2.7962446212768555
mp-1005755,CHGNet,scored,-5.857485294342041
mp-1005755,MACE-MP,scored,-5.886265754699707
mp-1005761,ALIGNN-FF,scored,-1.9737104177474976
mp-1005761,CHGNet,scored,-11.690871238708496
mp-1005761,MACE-MP,scored,-11.729721069335938
mp-10058,ALIGNN-FF,scored,-4.532196680704753
mp-10058,CHGNet,scored,-6.450056076049805
mp-10058,MACE-MP,scored,-6.440080006917317
mp-1005831,ALIGNN-FF,scored,-2.79909553527832
mp-1005831,CHGNet,scored,-5.934745788574219
mp-1005831,MACE-MP,scored,-5.951469421386719
mp-1005895,ALIGNN-FF,scored,-2.0160601139068604
mp-1005895,CHGNet,scored,-7.013377666473389
mp-1005895,MACE-MP,scored,-7.048092842102051
mp-10059,ALIGNN-FF,scored,-5.622999827067058
mp-10059,CHGNet,scored,-7.74322509765625
mp-10059,MACE-MP,scored,-7.782084147135417
mp-1006057,ALIGNN-FF,scored,-1.4291729927062988
mp-1006057,CHGNet,scored,-4.29306173324585
mp-1006057,MACE-MP,scored,-4.29447603225708
mp-1006068,ALIGNN-FF,scored,-2.516489028930664
mp-1006068,CHGNet,scored,-10.14042854309082
mp-1006068,MACE-MP,scored,-10.119661331176758
mp-1006118,ALIGNN-FF,scored,-2.984937243991428
mp-1006118,CHGNet,scored,-4.836385726928711
mp-1006118,MACE-MP,scored,-4.519842359754774
mp-1006132,ALIGNN-FF,scored,-5.435810565948486
mp-1006132,CHGNet,scored,-8.449915885925293
mp-1006132,MACE-MP,scored,-8.391716957092285
mp-1006146,ALIGNN-FF,scored,-1.0395889282226562
mp-1006146,CHGNet,scored,-4.780253410339356
mp-1006146,MACE-MP,scored,-4.781572341918945
mp-10062,ALIGNN-FF,scored,-4.837523324148996
mp-10062,CHGNet,scored,-7.405125617980957
mp-10062,MACE-MP,scored,-7.029386792864118
mp-1006223,ALIGNN-FF,scored,-5.698292658879207
mp-1006223,CHGNet,scored,-7.511763095855713
mp-1006223,MACE-MP,scored,-7.4972410935622
mp-1006242,ALIGNN-FF,scored,-1.5970159258161272
mp-1006242,CHGNet,scored,-6.15660285949707
mp-1006242,MACE-MP,scored,-6.156116485595703
mp-1006246,ALIGNN-FF,scored,-2.141941547393799
mp-1006246,CHGNet,scored,-4.923822402954102
mp-1006246,MACE-MP,scored,-4.942989349365234
mp-1006256,ALIGNN-FF,scored,-1.725950002670288
mp-1006256,CHGNet,scored,-4.589711666107178
mp-1006256,MACE-MP,scored,-4.575821876525879
mp-1006282,ALIGNN-FF,scored,-2.802260398864746
mp-1006282,CHGNet,scored,-5.549671649932861
mp-1006282,MACE-MP,scored,-5.534073638916016
mp-10063,ALIGNN-FF,scored,-0.6779336929321289
mp-10063,CHGNet,scored,-3.355785846710205
mp-10063,MACE-MP,scored,-3.2956435680389404
mp-1006322,ALIGNN-FF,scored,-5.435614691840278
mp-1006322,CHGNet,scored,-7.861714363098144
mp-1006322,MACE-MP,scored,-7.875500996907552
mp-1006323,ALIGNN-FF,scored,-2.1662230491638184
mp-1006323,CHGNet,scored,-4.8215765953063965
mp-1006323,MACE-MP,scored,-4.814732551574707
mp-1006324,ALIGNN-FF,scored,-5.1701606750488285
mp-1006324,CHGNet,scored,-7.371941566467285
mp-1006324,MACE-MP,scored,-7.080701446533203
mp-1006351,ALIGNN-FF,scored,-3.513701200485229
mp-1006351,CHGNet,scored,-6.2423505783081055
mp-1006351,MACE-MP,scored,-6.231833457946777
mp-1006352,ALIGNN-FF,scored,-2.778686141967773
mp-1006352,CHGNet,scored,-5.916205406188965
mp-1006352,MACE-MP,scored,-5.924081039428711
mp-1006372,ALIGNN-FF,scored,-3.503253618876139
mp-1006372,CHGNet,scored,-5.814975738525391
mp-1006372,MACE-MP,scored,-5.36024284362793
mp-1006399,ALIGNN-FF,scored,-0.4417978525161743
mp-1006399,CHGNet,scored,-3.680251121520996
mp-1006399,MACE-MP,scored,-3.659673055013021
mp-10068,ALIGNN-FF,scored,-6.599108378092448
mp-10068,CHGNet,scored,-9.102203369140623
mp-10068,MACE-MP,scored,-8.931575775146484
mp-1006885,ALIGNN-FF,scored,-3.4528937339782715
mp-1006885,CHGNet,scored,-5.614227771759033
mp-1006885,MACE-MP,scored,-5.381750106811523
mp-1006888,ALIGNN-FF,scored,-3.8074309825897217
mp-1006888,CHGNet,scored,-6.0700459480285645
mp-1006888,MACE-MP,scored,-5.845524787902832
mp-1006891,ALIGNN-FF,scored,-2.9882607460021973
mp-1006891,CHGNet,scored,-5.189093112945557
mp-1006891,MACE-MP,scored,-4.953192710876465
mp-10069,ALIGNN-FF,scored,-5.001914978027344
mp-10069,CHGNet,scored,-7.03411865234375
mp-10069,MACE-MP,scored,-7.0279693603515625
mp-1007,ALIGNN-FF,scored,-3.2933449745178223
mp-1007,CHGNet,scored,-5.57602071762085
mp-1007,MACE-MP,scored,-5.481834888458252
mp-10074,ALIGNN-FF,scored,-1.841005007425944
mp-10074,CHGNet,scored,-4.420411586761475
mp-10074,MACE-MP,scored,-4.115288098653157
mp-10076,ALIGNN-FF,scored,-3.4821864041415127
mp-10076,CHGNet,scored,-7.136851787567139
mp-10076,MACE-MP,scored,-7.153172579678622
mp-1007636,ALIGNN-FF,scored,-3.541490077972412
mp-1007636,CHGNet,scored,-5.572439670562744
mp-1007636,MACE-MP,scored,-5.34788703918457
mp-1007637,ALIGNN-FF,scored,-1.3821768760681152
mp-1007637,CHGNet,scored,-2.520646572113037
mp-1007637,MACE-MP,scored,-2.402827024459839
mp-1007652,ALIGNN-FF,scored,-1.3526030778884888
mp-1007652,CHGNet,scored,-3.845093965530396
mp-1007652,MACE-MP,scored,-3.916280746459961
mp-1007656,ALIGNN-FF,scored,-4.472805023193359
mp-1007656,CHGNet,scored,-7.201957702636719
mp-1007656,MACE-MP,scored,-7.245557308197021
mp-1007661,ALIGNN-FF,scored,-0.806647777557373
mp-1007661,CHGNet,scored,-3.5706257820129395
mp-1007661,MACE-MP,scored,-3.537707090377808
mp-1007663,ALIGNN-FF,scored,-2.130290508270264
mp-1007663,CHGNet,scored,-4.547669410705566
mp-1007663,MACE-MP,scored,-4.348394393920898
mp-1007664,ALIGNN-FF,scored,-2.131617307662964
mp-1007664,CHGNet,scored,-5.006248474121094
mp-1007664,MACE-MP,scored,-5.026947975158691
mp-1007665,ALIGNN-FF,scored,-3.222994089126587
mp-1007665,CHGNet,scored,-5.539836406707764
mp-1007665,MACE-MP,scored,-5.2873077392578125
mp-1007666,ALIGNN-FF,scored,-2.295683622360229
mp-1007666,CHGNet,scored,-4.799871444702148
mp-1007666,MACE-MP,scored,-4.820448398590088
mp-1007691,ALIGNN-FF,scored,-6.713362693786621
mp-1007691,CHGNet,scored,-9.10167121887207
mp-1007691,MACE-MP,scored,-9.149820327758787
mp-1007692,ALIGNN-FF,scored,-5.576983451843262
mp-1007692,CHGNet,scored,-8.28967571258545
mp-1007692,MACE-MP,scored,-8.254804611206055
mp-1007730,ALIGNN-FF,scored,-3.875786304473877
mp-1007730,CHGNet,scored,-5.681353092193604
mp-1007730,MACE-MP,scored,-5.737849235534668
mp-1007755,ALIGNN-FF,scored,-4.757156848907471
mp-1007755,CHGNet,scored,-7.070091247558594
mp-1007755,MACE-MP,scored,-7.163965702056885
mp-1007758,ALIGNN-FF,scored,-2.582965612411499
mp-1007758,CHGNet,scored,-5.503267288208008
mp-1007758,MACE-MP,scored,-5.497721195220947
mp-1007760,ALIGNN-FF,scored,-0.9137502908706664
mp-1007760,CHGNet,scored,-4.4573655128479
mp-1007760,MACE-MP,scored,-4.59738826751709
mp-1007786,ALIGNN-FF,scored,-7.417722702026367
mp-1007786,CHGNet,scored,-10.35816764831543
mp-1007786,MACE-MP,scored,-10.334850311279297
mp-10078,ALIGNN-FF,scored,-3.2644335428873696
mp-10078,CHGNet,scored,-6.389808654785156
mp-10078,MACE-MP,scored,-6.387599945068359
mp-1007821,ALIGNN-FF,scored,-2.535661220550537
mp-1007821,CHGNet,scored,-5.860930442810059
mp-1007821,MACE-MP,scored,-5.847247123718262
mp-1007852,ALIGNN-FF,scored,-4.373630523681641
mp-1007852,CHGNet,scored,-7.381731986999512
mp-1007852,MACE-MP,scored,-7.431796550750732
mp-1007853,ALIGNN-FF,scored,-3.7311952114105225
mp-1007853,CHGNet,scored,-7.709836006164551
mp-1007853,MACE-MP,scored,-7.722025394439697
mp-1007855,ALIGNN-FF,scored,-2.2463600635528564
mp-1007855,CHGNet,scored,-6.449581623077393
mp-1007855,MACE-MP,scored,-6.488278388977051
mp-1007857,ALIGNN-FF,scored,0.7378090620040894
mp-1007857,CHGNet,scored,-2.9818968772888184
mp-1007857,MACE-MP,scored,-2.999706983566284
mp-1007862,ALIGNN-FF,scored,-3.7391746044158936
mp-1007862,CHGNet,scored,-7.720232486724853
mp-1007862,MACE-MP,scored,-7.731621742248535
mp-1007881,ALIGNN-FF,scored,-5.56697416305542
mp-1007881,CHGNet,scored,-7.9351091384887695
mp-1007881,MACE-MP,scored,-7.935239315032959
mp-1007900,ALIGNN-FF,scored,-3.277571439743042
mp-1007900,CHGNet,scored,-6.688395977020264
mp-1007900,MACE-MP,scored,-6.417710304260254
mp-1007907,ALIGNN-FF,scored,-2.1041817665100098
mp-1007907,CHGNet,scored,-4.533309459686279
mp-1007907,MACE-MP,scored,-4.3347578048706055
mp-1007908,ALIGNN-FF,scored,-2.152874231338501
mp-1007908,CHGNet,scored,-4.558188438415527
mp-1007908,MACE-MP,scored,-4.367665767669678
mp-1007910,ALIGNN-FF,scored,-3.482236862182617
mp-1007910,CHGNet,scored,-6.701158046722412
mp-1007910,MACE-MP,scored,-6.469435214996338
mp-1007918,ALIGNN-FF,scored,-2.2839488983154297
mp-1007918,CHGNet,scored,-4.804488658905029
mp-1007918,MACE-MP,scored,-4.82739782333374
mp-1007922,ALIGNN-FF,scored,0.6001145839691162
mp-1007922,CHGNet,scored,-3.0978446006774902
mp-1007922,MACE-MP,scored,-2.9174675941467285
mp-1007923,ALIGNN-FF,scored,-2.712282419204712
mp-1007923,CHGNet,scored,-6.7499284744262695
mp-1007923,MACE-MP,scored,-6.766420841217041
mp-1007974,ALIGNN-FF,scored,-2.712862491607666
mp-1007974,CHGNet,scored,-6.7540130615234375
mp-1007974,MACE-MP,scored,-6.705417633056641
mp-1007976,ALIGNN-FF,scored,1.521221160888672
mp-1007976,CHGNet,scored,-0.8613659143447876
mp-1007976,MACE-MP,scored,-0.8176368474960327
mp-1008224,ALIGNN-FF,scored,-5.137124061584473
mp-1008224,CHGNet,scored,-7.588034152984619
mp-1008224,MACE-MP,scored,-7.621637344360352
mp-1008274,ALIGNN-FF,scored,-5.799304008483887
mp-1008274,CHGNet,scored,-8.61668586730957
mp-1008274,MACE-MP,scored,-8.573236465454102
mp-1008279,ALIGNN-FF,scored,-5.326272010803223
mp-1008279,CHGNet,scored,-8.062105178833008
mp-1008279,MACE-MP,scored,-8.05091667175293
mp-1008280,ALIGNN-FF,scored,-4.904720306396484
mp-1008280,CHGNet,scored,-7.674012184143066
mp-1008280,MACE-MP,scored,-7.684211254119873
mp-1008349,ALIGNN-FF,scored,-3.5910089015960693
mp-1008349,CHGNet,scored,-6.685360431671143
mp-1008349,MACE-MP,scored,-6.707177639007568
mp-1008376,ALIGNN-FF,scored,-3.729624509811402
mp-1008376,CHGNet,scored,-4.682342052459717
mp-1008376,MACE-MP,scored,-4.488310813903809
mp-1008487,ALIGNN-FF,scored,-8.290010452270508
mp-1008487,CHGNet,scored,-10.157838821411133
mp-1008487,MACE-MP,scored,-10.180425643920898
mp-1008488,ALIGNN-FF,scored,-2.072556257247925
mp-1008488,CHGNet,scored,-4.829770565032959
mp-1008488,MACE-MP,scored,-4.862868309020996
mp-1008492,ALIGNN-FF,scored,0.147999882698059
mp-1008492,CHGNet,scored,-2.0465822219848637
mp-1008492,MACE-MP,scored,-1.784797430038452
mp-1008500,ALIGNN-FF,scored,-4.072655200958252
mp-1008500,CHGNet,scored,-6.190234661102295
mp-1008500,MACE-MP,scored,-5.887228965759277
mp-1008501,ALIGNN-FF,scored,-2.416001796722412
mp-1008501,CHGNet,scored,-3.7183427810668954
mp-1008501,MACE-MP,scored,-3.730115413665772
mp-1008505,ALIGNN-FF,scored,-1.674889087677002
mp-1008505,CHGNet,scored,-4.1066670417785645
mp-1008505,MACE-MP,scored,-4.101317882537842
