element_family,n,discordant_n,discordance_rate,near_hull_fraction
transition_metal,189,21,0.1111111111111111,0.7407407407407407
alkali,33,6,0.18181818181818182,0.7575757575757576
alkaline_earth,52,6,0.11538461538461539,0.6538461538461539
chalcogen,82,6,0.07317073170731707,0.7317073170731707
pnictogen,62,5,0.08064516129032258,0.7580645161290323
lanthanide_actinide,72,5,0.06944444444444445,0.8611111111111112
halogen,6,1,0.16666666666666666,0.8333333333333334
other,3,0,0.0,1.0
