material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1009594,Pr,0.046940603333336,0.0320393800000005,0.014901223333335503,False,False,False,both_unstable,False,False,True,208,0.7247386759581882,211,0.735191637630662,209,0.7282229965156795
mp-1009641,CoTe2,0.019206191666661,0.0004117555555556,0.0187944361111054,False,False,False,both_unstable,True,True,True,195,0.6794425087108014,196,0.6829268292682927,211,0.735191637630662
mp-1009654,CaGe2,0.024728010000002,0.0211820833333336,0.003545926666668399,False,False,False,both_unstable,False,True,True,257,0.8954703832752613,240,0.8362369337979094,238,0.8292682926829268
mp-1009657,CaN2,0.0,0.0108470233333353,0.0108470233333353,True,False,True,MP_stable_only,True,True,True,79,0.27526132404181186,102,0.3554006968641115,102,0.3554006968641115
mp-1009730,Ca2Sn,0.010972289166666,0.029941780833333,0.018969491666667,False,False,False,both_unstable,False,True,True,270,0.9407665505226481,270,0.9407665505226481,268,0.9337979094076655
mp-1009733,Ca2Si,0.0,0.0134636925000002,0.0134636925000002,True,False,True,MP_stable_only,True,True,True,254,0.8850174216027874,265,0.9233449477351916,261,0.9094076655052264
mp-1009755,Ca2Ge,0.0,0.0158432116666666,0.0158432116666666,True,False,True,MP_stable_only,True,True,True,265,0.9233449477351916,267,0.9303135888501742,265,0.9233449477351916
mp-1009756,Ca2Pb,0.014137890833334,0.0360066933333338,0.021868802499999798,False,False,False,both_unstable,False,True,True,269,0.9372822299651568,275,0.9581881533101045,274,0.9547038327526133
mp-1009770,RuN,0.079167312499997,0.0944073374999998,0.015240025000002794,False,False,False,both_unstable,False,False,False,26,0.09059233449477352,28,0.0975609756097561,28,0.0975609756097561
mp-10098,YGeAu,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,188,0.6550522648083623,176,0.6132404181184669,168,0.5853658536585366
mp-1009834,Al2Ru,0.019733673333332,0.0324395733333329,0.012705900000000901,False,False,False,both_unstable,False,True,True,124,0.43205574912891986,138,0.4808362369337979,133,0.4634146341463415
