model,n_common,top_n,baseline_discordance,observed_top_decile_discordance,observed_enrichment,permutation_n,permutation_p_ge_observed,permutation_mean_top_decile_discordance,permutation_p95_top_decile_discordance
ALIGNN-FF,287,29,0.10801393728222997,0.1724137931034483,1.596218020022247,2000,0.19390304847576212,0.11,0.20689655172413793
CHGNet,287,29,0.10801393728222997,0.10344827586206896,0.9577308120133482,2000,0.6286856571714143,0.10881034482758621,0.20689655172413793
MACE-MP,287,29,0.10801393728222997,0.10344827586206896,0.9577308120133482,2000,0.6301849075462269,0.10848275862068965,0.20689655172413793
