model,selection_fraction,top_n,discordant_n,discordance_rate,baseline_discordance_rate,enrichment_vs_baseline,bootstrap95_low,bootstrap95_high,random_null_mean,random_null95_low,random_null95_high,permutation_p_ge_observed
ALIGNN-FF,0.01,3,0,0.0,0.10801393728222997,0.0,0.0,0.0,0.10983333333333332,0.0,0.6666666666666666,1.0
ALIGNN-FF,0.05,15,2,0.13333333333333333,0.10801393728222997,1.2344086021505376,0.0,0.3333333333333333,0.10885999999999998,0.0,0.26666666666666666,0.49925007499250074
ALIGNN-FF,0.1,29,5,0.1724137931034483,0.10801393728222997,1.596218020022247,0.034482758620689655,0.3448275862068966,0.10870344827586206,0.0,0.2413793103448276,0.19168083191680832
ALIGNN-FF,0.2,58,6,0.10344827586206896,0.10801393728222997,0.9577308120133482,0.034482758620689655,0.1896551724137931,0.1087258620689655,0.034482758620689655,0.1896551724137931,0.6283371662833717
ALIGNN-FF,0.5,144,17,0.11805555555555555,0.10801393728222997,1.0929659498207884,0.06944444444444445,0.1736111111111111,0.10786527777777778,0.06944444444444445,0.14583333333333334,0.35336466353364665
CHGNet,0.01,3,1,0.3333333333333333,0.10801393728222997,3.086021505376344,0.0,1.0,0.10783333333333332,0.0,0.6666666666666666,0.2916708329167083
CHGNet,0.05,15,1,0.06666666666666667,0.10801393728222997,0.6172043010752688,0.0,0.2,0.1072,0.0,0.26666666666666666,0.8237176282371763
CHGNet,0.1,29,3,0.10344827586206896,0.10801393728222997,0.9577308120133482,0.0,0.20689655172413793,0.10915172413793102,0.0,0.2413793103448276,0.6405359464053595
CHGNet,0.2,58,7,0.1206896551724138,0.10801393728222997,1.117352614015573,0.034482758620689655,0.20689655172413793,0.10818103448275863,0.034482758620689655,0.1896551724137931,0.44395560443955606
CHGNet,0.5,144,16,0.1111111111111111,0.10801393728222997,1.0286738351254479,0.0625,0.16666666666666666,0.10826597222222221,0.06944444444444445,0.14583333333333334,0.5116488351164884
MACE-MP,0.01,3,1,0.3333333333333333,0.10801393728222997,3.086021505376344,0.0,1.0,0.11023333333333332,0.0,0.6666666666666666,0.29517048295170484
MACE-MP,0.05,15,1,0.06666666666666667,0.10801393728222997,0.6172043010752688,0.0,0.2,0.10867333333333332,0.0,0.26666666666666666,0.8242175782421758
MACE-MP,0.1,29,3,0.10344827586206896,0.10801393728222997,0.9577308120133482,0.0,0.2413793103448276,0.10918275862068966,0.0,0.20689655172413793,0.6403359664033597
MACE-MP,0.2,58,7,0.1206896551724138,0.10801393728222997,1.117352614015573,0.034482758620689655,0.20689655172413793,0.10764137931034484,0.034482758620689655,0.1896551724137931,0.43285671432856715
MACE-MP,0.5,144,14,0.09722222222222222,0.10801393728222997,0.900089605734767,0.05555555555555555,0.1527777777777778,0.10813958333333334,0.06944444444444445,0.14583333333333334,0.7815218478152185
