material_id,match_status,formula,mp_e_above_hull,alex_e_above_hull,mp_stable_exact,alex_stable_exact,structure_match
mp-1000,strict_structure_match,BaTe,0.0,0.0,True,True,True
mp-10000,strict_structure_match,Hf2S,0.0,0.0,True,True,True
mp-10003,strict_structure_match,Nb4CoSi,0.012775998749997,0.0286554658333351,False,False,True
mp-10004,strict_structure_match,Mo3P,0.0,0.0,True,True,True
mp-1000528,missing_mp_record,Er(CuGe)2,,0.0,,True,False
mp-1000587,missing_mp_record,Ta5As4,,0.0,,True,False
mp-1000607,missing_mp_record,Tm(SiRh)2,,0.0,,True,False
mp-1000839,missing_mp_record,MoP,,0.0,,True,False
mp-10009,strict_structure_match,GaTe,0.004359849583334001,0.006258415,False,False,True
mp-1001,strict_structure_match,BaN2,0.0,0.0,True,True,True
mp-10010,strict_structure_match,Al(CoSi)2,0.015228510000012001,0.0,False,True,True
mp-1001012,strict_structure_match,Sc2ZnS4,0.009632063214286,0.0092860403571419,False,False,True
mp-1001015,strict_structure_match,Y2ZnS4,0.047406897244899,0.0457952016666665,False,False,True
mp-1001016,strict_structure_match,Sc2ZnSe4,0.019004453928572,0.0193959778571422,False,False,True
mp-1001017,strict_structure_match,Zn(InSe2)2,0.05922681285714201,0.0592268128571427,False,False,True
mp-1001019,strict_structure_match,Mg(ScSe2)2,0.003288914642856,0.0036804385714273,False,False,True
mp-1001021,strict_structure_match,Y2ZnSe4,0.04873350357142801,0.0487335035714284,False,False,True
mp-1001022,strict_structure_match,Cu2PPd2,0.0044322958181810005,0.0044318350000001,False,False,True
mp-1001024,strict_structure_match,Y2MgS4,0.0030399257142930004,0.0014960495238049,False,False,True
mp-1001034,strict_structure_match,Mg(InSe2)2,0.035784261785716004,0.0357842617857149,False,False,True
mp-1001080,strict_structure_match,H2CO3,0.004742672083333,0.005291064583333,False,False,True
mp-10014,strict_structure_match,TaS2,0.0,0.0,True,True,True
mp-10015,strict_structure_match,SiOs,0.027129491249997,0.0394055745833323,False,False,True
mp-1001571,strict_structure_match,CaFeO3,0.052147251500000005,0.0521472515000001,False,False,True
mp-1001581,strict_structure_match,LiC6,0.0004901294805170001,0.0,False,True,True
mp-1001600,strict_structure_match,HfB12,0.056437771153838,0.0415730637179478,False,False,True
mp-1001603,strict_structure_match,LuNiC2,0.0,0.0,True,True,True
mp-1001604,strict_structure_match,LuTlS2,0.0,0.0,True,True,True
mp-1001606,strict_structure_match,LuFeC2,0.0,0.0,True,True,True
mp-1001611,strict_structure_match,LuTlSe2,0.0,0.0,True,True,True
mp-1001612,strict_structure_match,LuSi,0.0,0.0,True,True,True
mp-1001613,strict_structure_match,LuGa,0.0,0.0,True,True,True
mp-1001614,strict_structure_match,LuCoC2,0.0,0.0,True,True,True
mp-1001615,strict_structure_match,LiZrSe2,0.0,2.8549999999683e-06,True,False,True
mp-1001765,missing_mp_record,Ag3Pt,,0.0318739591666665,,False,False
mp-1001780,strict_structure_match,LuCuS2,0.0,0.0,True,True,True
mp-1001783,strict_structure_match,LiSnS2,0.061395118906249005,0.0732138028125,False,False,True
mp-1001784,strict_structure_match,LiTiS2,0.0032458749999990004,0.0180941050000003,False,False,True
mp-1001786,strict_structure_match,LiScS2,0.0,0.0,True,True,True
mp-1001787,strict_structure_match,LiRh3,0.0,0.0,True,True,True
mp-1001833,strict_structure_match,InBi,0.0,0.0259400624999996,True,False,True
mp-1001835,strict_structure_match,LiB,0.0,0.0063941525000004,True,False,True
mp-1001836,strict_structure_match,MnGa,0.0,0.0,True,True,True
mp-1001989,missing_mp_record,Sm(SiOs)2,,0.0,,True,False
