definition,threshold_mev,flag_n,flag_fraction,flagged_discordant_n,flagged_discordance_rate,flagged_ci95_lo,flagged_ci95_hi,discordant_capture_fraction,flagged_concordant_n,flag_false_alarm_fraction,outside_n,outside_discordant_n,outside_discordance_rate,outside_ci95_lo,outside_ci95_hi
either_source_min_abs,10,165,0.5749128919860628,31,0.18787878787878787,0.13136844930259478,0.2559505734672696,1.0,134,0.8121212121212121,122,0,0.0,0.0,0.029784160061428706
both_sources_max_abs,10,133,0.4634146341463415,11,0.08270676691729323,0.042010814423931495,0.14316626566952273,0.3548387096774194,122,0.9172932330827067,154,20,0.12987012987012986,0.08116628783198611,0.19342644996192487
mp_reference_abs,10,156,0.5435540069686411,26,0.16666666666666666,0.11185502592440184,0.2345904455505111,0.8387096774193549,130,0.8333333333333334,131,5,0.03816793893129771,0.012507252825733062,0.08682298655851703
alexandria_reference_abs,10,142,0.49477351916376305,16,0.11267605633802817,0.06579271713436217,0.17652367493759563,0.5161290322580645,126,0.8873239436619719,145,15,0.10344827586206896,0.059065413370553425,0.164878213141692
mean_source_abs,10,147,0.5121951219512195,20,0.1360544217687075,0.08512818814316205,0.20227724028738486,0.6451612903225806,127,0.8639455782312925,140,11,0.07857142857142857,0.03987475568665389,0.1362364302192925
either_source_min_abs,25,213,0.7421602787456446,31,0.14553990610328638,0.10107828088844184,0.20017767007260745,1.0,182,0.8544600938967136,74,0,0.0,0.0,0.04862761623798953
both_sources_max_abs,25,181,0.6306620209059234,22,0.12154696132596685,0.07776347780108292,0.1782246524654057,0.7096774193548387,159,0.8784530386740331,106,9,0.08490566037735849,0.039561240412523305,0.1550649735318217
mp_reference_abs,25,198,0.6898954703832753,29,0.14646464646464646,0.10033549672394158,0.20352816347257002,0.9354838709677419,169,0.8535353535353535,89,2,0.02247191011235955,0.002733133384090608,0.07882812431832606
alexandria_reference_abs,25,196,0.6829268292682927,24,0.12244897959183673,0.08005416947324402,0.17669740056286207,0.7741935483870968,172,0.8775510204081632,91,7,0.07692307692307693,0.03148622318937714,0.1520875245620333
mean_source_abs,25,194,0.6759581881533101,29,0.14948453608247422,0.10245435483335225,0.2075786911456268,0.9354838709677419,165,0.8505154639175257,93,2,0.021505376344086023,0.002615094697133009,0.07553297205250831
either_source_min_abs,50,249,0.867595818815331,31,0.12449799196787148,0.08618038953934518,0.17203993207373852,1.0,218,0.8755020080321285,38,0,0.0,0.0,0.09251276141587829
both_sources_max_abs,50,230,0.8013937282229965,29,0.12608695652173912,0.08609341069730889,0.1760394092413448,0.9354838709677419,201,0.8739130434782608,57,2,0.03508771929824561,0.004277894940531769,0.12107066319620115
mp_reference_abs,50,236,0.8222996515679443,31,0.13135593220338984,0.09102477374314287,0.18124086528916633,1.0,205,0.8686440677966102,51,0,0.0,0.0,0.06977703074953864
alexandria_reference_abs,50,243,0.8466898954703833,29,0.11934156378600823,0.0814000864227477,0.16688030777138246,0.9354838709677419,214,0.8806584362139918,44,2,0.045454545454545456,0.005552951995370494,0.15473157765898934
mean_source_abs,50,241,0.8397212543554007,31,0.12863070539419086,0.08909842207652738,0.17758807785906827,1.0,210,0.8713692946058091,46,0,0.0,0.0,0.07706182705190072
either_source_min_abs,100,287,1.0,31,0.10801393728222997,0.07457947901967947,0.14980476417965943,1.0,256,0.89198606271777,0,0,,,
both_sources_max_abs,100,278,0.9686411149825784,31,0.11151079136690648,0.07703537834299046,0.15453568849873633,1.0,247,0.8884892086330936,9,0,0.0,0.0,0.3362671168799428
mp_reference_abs,100,278,0.9686411149825784,31,0.11151079136690648,0.07703537834299046,0.15453568849873633,1.0,247,0.8884892086330936,9,0,0.0,0.0,0.3362671168799428
alexandria_reference_abs,100,287,1.0,31,0.10801393728222997,0.07457947901967947,0.14980476417965943,1.0,256,0.89198606271777,0,0,,,
mean_source_abs,100,282,0.9825783972125436,31,0.1099290780141844,0.0759241785532634,0.15239671042979872,1.0,251,0.8900709219858156,5,0,0.0,0.0,0.5218237501049814
