prototype_proxy,n,discordant_n,discordance_rate
AB2|n=3,21,7,0.3333333333333333
AB|n=4,30,6,0.2
ABC3|n=5,17,4,0.23529411764705882
AB|n=2,23,4,0.17391304347826086
ABC2|n=4,34,3,0.08823529411764706
AB3|n=4,17,2,0.11764705882352941
AB6|n=7,1,1,1.0
ABC2D4|n=16,1,1,1.0
AB2C2|n=5,2,1,0.5
AB2C4|n=7,3,1,0.3333333333333333
AB2C3|n=6,4,1,0.25
ABC2|n=8,12,0,0.0
AB2C4|n=14,9,0,0.0
AB2|n=6,9,0,0.0
ABC2|n=16,9,0,0.0
ABC|n=3,9,0,0.0
AB3|n=8,6,0,0.0
ABC3|n=10,6,0,0.0
ABC|n=6,6,0,0.0
A|n=4,6,0,0.0
AB12|n=13,5,0,0.0
AB2|n=12,4,0,0.0
AB4C8|n=13,4,0,0.0
A|n=2,4,0,0.0
ABC4|n=12,3,0,0.0
A|n=1,3,0,0.0
A2B3C5|n=20,2,0,0.0
A2B3C6|n=11,2,0,0.0
A3B4|n=7,2,0,0.0
A3B5|n=16,2,0,0.0
AB2C2|n=10,2,0,0.0
AB2C6|n=18,2,0,0.0
AB3C6|n=10,2,0,0.0
ABCD|n=4,2,0,0.0
AB|n=8,2,0,0.0
A2B5C12|n=19,1,0,0.0
A2B7|n=18,1,0,0.0
A3B4C4|n=11,1,0,0.0
A3B4C8|n=15,1,0,0.0
A3B7|n=20,1,0,0.0
A4B5|n=18,1,0,0.0
AB2C3|n=12,1,0,0.0
AB2C5|n=16,1,0,0.0
AB3C4|n=16,1,0,0.0
AB3C4|n=8,1,0,0.0
AB3C6|n=20,1,0,0.0
AB3|n=16,1,0,0.0
AB4C12|n=17,1,0,0.0
AB4C4|n=18,1,0,0.0
AB4|n=5,1,0,0.0
