source,ehull_bin,n,discordant_n,discordance_rate
MP,<=0,124,21,0.1693548387096774
MP,0-5meV,19,4,0.21052631578947367
MP,5-10meV,13,1,0.07692307692307693
MP,10-25meV,42,3,0.07142857142857142
MP,25-50meV,38,2,0.05263157894736842
MP,50-100meV,42,0,0.0
MP,>100meV,9,0,0.0
Alexandria,<=0,113,10,0.08849557522123894
Alexandria,0-5meV,13,3,0.23076923076923078
Alexandria,5-10meV,16,3,0.1875
Alexandria,10-25meV,54,8,0.14814814814814814
Alexandria,25-50meV,47,5,0.10638297872340426
Alexandria,50-100meV,44,2,0.045454545454545456
Alexandria,>100meV,0,0,
