comparison,model_a,model_b,top_n_a,top_n_b,intersection_n,union_n,jaccard
ALIGNN-FF_vs_CHGNet,ALIGNN-FF,CHGNet,29,29,22,36,0.6111111111111112
ALIGNN-FF_vs_MACE-MP,ALIGNN-FF,MACE-MP,29,29,22,36,0.6111111111111112
CHGNet_vs_MACE-MP,CHGNet,MACE-MP,29,29,28,30,0.9333333333333333
all_three,ALIGNN-FF|CHGNet|MACE-MP,,29,29,22,37,0.5945945945945946
