chemical_system,n,discordant_n,discordance_rate,near_hull_fraction
Ag-Yb,1,1,1.0,1.0
Al-Co-Si,1,1,1.0,1.0
As-N-Sr,1,1,1.0,1.0
B-Fe,1,1,1.0,1.0
B-Ir-La,1,1,1.0,1.0
B-Li,1,1,1.0,1.0
B-Sc-Sn,1,1,1.0,1.0
Ba-Pd,1,1,1.0,1.0
Bi-In,1,1,1.0,1.0
Br-Cl,1,1,1.0,1.0
C-Li,1,1,1.0,1.0
Ca-N,1,1,1.0,1.0
Ca-Si,1,1,1.0,1.0
Ce-H,1,1,1.0,1.0
Ce-Tl-Y,1,1,1.0,1.0
Co-V,1,1,1.0,1.0
Cr-Se,1,1,1.0,1.0
Cu-K-Se-V,1,1,1.0,1.0
Hf-Tl,1,1,1.0,1.0
K-S-Zr,1,1,1.0,1.0
La-Rh,1,1,1.0,1.0
Li-Se-Zr,1,1,1.0,1.0
Mn-N,1,1,1.0,1.0
N-P-Sr,1,1,1.0,1.0
Te-V,1,1,1.0,1.0
B-Ir-Sc,2,1,0.5,1.0
Ca-Ge,2,1,0.5,1.0
Cr-Ni,2,1,0.5,1.0
Hf-Ir,2,1,0.5,0.5
Ti-Zn,2,1,0.5,1.0
K-Mn-O,5,1,0.2,0.6
Ca-Mn-O,5,0,0.0,0.4
Li-Mn-O,5,0,0.0,0.4
Cs-Se,3,0,0.0,1.0
Fe-Ni,3,0,0.0,0.3333333333333333
H-Mn-O,3,0,0.0,1.0
Hf-Pd,3,0,0.0,0.6666666666666666
Mg-Mn-O,3,0,0.0,0.3333333333333333
As-Ca,2,0,0.0,0.5
B-Mn,2,0,0.0,1.0
Cs,2,0,0.0,0.5
Ga,2,0,0.0,1.0
Gd-Sm,2,0,0.0,1.0
Hf-N-Zn,2,0,0.0,1.0
Hf-Zn,2,0,0.0,1.0
N-Ti-Zn,2,0,0.0,1.0
N-Zn-Zr,2,0,0.0,1.0
N-Zr,2,0,0.0,0.5
S-V,2,0,0.0,1.0
Ag-Gd-Rh,1,0,0.0,1.0
