material_id,reduced_formula,chemical_system,num_sites,energy_above_hull
alex<agm003193553>,Fe3Rh2,Fe-Rh,5,0.0344095350000017
alex<agm003190646>,FeRh3,Fe-Rh,4,0.0242127024999998
alex<agm003190645>,FeRh3,Fe-Rh,4,0.0209539624999992
alex<agm002272952>,FeRh,Fe-Rh,2,0.0475687950000009
alex<agm003202681>,Fe2Rh,Fe-Rh,6,0.038200118333334
alex<agm003200975>,Fe2Rh,Fe-Rh,6,0.006728661666667
alex<agm003197322>,FeRh2,Fe-Rh,6,0.0745487416666677
alex<agm003284889>,FeRh2,Fe-Rh,6,0.0648763483333336
alex<agm003267029>,Fe4Rh5,Fe-Rh,9,0.0580169555555567
alex<agm005443628>,FeRh5,Fe-Rh,6,0.0262916699999982
alex<agm003193544>,Fe2Rh3,Fe-Rh,5,0.0511683560000015
alex<agm003197329>,Fe5Rh,Fe-Rh,6,0.0800503716666671
alex<agm003257894>,Cr3Se4,Cr-Se,7,0.0591628509523793
alex<agm002182034>,SrS2,S-Sr,6,0.0049524758333339
alex<agm002244280>,TbPt7,Pt-Tb,8,0.0634765287499998
alex<agm002321457>,Tb3Pt,Pt-Tb,8,0.038739825625
alex<agm002244278>,TbPt3,Pt-Tb,8,0.0568651387499885
alex<agm003286180>,Ho13Al2,Al-Ho,15,0.0977910690000003
alex<agm003289070>,Ho2Al7,Al-Ho,18,0.0872001088888891
alex<agm003297374>,Na4Au,Au-Na,10,0.0248876843793102
alex<agm002224972>,NaAu,Au-Na,2,0.079650893333333
alex<agm004462053>,NaAu,Au-Na,16,0.041548332708333
alex<agm002182078>,VS2,S-V,3,0.0013714500000006
alex<agm003310776>,Ca2Ga2Pd3,Ca-Ga-Pd,7,0.0581075107142829
alex<agm002331148>,Ca2Ga3Pd2,Ca-Ga-Pd,7,0.0143444739285714
alex<agm005104321>,LiFeO2,Fe-Li-O,4,0.0662070568749992
alex<agm002276241>,Tb(GaPt)2,Ga-Pt-Tb,10,0.0056393485000034
alex<agm002275201>,TbGa3Pt2,Ga-Pt-Tb,6,0.0659442012499997
alex<agm002213145>,TbGa2Pt,Ga-Pt-Tb,8,0.0
alex<agm003475232>,TbGa2Pt5,Ga-Pt-Tb,8,0.0710043650000011
alex<agm003615841>,Ho2AsSe,As-Ho-Se,8,0.0
alex<agm003575201>,Ho3AsSe6,As-Ho-Se,20,0.0740550280000009
alex<agm002194117>,Eu2ZnGe,Eu-Ge-Zn,4,0.0267606212500002
alex<agm001134429>,Er2AgHg,Ag-Er-Hg,4,0.0048218100000005
alex<agm003434243>,Er3AgHg2,Ag-Er-Hg,6,0.0024899083333322
alex<agm003370462>,Er5(AgHg6)2,Ag-Er-Hg,19,0.0942095747368416
alex<agm001835606>,ErAgHg,Ag-Er-Hg,3,0.0316619304761895
alex<agm002247719>,ErAg2Hg,Ag-Er-Hg,4,0.0426866893750004
alex<agm003489517>,Er2AgHg6,Ag-Er-Hg,9,0.0997899570370375
alex<agm003554152>,Er4AgHg3,Ag-Er-Hg,8,0.0497401675000004
alex<agm003785597>,YMgNi2,Mg-Ni-Y,4,0.0921667394394587
alex<agm003364751>,Ba2Ag4Bi5,Ag-Ba-Bi,11,0.0834243009090913
alex<agm003403282>,Ba2AgBi2,Ag-Ba-Bi,10,0.0539204542307691
alex<agm002173378>,MgSO4,Mg-O-S,6,0.0378679674999995
alex<agm001989114>,NdNi2Ge,Ge-Nd-Ni,4,0.0592323507500056
alex<agm003662669>,Nd(Ni3Ge2)2,Ge-Nd-Ni,11,0.0489726884090906
alex<agm002226064>,Nd2Ni2Ge,Ge-Nd-Ni,5,0.0482559778333344
alex<agm002196224>,LuMnAl4,Al-Lu-Mn,12,0.0488971867500014
alex<agm002249041>,Lu(MnAl2)2,Al-Lu-Mn,7,0.0705454060714299
alex<agm003378618>,Ca3(MgGa)4,Ca-Ga-Mg,11,0.0365830251948056
alex<agm003610144>,CaMgGa,Ca-Ga-Mg,6,0.0068231061111108
alex<agm003359309>,Ca3Mg2Ga9,Ca-Ga-Mg,14,0.0117798317857151
alex<agm003376522>,Ca3Mg3Ga8,Ca-Ga-Mg,14,0.0234410296428571
alex<agm003635483>,CaMg2Ga,Ca-Ga-Mg,8,0.0682343700981928
alex<agm002269054>,EuCuAs2,As-Cu-Eu,8,0.0165916643749994
alex<agm002207542>,Eu(CuAs)2,As-Cu-Eu,5,0.018439915
alex<agm002317929>,Zr2SiPd2,Pd-Si-Zr,10,0.0873991014999955
alex<agm002188608>,ZrSiPd2,Pd-Si-Zr,16,0.0626842443749993
alex<agm003578965>,Ce6SbOs3,Ce-Os-Sb,20,0.0751237966363627
alex<agm003733680>,LaTaO4,La-O-Ta,12,0.0918406300000178
alex<agm003725617>,HoIn3Ni,Ho-In-Ni,20,0.0495853783333331
alex<agm003721188>,NaFeF3,F-Fe-Na,20,0.0708616824999941
alex<agm003741344>,NaFeF4,F-Fe-Na,12,0.0437265545833334
alex<agm003727471>,La3CoSb,Co-La-Sb,20,0.0989600579999976
alex<agm002454973>,La3CoSb,Co-La-Sb,5,0.0620038899999979
alex<agm003755653>,CePbAu4,Au-Ce-Pb,6,0.0149040908333297
alex<agm003438520>,Ce3PbAu2,Au-Ce-Pb,6,0.0529327109999959
alex<agm003755298>,Ce4PbAu,Au-Ce-Pb,12,0.0663624708333339
alex<agm002342651>,LiMgSn4,Li-Mg-Sn,6,0.0947359329166661
alex<agm003323243>,Li2Mg2Sn7,Li-Mg-Sn,11,0.0991673636363628
alex<agm003313760>,Li5(MgSn)2,Li-Mg-Sn,9,0.0861441403909948
alex<agm001263858>,NaSnAu,Au-Na-Sn,3,0.0459582708333332
alex<agm003410738>,NaSn3Au2,Au-Na-Sn,12,0.0426773999999974
alex<agm003334777>,Na2Sn4Au3,Au-Na-Sn,18,0.055889360277777
alex<agm003367014>,Na4Sn5Au2,Au-Na-Sn,11,0.0879182069318167
alex<agm005110262>,NaSn2Au,Au-Na-Sn,4,0.0696914750000012
alex<agm003656284>,NaSn5Au4,Au-Na-Sn,10,0.0807177069999984
alex<agm003391047>,Na2SnAu2,Au-Na-Sn,10,0.0130713208333319
alex<agm003469880>,Na2Sn5Au,Au-Na-Sn,8,0.0792292734375004
alex<agm002134181>,LaMnAl4,Al-La-Mn,12,0.02412167833333
alex<agm003411684>,Pr2Ge3Rh,Ge-Pr-Rh,12,0.0485994338888913
alex<agm003623725>,Pr2GeRh,Ge-Pr-Rh,8,0.0532710976953128
alex<agm003528389>,Ca8Cd2Pd,Ca-Cd-Pd,11,0.0381523797727272
alex<agm003310114>,Ca2Cd3Pd2,Ca-Cd-Pd,7,0.0032444484523805
alex<agm003377955>,Ca3(CdPd)4,Ca-Cd-Pd,11,0.0318615981818175
alex<agm002369156>,CaCdPd2,Ca-Cd-Pd,4,0.0259453414583323
alex<agm001125704>,Ca2CdPd,Ca-Cd-Pd,4,0.0449943829166672
alex<agm001199371>,Ca2CdPd,Ca-Cd-Pd,4,0.0793707254166671
alex<agm003359454>,Ba3Sb2Pd9,Ba-Pd-Sb,14,0.0773297200000033
alex<agm003457057>,Ba(SbPd2)2,Ba-Pd-Sb,14,0.0399603601851792
alex<agm003426918>,BaSb2Pd3,Ba-Pd-Sb,12,0.0322612755246902
alex<agm003303800>,Ba2Sb2Pd3,Ba-Pd-Sb,7,0.0901998689285701
alex<agm002179808>,BaSbPd,Ba-Pd-Sb,3,0.0009007150000002
alex<agm003175520>,Y2CdSe,Cd-Se-Y,4,0.0551493275000005
alex<agm005072074>,KLiCrF6,Cr-F-K-Li,18,0.0
alex<agm004911136>,KLi2CrF8,Cr-F-K-Li,12,0.0897722816666632
alex<agm002157726>,Rb2LiGaF6,F-Ga-Li-Rb,10,0.0170038140000006
alex<agm004961339>,KAg2BiI6,Ag-Bi-I-K,20,0.0245588644999998
alex<agm004672734>,Ba3ZnTe2O9,Ba-O-Te-Zn,15,0.0596410926666708
alex<agm004908306>,KLiNd2Br8,Br-K-Li-Nd,12,0.0522241381250019
alex<agm002154317>,HfAu4,Au-Hf,5,0.0
alex<agm002216684>,Hf2Au3,Au-Hf,5,0.0440219772499999
alex<agm003267386>,CeSe2,Ce-Se,9,0.0884917855555551
alex<agm005217604>,Ce2Se3,Ce-Se,10,0.0501556410000008
alex<agm003188378>,CdPt,Cd-Pt,4,0.0713401075000006
alex<agm003188381>,CdPt,Cd-Pt,4,0.0865696550000008
alex<agm004447951>,CdPt,Cd-Pt,6,0.0098455966666675
alex<agm003184279>,CdPt3,Cd-Pt,4,0.0535912650000014
alex<agm003262265>,CdPt3,Cd-Pt,8,0.0581692687500012
alex<agm003196666>,CdPt2,Cd-Pt,3,0.0745756366666672
alex<agm003212290>,CdPt2,Cd-Pt,12,0.0060463383333333
alex<agm003299071>,Cd5Pt,Cd-Pt,12,0.0266881983333333
alex<agm003292480>,Co4Ni5,Co-Ni,9,0.0702753318888893
alex<agm002057127>,CoNi2,Co-Ni,6,0.0087083233333338
alex<agm004446940>,CoNi,Co-Ni,16,0.0505887601249996
alex<agm003194998>,CoNi4,Co-Ni,5,0.0079527753333321
alex<agm003161359>,Co2Ni,Co-Ni,3,0.0301578623333336
alex<agm003295016>,Co2Ni,Co-Ni,6,0.0310098590000009
alex<agm002264012>,CoNi8,Co-Ni,9,0.0
alex<agm003186117>,Ni3Mo,Mo-Ni,4,0.0252061174999997
alex<agm002112277>,Ni2Mo,Mo-Ni,6,0.0
alex<agm003198193>,Ni5Mo,Mo-Ni,6,0.0925123854166658
alex<agm003165276>,NiMo,Mo-Ni,4,0.0479389774999994
alex<agm001630678>,NaSn2,Na-Sn,6,0.0920820799999999
alex<agm002192227>,VPt3,Pt-V,8,0.0201010312499994
alex<agm003290666>,V3Pt5,Pt-V,8,0.0151535647916665
alex<agm002192224>,VPt,Pt-V,4,0.0497084691666671
alex<agm002185451>,TbSe3,Se-Tb,8,0.0853447637500002
alex<agm003291027>,Tb3Se5,Se-Tb,16,0.0800996181944437
alex<agm002225853>,NdAu5,Au-Nd,6,0.0922474444047609
alex<agm004460375>,CdO,Cd-O,12,0.0617992524999992
alex<agm002133747>,TiAl2,Al-Ti,12,0.096730105833334
alex<agm002134107>,Ti2Al3,Al-Ti,10,0.0010288645000002
alex<agm002135600>,Ti2Al,Al-Ti,6,0.0146293958333334
alex<agm001827698>,Ti3Al,Al-Ti,4,0.0889440762499997
alex<agm002329153>,TiAl7,Al-Ti,8,0.0532282700000008
alex<agm001192618>,TiAl5,Al-Ti,6,0.0689810766666667
alex<agm004469642>,TiAl,Al-Ti,16,0.0940612762499997
alex<agm003295210>,CoS2,Co-S,12,0.0269758833333337
alex<agm002181476>,CoS2,Co-S,12,0.0933049400000012
alex<agm002294675>,NdPb3,Nd-Pb,8,0.0568080625
alex<agm003287412>,Nd2Pb3,Nd-Pb,10,0.0415388290000002
alex<agm003299872>,NdPb7,Nd-Pb,8,0.0075617362500004
alex<agm001829823>,Dy3Lu,Dy-Lu,4,0.0111464975000004
alex<agm001194710>,Dy5Lu,Dy-Lu,6,0.0258188583333325
alex<agm003185597>,SrHg3,Hg-Sr,4,0.0854123062499999
alex<agm003198903>,Sr2Hg,Hg-Sr,6,0.0332252222222222
alex<agm003267598>,Sr2Hg,Hg-Sr,9,0.0170968827777779
alex<agm003198901>,Sr2Hg,Hg-Sr,6,0.0928377222222223
alex<agm005508318>,Sr3Hg2,Hg-Sr,10,0.0983715710000001
alex<agm003164474>,Sr3Hg,Hg-Sr,4,0.0712079262500002
alex<agm003203773>,SrHg5,Hg-Sr,6,0.0160505353623189
alex<agm003299589>,MgGa6,Ga-Mg,7,0.0583826017857145
alex<agm003288351>,Sc5Cu2,Cu-Sc,14,0.0393401849999994
alex<agm003218275>,Sc5Cu3,Cu-Sc,16,0.0857823031250006
alex<agm003202253>,ScCu5,Cu-Sc,6,0.0850276916666663
alex<agm003413526>,Sr2Tl3Pd,Pd-Sr-Tl,6,0.0322280233333338
alex<agm003775732>,Sr6TlPd,Pd-Sr-Tl,8,0.0880515823437502
alex<agm003302852>,Sr2Tl2Pd15,Pd-Sr-Tl,19,0.0634400302631599
alex<agm001146747>,Sr2TlPd,Pd-Sr-Tl,4,0.0693572362499992
alex<agm003606041>,SrTlPd,Pd-Sr-Tl,6,0.0226820799999964
alex<agm002243964>,SrTlPd,Pd-Sr-Tl,12,0.0
alex<agm003342624>,Sr2Tl4Pd3,Pd-Sr-Tl,9,0.0267832852777769
alex<agm002198685>,LaAsIr,As-Ir-La,12,0.0333941241666693
alex<agm003158821>,LaAsIr,As-Ir-La,3,0.0407609175000018
alex<agm002780176>,BiIrS2,Bi-Ir-S,4,0.013412580249998
alex<agm003129385>,TiPbO3,O-Pb-Ti,5,0.022749705999999
alex<agm002137475>,Ce(FeB3)2,B-Ce-Fe,9,0.0
alex<agm003684634>,Ce(Fe2B)6,B-Ce-Fe,19,0.0489265776315868
alex<agm002144862>,YInCo,Co-In-Y,9,0.0587717653030335
alex<agm003493494>,Y6In2Co,Co-In-Y,9,0.0890034156666663
alex<agm002264706>,Y2In3Co2,Co-In-Y,7,0.0745215180147074
alex<agm002266198>,Cs2CrBr6,Br-Cr-Cs,9,0.0712227134722254
alex<agm004471291>,Cs3CrBr6,Br-Cr-Cs,10,0.0481572395000009
alex<agm001126748>,ErTmCd2,Cd-Er-Tm,4,0.0
alex<agm003488720>,Er6Tm2Cd,Cd-Er-Tm,18,0.0640448245555553
alex<agm001126746>,ErTm2Cd,Cd-Er-Tm,4,0.0217281916666665
alex<agm003738916>,Er4TmCd,Cd-Er-Tm,12,0.0912910821666668
alex<agm003567351>,ErTm5Cd3,Cd-Er-Tm,18,0.0297809861111124
alex<agm003771779>,ErTmCd6,Cd-Er-Tm,8,0.000589346875
alex<agm003382146>,Sr3(AlAu)4,Al-Au-Sr,11,0.0033102190909088
alex<agm003672321>,Sr(AlAu2)4,Al-Au-Sr,13,0.0188185327564109
alex<agm002197753>,SrAlAu,Al-Au-Sr,9,0.0533341594444478
alex<agm003159998>,SrAlAu,Al-Au-Sr,3,0.0293949750000033
alex<agm002198115>,SrAl4Au,Al-Au-Sr,12,0.0682026627777769
alex<agm002196625>,Sr3Al7Au2,Al-Au-Sr,12,0.0413442211666676
alex<agm003631773>,LiDySb2,Dy-Li-Sb,8,0.0
alex<agm003058182>,RbPdCl3,Cl-Pd-Rb,10,0.0311590624999986
alex<agm002206389>,CoNiAs,As-Co-Ni,6,0.0496635183333324
alex<agm003169639>,CoNi2As,As-Co-Ni,4,0.0925887998863634
alex<agm003392433>,Pr2Al2Pd,Al-Pd-Pr,10,0.0449582099999998
alex<agm003359465>,Pr3Al9Pd2,Al-Pd-Pr,14,0.0060523946428512
alex<agm003712931>,PrAl3Pd,Al-Pd-Pr,20,0.0097780954999961
alex<agm001964734>,PrAl2Pd,Al-Pd-Pr,4,0.0510626029166676
alex<agm003618305>,PrAl2Pd,Al-Pd-Pr,8,0.0183887466666679
alex<agm003366193>,Pr2Al5Pd4,Al-Pd-Pr,11,0.0311077749999997
alex<agm003672402>,Pr(AlPd2)4,Al-Pd-Pr,13,0.0521031613461557
alex<agm002195952>,Pr2Al3Pd,Al-Pd-Pr,12,0.0171647008333337
alex<agm003381502>,Nd3(MgSn)4,Mg-Nd-Sn,11,0.0691041393939393
alex<agm003395062>,Nd(MgSn)2,Mg-Nd-Sn,5,0.0855259866666657
alex<agm001214764>,Nd2MgSn,Mg-Nd-Sn,4,0.0673916383333335
alex<agm001213449>,NdMg2Sn,Mg-Nd-Sn,4,0.0785343728366876
alex<agm003378609>,Tm3(GaPd)4,Ga-Pd-Tm,11,0.0465269197727264
alex<agm003437953>,Tm3GaPd2,Ga-Pd-Tm,6,0.0233131291666648
alex<agm002337541>,TmGa2Pd3,Ga-Pd-Tm,6,0.0965311016666667
alex<agm002213623>,TmGaPd,Ga-Pd-Tm,9,0.0063436080555554
alex<agm003456787>,Tm(GaPd2)2,Ga-Pd-Tm,14,0.088627568928568
alex<agm001148365>,ErInPd2,Er-In-Pd,4,0.0972873925000001
alex<agm003519872>,Er(InPd4)2,Er-In-Pd,11,0.0692644720454485
alex<agm001960315>,CeAs2Rh,As-Ce-Rh,4,0.0680639929166684
alex<agm003624981>,CaTlSn2,Ca-Sn-Tl,4,0.0354679947916674
alex<agm003437071>,Ca3TlSn2,Ca-Sn-Tl,6,0.0402529516666669
alex<agm004949236>,LiCu2TeO6,Cu-Li-O-Te,20,0.0680385971874999
alex<agm003210539>,Te2Mo3WS6,Mo-S-Te-W,12,0.0578771129166675
alex<agm003267519>,Te2Mo2WS4,Mo-S-Te-W,9,0.0697933855555561
alex<agm005504708>,Te2Mo(WSe2)2,Mo-Se-Te-W,9,0.0537973183333306
alex<agm003267505>,Te4Mo(WSe)2,Mo-Se-Te-W,9,0.0355642394444428
alex<agm004937368>,KTl2RuF6,F-K-Ru-Tl,20,0.0360406872499989
alex<agm005086054>,KTlRuF6,F-K-Ru-Tl,9,0.0103476894444431
alex<agm004940000>,K2LiMoCl6,Cl-K-Li-Mo,20,0.0297304299583336
alex<agm004812495>,Ca2MgMnO4,Ca-Mg-Mn-O,16,0.069955819375
alex<agm004173132>,TaFe3,Fe-Ta,4,0.0772649262500024
alex<agm003286035>,Ca13Pd2,Ca-Pd,15,0.0229943610000002
alex<agm002137999>,BPt2,B-Pt,6,0.0
