n,discordant_n,discordance_rate,ci95_lo,ci95_hi,formula
1,1,1.0,0.025,1.0,Al(CoSi)2
1,1,1.0,0.025,1.0,BaPd
1,1,1.0,0.025,1.0,BrCl
1,1,1.0,0.025,1.0,Ca2Ge
1,1,1.0,0.025,1.0,Ca2Si
1,1,1.0,0.025,1.0,CaN2
1,1,1.0,0.025,1.0,CeH3
1,1,1.0,0.025,1.0,CeYTl2
1,1,1.0,0.025,1.0,CrSe2
1,1,1.0,0.025,1.0,FeB
1,1,1.0,0.025,1.0,Hf2Tl
1,1,1.0,0.025,1.0,InBi
1,1,1.0,0.025,1.0,KMn2O4
1,1,1.0,0.025,1.0,KV(CuSe2)2
1,1,1.0,0.025,1.0,KZrS2
1,1,1.0,0.025,1.0,LaB2Ir3
1,1,1.0,0.025,1.0,LaRh
1,1,1.0,0.025,1.0,LiB
1,1,1.0,0.025,1.0,LiC6
1,1,1.0,0.025,1.0,LiZrSe2
1,1,1.0,0.025,1.0,MnN
1,1,1.0,0.025,1.0,Sc3SnB
1,1,1.0,0.025,1.0,ScBIr3
1,1,1.0,0.025,1.0,Sr3AsN
1,1,1.0,0.025,1.0,Sr3PN
1,1,1.0,0.025,1.0,TiZn
1,1,1.0,0.025,1.0,VCo
1,1,1.0,0.025,1.0,VTe2
1,1,1.0,0.025,1.0,YbAg2
2,1,0.5,0.01257911709342505,0.9874208829065749,CrNi3
2,1,0.5,0.01257911709342505,0.9874208829065749,HfIr
3,0,0.0,0.0,0.7075982261787133,CaMnO2
3,0,0.0,0.0,0.7075982261787133,Cs2Se
2,0,0.0,0.0,0.841886116991581,Cs
2,0,0.0,0.0,0.841886116991581,Fe3Ni
2,0,0.0,0.0,0.841886116991581,Ga
2,0,0.0,0.0,0.841886116991581,HfPd
2,0,0.0,0.0,0.841886116991581,KMn4O8
2,0,0.0,0.0,0.841886116991581,KMnO2
2,0,0.0,0.0,0.841886116991581,LiMnO2
2,0,0.0,0.0,0.841886116991581,VS2
1,0,0.0,0.0,0.975,AgSO4
1,0,0.0,0.0,0.975,Al2Ru
1,0,0.0,0.0,0.975,AlCo3C
1,0,0.0,0.0,0.975,AlCu3
1,0,0.0,0.0,0.975,AlGaN2
1,0,0.0,0.0,0.975,AlVFeCo
1,0,0.0,0.0,0.975,Au
1,0,0.0,0.0,0.975,B2AsP
1,0,0.0,0.0,0.975,BAs
1,0,0.0,0.0,0.975,BP
1,0,0.0,0.0,0.975,BW
1,0,0.0,0.0,0.975,Ba2NdNb(CuO4)2
1,0,0.0,0.0,0.975,Ba3AsN
1,0,0.0,0.0,0.975,Ba3BiN
1,0,0.0,0.0,0.975,Ba3SbN
1,0,0.0,0.0,0.975,Ba5As3
1,0,0.0,0.0,0.975,Ba5Sb4
1,0,0.0,0.0,0.975,BaGaCu2
1,0,0.0,0.0,0.975,BaGaSiH
1,0,0.0,0.0,0.975,BaN2
1,0,0.0,0.0,0.975,BaO
1,0,0.0,0.0,0.975,BaTe
1,0,0.0,0.0,0.975,Be
1,0,0.0,0.0,0.975,BeGeAs2
1,0,0.0,0.0,0.975,BeGeP2
1,0,0.0,0.0,0.975,BeSiAs2
1,0,0.0,0.0,0.975,BeSiP2
1,0,0.0,0.0,0.975,BeSnAs2
1,0,0.0,0.0,0.975,BeSnP2
1,0,0.0,0.0,0.975,BiPd
1,0,0.0,0.0,0.975,Ca2As
1,0,0.0,0.0,0.975,Ca2Pb
1,0,0.0,0.0,0.975,Ca2Sn
1,0,0.0,0.0,0.975,Ca3BiAs
1,0,0.0,0.0,0.975,Ca3BiP
1,0,0.0,0.0,0.975,Ca3SbN
1,0,0.0,0.0,0.975,Ca5As3
1,0,0.0,0.0,0.975,CaFeO3
1,0,0.0,0.0,0.975,CaGe2
1,0,0.0,0.0,0.975,CaMn2O4
1,0,0.0,0.0,0.975,CaMn4O8
1,0,0.0,0.0,0.975,CdSnSb2
1,0,0.0,0.0,0.975,Ce(FeB)4
1,0,0.0,0.0,0.975,Ce(P3Ru)4
1,0,0.0,0.0,0.975,Ce(YS2)3
1,0,0.0,0.0,0.975,Ce2MnN3
1,0,0.0,0.0,0.975,Ce3AlC
1,0,0.0,0.0,0.975,CeLu3
1,0,0.0,0.0,0.975,CeScSi
1,0,0.0,0.0,0.975,CeSm3
1,0,0.0,0.0,0.975,CeY3
1,0,0.0,0.0,0.975,CeZnIn
1,0,0.0,0.0,0.975,Co2B4Mo
1,0,0.0,0.0,0.975,Co3Mo
1,0,0.0,0.0,0.975,Co3Ni
1,0,0.0,0.0,0.975,Co3W
1,0,0.0,0.0,0.975,CoTe2
1,0,0.0,0.0,0.975,CrCo2Si
1,0,0.0,0.0,0.975,CrCo3
