model_name,url_pattern,url,status_code,size_bytes,content_type,sha256,zip_ok,decision
v12.2.2024_dft_3d_307k,direct_ndownloader,https://ndownloader.figshare.com/files/50904240,403,118,text/html,58bf2215b395dcac74c009aa98701854e43cbe54a1cd3a95fee6a647ca9910d4,False,blocked_not_model_zip
v12.2.2024_dft_3d_307k,figshare_ndownloader,https://figshare.com/ndownloader/files/50904240,403,118,text/html,58bf2215b395dcac74c009aa98701854e43cbe54a1cd3a95fee6a647ca9910d4,False,blocked_not_model_zip
v12.2.2024_dft_3d_307k,direct_ndownloader_query,https://ndownloader.figshare.com/files/50904240?download=1,403,118,text/html,58bf2215b395dcac74c009aa98701854e43cbe54a1cd3a95fee6a647ca9910d4,False,blocked_not_model_zip
