group,n,mean_abs_delta_e_mev,q00_abs_delta_e_mev,q10_abs_delta_e_mev,q25_abs_delta_e_mev,q50_abs_delta_e_mev,q75_abs_delta_e_mev,q90_abs_delta_e_mev,q95_abs_delta_e_mev,q99_abs_delta_e_mev,q100_abs_delta_e_mev
all,287,10.34454255689847,0.0,0.0,0.0,0.09108666666649695,8.82731899523305,25.39475099999987,41.79668824999851,112.12878972666662,611.0478825000039
concordant,256,9.124141202637965,0.0,0.0,0.0,0.00023040909409967683,4.613843306818276,19.886001987178403,28.306893860576622,115.95185305000159,611.0478825000039
discordant,31,20.422695675952962,0.0028549999999683,0.5521000000001,5.6080075000003,15.228510000012,27.0065090277775,48.1622587499988,59.335683601563645,89.19915942916636,97.9241560416657
