n,discordant_n,discordance_rate,ci95_lo,ci95_hi,element_family,membership,population_fraction,share_of_all_discordant,median_abs_delta_e_mev
189,21,0.1111111111111111,0.07010925789659868,0.16482070278250147,transition_metal,overlapping,0.6585365853658537,0.6774193548387096,0.029664062485799947
33,6,0.18181818181818182,0.06978788366630997,0.3546005594502688,alkali,overlapping,0.11498257839721254,0.1935483870967742,0.003437500002499705
52,6,0.11538461538461539,0.04354120398868707,0.2344083225051053,alkaline_earth,overlapping,0.18118466898954705,0.1935483870967742,0.13300495237880336
82,6,0.07317073170731707,0.027324920232605222,0.1524872845002862,chalcogen,overlapping,0.2857142857142857,0.1935483870967742,0.36877339285714894
62,5,0.08064516129032258,0.026704616795835603,0.17825259313223404,pnictogen,overlapping,0.21602787456445993,0.16129032258064516,0.0
72,5,0.06944444444444445,0.022931659153745475,0.15466731481612306,lanthanide_actinide,overlapping,0.2508710801393728,0.16129032258064516,0.0
6,1,0.16666666666666666,0.00421074451448947,0.6412345789976748,halogen,overlapping,0.020905923344947737,0.03225806451612903,1.7091577499983
3,0,0.0,0.0,0.7075982261787133,other,overlapping,0.010452961672473868,0.0,67.5847624999988
