model,bin,rank_start_inclusive,rank_end_inclusive,n_bin,discordant_n,discordance_rate,baseline_discordance,enrichment_vs_baseline,score_min,score_max
ALIGNN-FF,top_10,1,29,29,5,0.1724137931034483,0.10801393728222997,1.596218020022247,-8.290010452270508,-6.071038246154785
ALIGNN-FF,top_10_25,29,72,44,2,0.045454545454545456,0.10801393728222997,0.4208211143695015,-6.071038246154785,-5.2062764167785645
ALIGNN-FF,top_25_50,72,144,73,10,0.136986301369863,0.10801393728222997,1.2682280159080865,-5.2062764167785645,-3.6436656951904296
ALIGNN-FF,bottom_50,144,287,144,14,0.09722222222222222,0.10801393728222997,0.900089605734767,-3.6436656951904296,2.1472325325012207
CHGNet,top_10,1,29,29,3,0.10344827586206896,0.10801393728222997,0.9577308120133482,-11.690871238708496,-8.53670597076416
CHGNet,top_10_25,29,72,44,4,0.09090909090909091,0.10801393728222997,0.841642228739003,-8.53670597076416,-7.591362476348877
CHGNet,top_25_50,72,144,73,9,0.1232876712328767,0.10801393728222997,1.141405214317278,-7.591362476348877,-6.182096004486084
CHGNet,bottom_50,144,287,144,15,0.10416666666666667,0.10801393728222997,0.9643817204301076,-6.182096004486084,-0.8585093021392822
MACE-MP,top_10,1,29,29,3,0.10344827586206896,0.10801393728222997,0.9577308120133482,-11.729721069335938,-8.391716957092285
MACE-MP,top_10_25,29,72,44,5,0.11363636363636363,0.10801393728222997,1.0520527859237536,-8.391716957092285,-7.213408788045247
MACE-MP,top_25_50,72,144,73,6,0.0821917808219178,0.10801393728222997,0.7609368095448519,-7.213408788045247,-6.063009738922119
MACE-MP,bottom_50,144,287,144,17,0.11805555555555555,0.10801393728222997,1.0929659498207884,-6.063009738922119,-0.8176368474960327
