material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,quadrant,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile,structure_match_method,structure_match_rms
mp-1001835,LiB,0.0,0.0063941525000004,0.0063941525000004,True,False,MP_stable_only,145,0.5052264808362369,233,0.8118466898954704,222,0.7735191637630662,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1007881,FeB,0.0,0.0056426325000016,0.0056426325000016,True,False,MP_stable_only,48,0.1672473867595819,49,0.17073170731707318,45,0.156794425087108,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1008505,BaPd,0.005573382499999,0.0,0.005573382499999,False,True,Alex_stable_only,239,0.8327526132404182,242,0.8432055749128919,242,0.8432055749128919,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1006256,CeYTl2,0.0,0.0039507625000005,0.0039507625000005,True,False,MP_stable_only,235,0.818815331010453,216,0.7526132404181185,215,0.7491289198606271,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-10091,KV(CuSe2)2,0.000778245624999,0.0,0.000778245624999,False,True,Alex_stable_only,228,0.794425087108014,198,0.6898954703832753,210,0.7317073170731707,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1008492,BrCl,0.0006782575,0.0,0.0006782575,False,True,Alex_stable_only,277,0.9651567944250871,285,0.9930313588850174,285,0.9930313588850174,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1014230,TiZn,0.0,0.0005521000000001,0.0005521000000001,True,False,MP_stable_only,234,0.8153310104529616,212,0.7386759581881533,208,0.7247386759581882,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1001581,LiC6,0.000490129480517,0.0,0.000490129480517,False,True,Alex_stable_only,14,0.04878048780487805,35,0.12195121951219512,34,0.11846689895470383,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1003314,KMn2O4,0.000468158571428,0.0,0.000468158571428,False,True,Alex_stable_only,85,0.2961672473867596,74,0.2578397212543554,109,0.3797909407665505,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
mp-1001615,LiZrSe2,0.0,2.8549999999683e-06,2.8549999999683e-06,True,False,MP_stable_only,132,0.45993031358885017,157,0.5470383275261324,165,0.5749128919860628,pymatgen StructureMatcher ltol=0.2 stol=0.3 angle_tol=5 primitive_cell=True scale=True attempt_supercell=True,not_recorded_public_safe_artifact
