model,n_common,top_n,baseline_discordance,top_decile_discordance,top_decile_discordant_n,top_decile_enrichment
ALIGNN-FF,287,29,0.10801393728222997,0.1724137931034483,5,1.596218020022247
CHGNet,287,29,0.10801393728222997,0.10344827586206896,3,0.9577308120133482
MACE-MP,287,29,0.10801393728222997,0.10344827586206896,3,0.9577308120133482
