material_id,chemical_system,formula,oqmd_match_status,oqmd_entry_id,oqmd_stability,oqmd_stable_exact,mp_stable_exact,alex_stable_exact,mp_vs_oqmd_discordant,alex_vs_oqmd_discordant
mp-1000,Ba-Te,BaTe,no_strict_structure_match,,,,True,True,,
mp-10000,Hf-S,Hf2S,no_strict_structure_match,,,,True,True,,
mp-10003,Co-Nb-Si,Nb4CoSi,no_strict_structure_match,,,,False,False,,
mp-10004,Mo-P,Mo3P,no_strict_structure_match,,,,True,True,,
mp-10009,Ga-Te,GaTe,no_strict_structure_match,,,,False,False,,
mp-1001,Ba-N,BaN2,no_strict_structure_match,,,,True,True,,
mp-10010,Al-Co-Si,Al(CoSi)2,no_strict_structure_match,,,,False,True,,
mp-1001012,S-Sc-Zn,Sc2ZnS4,no_strict_structure_match,,,,False,False,,
mp-1001015,S-Y-Zn,Y2ZnS4,no_strict_structure_match,,,,False,False,,
mp-1001016,Sc-Se-Zn,Sc2ZnSe4,no_strict_structure_match,,,,False,False,,
mp-1001017,In-Se-Zn,Zn(InSe2)2,no_strict_structure_match,,,,False,False,,
mp-1001019,Mg-Sc-Se,Mg(ScSe2)2,no_strict_structure_match,,,,False,False,,
mp-1001021,Se-Y-Zn,Y2ZnSe4,no_strict_structure_match,,,,False,False,,
mp-1001022,Cu-P-Pd,Cu2PPd2,no_strict_structure_match,,,,False,False,,
mp-1001024,Mg-S-Y,Y2MgS4,no_strict_structure_match,,,,False,False,,
mp-1001034,In-Mg-Se,Mg(InSe2)2,no_strict_structure_match,,,,False,False,,
mp-1001080,C-H-O,H2CO3,no_strict_structure_match,,,,False,False,,
mp-10014,S-Ta,TaS2,no_strict_structure_match,,,,True,True,,
mp-10015,Os-Si,SiOs,no_strict_structure_match,,,,False,False,,
mp-1001571,Ca-Fe-O,CaFeO3,no_strict_structure_match,,,,False,False,,
mp-1001581,C-Li,LiC6,no_strict_structure_match,,,,False,True,,
mp-1001600,B-Hf,HfB12,no_strict_structure_match,,,,False,False,,
mp-1001603,C-Lu-Ni,LuNiC2,no_strict_structure_match,,,,True,True,,
mp-1001604,Lu-S-Tl,LuTlS2,no_strict_structure_match,,,,True,True,,
mp-1001606,C-Fe-Lu,LuFeC2,no_strict_structure_match,,,,True,True,,
mp-1001611,Lu-Se-Tl,LuTlSe2,no_strict_structure_match,,,,True,True,,
mp-1001612,Lu-Si,LuSi,no_strict_structure_match,,,,True,True,,
mp-1001613,Ga-Lu,LuGa,no_strict_structure_match,,,,True,True,,
mp-1001614,C-Co-Lu,LuCoC2,no_strict_structure_match,,,,True,True,,
