model_name,label_view,n,positive_rate,fixed_predicted_positive_n,fixed_predicted_positive_rate,f1_fixed_threshold,precision_fixed_threshold,recall_fixed_threshold,balanced_accuracy_fixed_threshold,auroc,auprc,ap_lift
ALIGNN-FF,mp_native,31872,0.41431350401606426,13205,0.41431350401606426,0.5899280575539568,0.5899280575539568,0.5899280575539568,0.6499219759564931,0.6846385971862986,0.560556268109871,0.14624276409380677
ALIGNN-FF,alexmp20_native,31872,0.36759538152610444,13205,0.41431350401606426,0.5637815496970426,0.5319954562665657,0.5996073745305565,0.6464994602361058,0.6728533209995832,0.4983775802906064,0.13078219876450198
ALIGNN-FF,alex_pbe_native,31872,0.3258659638554217,13205,0.41431350401606426,0.5341867661396296,0.4771677394926164,0.606682072020027,0.6426782788658265,0.6659494700681409,0.4448456732481709,0.11897970939274921
ALIGNN-FF,common_pool,31872,0.5172565261044176,13205,0.41431350401606426,0.6505001515610791,0.73131389625142,0.5857697440252335,0.6775852489786898,0.720265463928215,0.6962905956260728,0.17903406952165513
ALIGNN-FF,audit_view,31872,0.2976593875502008,13205,0.41431350401606426,0.51216287678477,0.4400605831124574,0.6125223990724149,0.6411059616536968,0.6641591014627801,0.41074756482706004,0.11308817727685921
CHGNet,mp_native,31872,0.41431350401606426,13205,0.41431350401606426,0.6053767512305944,0.6053767512305944,0.6053767512305944,0.6631105109343094,0.7802654799241868,0.6253058336181619,0.21099232960209768
CHGNet,alexmp20_native,31872,0.36759538152610444,13205,0.41431350401606426,0.5774246619317042,0.5448693676637637,0.6141174462273814,0.6579716026532819,0.7622103605025221,0.5572324948814131,0.1896371133553087
CHGNet,alex_pbe_native,31872,0.3258659638554217,13205,0.41431350401606426,0.5404603450468399,0.48277167739492616,0.6138070479491623,0.6479628183988575,0.7467794088337254,0.4945563408825158,0.1686903770270941
CHGNet,common_pool,31872,0.5172565261044176,13205,0.41431350401606426,0.6835067865683203,0.7684210526315789,0.6154919325488293,0.7083699101194686,0.8430522349070109,0.7836911736509261,0.2664346475465085
CHGNet,audit_view,31872,0.2976593875502008,13205,0.41431350401606426,0.5153358011634056,0.4427868231730405,0.6163170654579951,0.6438074047415059,0.7397011261121959,0.45439066103287645,0.15673127348267563
M3GNet,mp_native,31872,0.41431350401606426,13205,0.41431350401606426,0.6447557743279061,0.6447557743279061,0.6447557743279061,0.6967283451914883,0.7732270602811016,0.6332110107552492,0.21889750673918495
M3GNet,alexmp20_native,31872,0.36759538152610444,13205,0.41431350401606426,0.615063600979094,0.580386217341916,0.6541481734380334,0.6896212190865499,0.7568283240840936,0.5649484554120512,0.19735307388594675
M3GNet,alex_pbe_native,31872,0.3258659638554217,13205,0.41431350401606426,0.5825102793438176,0.5203332071185157,0.6615636433660698,0.6833835158094428,0.7432024330900766,0.5030443242333469,0.17717836037792517
M3GNet,common_pool,31872,0.5172565261044176,13205,0.41431350401606426,0.7176585497288741,0.8068156001514578,0.6462452990416111,0.7402226105243153,0.8320226179643831,0.7909638227239187,0.2737072966195011
M3GNet,audit_view,31872,0.2976593875502008,13205,0.41431350401606426,0.5571126388154416,0.4786823173040515,0.6662801728681353,0.6793764053976594,0.736533182882733,0.46265110348521604,0.16499171593501522
MACE-MP,mp_native,31872,0.41431350401606426,13205,0.41431350401606426,0.6987504733055661,0.6987504733055661,0.6987504733055661,0.7428235679325816,0.839461847387766,0.6992261434868577,0.2849126394707935
MACE-MP,alexmp20_native,31872,0.36759538152610444,13205,0.41431350401606426,0.6691545283094579,0.6314274895872776,0.7116763400477979,0.7351048896111186,0.8178214980340099,0.6242009117889112,0.2566055302628068
MACE-MP,alex_pbe_native,31872,0.3258659638554217,13205,0.41431350401606426,0.6326141325081599,0.5650889814464218,0.7184671673406509,0.7255884193772975,0.8020649328904385,0.5571202898822827,0.23125432602686097
MACE-MP,common_pool,31872,0.5172565261044176,13205,0.41431350401606426,0.7716142938937726,0.867474441499432,0.6948319786485503,0.7905461076136291,0.905830564294464,0.8669442030181542,0.3496876769137366
MACE-MP,audit_view,31872,0.2976593875502008,13205,0.41431350401606426,0.6062048298959986,0.520863309352518,0.72499209444503,0.7211737331729282,0.7941549136552826,0.5133025205989984,0.21564313304879756
