model_name,n,raw_energy_rank_auroc_mp_native,reverse_raw_energy_rank_auroc_mp_native,predicted_hull_rank_auroc_mp_native,raw_score_use,predicted_hull_score_use
ALIGNN-FF,31872,0.46547060158585224,0.5345293984141477,0.6846385971862986,excluded_from_primary_evaluation_composition_not_normalized,primary_fixed_support_ranking
CHGNet,31872,0.46812942317705275,0.5318705768229474,0.7802654799241868,excluded_from_primary_evaluation_composition_not_normalized,primary_fixed_support_ranking
M3GNet,31872,0.48094407642325804,0.519055923576742,0.7732270602811016,excluded_from_primary_evaluation_composition_not_normalized,primary_fixed_support_ranking
MACE-MP,31872,0.48908300516432734,0.5109169948356727,0.839461847387766,excluded_from_primary_evaluation_composition_not_normalized,primary_fixed_support_ranking
