element,mp_id,reference_source,predicted_raw_energy_per_atom,stored_score_convention
Be,mp-87,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.726207971572876,3.726207971572876
Br,mp-23154,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.598740816116333,1.598740816116333
Cd,mp-94,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-0.9075890183448792,0.9075890183448792
Cu,mp-30,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.077049255371094,4.077049255371094
Dy,mp-88,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.576786041259766,4.576786041259766
In,mp-85,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-2.6935391426086426,2.6935391426086426
Ir,mp-101,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.837793350219727,8.837793350219727
Nb,mp-75,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-10.025182723999023,10.025182723999023
Pt,mp-126,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-6.085574150085449,6.085574150085449
Sb,mp-104,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.06074857711792,4.06074857711792
Ta,mp-569794,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-11.805527687072754,11.805527687072754
Ti,mp-72,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-7.784756660461426,7.784756660461426
V,mp-146,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-9.075879096984863,9.075879096984863
Zn,mp-79,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.249842882156372,1.249842882156372
Zr,mp-131,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.509100914001465,8.509100914001465
