element,mp_id,reference_source,predicted_raw_energy_per_atom,stored_score_convention
Be,mp-87,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-2.4254279136657715,2.4254279136657715
Br,mp-23154,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,0.2513929605484009,-0.2513929605484009
Cd,mp-94,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,2.2856175899505615,-2.2856175899505615
Cu,mp-30,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,0.6201729774475098,-0.6201729774475098
Dy,mp-88,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.901400089263916,1.901400089263916
In,mp-85,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,0.500051736831665,-0.500051736831665
Ir,mp-101,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-6.111132621765137,6.111132621765137
Nb,mp-75,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-7.293400287628174,7.293400287628174
Pt,mp-126,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.9018397331237793,3.9018397331237793
Sb,mp-104,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-2.042402744293213,2.042402744293213
Ta,mp-569794,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-9.63209342956543,9.63209342956543
Ti,mp-72,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-5.111703872680664,5.111703872680664
V,mp-146,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-5.91221809387207,5.91221809387207
Zn,mp-79,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,2.103543758392334,-2.103543758392334
Zr,mp-131,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-5.923427104949951,5.923427104949951
