element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Ag,-2.819305102030436,minimum_predicted_energy_among_D2_elemental_entries,,
Al,-3.701561689376831,minimum_predicted_energy_among_D2_elemental_entries,,
As,-4.629550457000732,minimum_predicted_energy_among_D2_elemental_entries,,
Au,-3.237273693084717,minimum_predicted_energy_among_D2_elemental_entries,,
B,-6.643274307250977,minimum_predicted_energy_among_D2_elemental_entries,,
Ba,-1.9031057357788088,minimum_predicted_energy_among_D2_elemental_entries,,
Bi,-3.810371398925781,minimum_predicted_energy_among_D2_elemental_entries,,
C,-9.219615936279297,minimum_predicted_energy_among_D2_elemental_entries,,
Ca,-1.994579792022705,minimum_predicted_energy_among_D2_elemental_entries,,
Ce,-5.8817458152771,minimum_predicted_energy_among_D2_elemental_entries,,
Cl,-1.803748726844788,minimum_predicted_energy_among_D2_elemental_entries,,
Co,-7.075281620025635,minimum_predicted_energy_among_D2_elemental_entries,,
Cr,-9.44483757019043,minimum_predicted_energy_among_D2_elemental_entries,,
Cs,-0.8346400260925293,minimum_predicted_energy_among_D2_elemental_entries,,
Er,-4.557306289672852,minimum_predicted_energy_among_D2_elemental_entries,,
Eu,-10.256160736083984,minimum_predicted_energy_among_D2_elemental_entries,,
F,-1.8732123374938965,minimum_predicted_energy_among_D2_elemental_entries,,
Fe,-8.398834228515625,minimum_predicted_energy_among_D2_elemental_entries,,
Ga,-3.010118293762207,minimum_predicted_energy_among_D2_elemental_entries,,
Gd,-14.059874534606934,minimum_predicted_energy_among_D2_elemental_entries,,
Ge,-4.5928239822387695,minimum_predicted_energy_among_D2_elemental_entries,,
H,-3.3404130935668945,minimum_predicted_energy_among_D2_elemental_entries,,
Hf,-9.951428413391112,minimum_predicted_energy_among_D2_elemental_entries,,
Hg,-0.2955328524112701,minimum_predicted_energy_among_D2_elemental_entries,,
Ho,-4.562890370686849,minimum_predicted_energy_among_D2_elemental_entries,,
I,-1.6947753429412842,minimum_predicted_energy_among_D2_elemental_entries,,
K,-1.082628568013509,minimum_predicted_energy_among_D2_elemental_entries,,
La,-4.919242858886719,minimum_predicted_energy_among_D2_elemental_entries,,
Li,-1.9047794342041016,minimum_predicted_energy_among_D2_elemental_entries,,
Lu,-4.523598035176595,minimum_predicted_energy_among_D2_elemental_entries,,
Mg,-1.6091701984405518,minimum_predicted_energy_among_D2_elemental_entries,,
Mn,-8.749222564697266,minimum_predicted_energy_among_D2_elemental_entries,,
Mo,-10.722214698791504,minimum_predicted_energy_among_D2_elemental_entries,,
N,-8.320500373840332,minimum_predicted_energy_among_D2_elemental_entries,,
Na,-1.3065626621246338,minimum_predicted_energy_among_D2_elemental_entries,,
Nd,-4.744207382202148,minimum_predicted_energy_among_D2_elemental_entries,,
Ni,-5.658082485198975,minimum_predicted_energy_among_D2_elemental_entries,,
O,-4.899567604064941,minimum_predicted_energy_among_D2_elemental_entries,,
Os,-11.24140453338623,minimum_predicted_energy_among_D2_elemental_entries,,
P,-5.37511157989502,minimum_predicted_energy_among_D2_elemental_entries,,
Pb,-3.682783126831055,minimum_predicted_energy_among_D2_elemental_entries,,
Pd,-5.177317142486572,minimum_predicted_energy_among_D2_elemental_entries,,
Pr,-4.759289741516113,minimum_predicted_energy_among_D2_elemental_entries,,
Rb,-0.9414100646972656,minimum_predicted_energy_among_D2_elemental_entries,,
Re,-12.447809855143229,minimum_predicted_energy_among_D2_elemental_entries,,
Rh,-7.362451076507568,minimum_predicted_energy_among_D2_elemental_entries,,
Ru,-9.246235847473145,minimum_predicted_energy_among_D2_elemental_entries,,
S,-4.089115905761719,minimum_predicted_energy_among_D2_elemental_entries,,
Sc,-6.314043998718262,minimum_predicted_energy_among_D2_elemental_entries,,
Se,-3.45395565032959,minimum_predicted_energy_among_D2_elemental_entries,,
Si,-5.370293617248535,minimum_predicted_energy_among_D2_elemental_entries,,
Sm,-4.703352928161621,minimum_predicted_energy_among_D2_elemental_entries,,
Sn,-3.96711540222168,minimum_predicted_energy_among_D2_elemental_entries,,
Sr,-1.676490306854248,minimum_predicted_energy_among_D2_elemental_entries,,
Tb,-4.618375778198242,minimum_predicted_energy_among_D2_elemental_entries,,
Te,-3.0882694721221924,minimum_predicted_energy_among_D2_elemental_entries,,
Tl,-2.3447721004486084,minimum_predicted_energy_among_D2_elemental_entries,,
Tm,-4.45349915822347,minimum_predicted_energy_among_D2_elemental_entries,,
W,-12.841458320617676,minimum_predicted_energy_among_D2_elemental_entries,,
Y,-6.449769496917725,minimum_predicted_energy_among_D2_elemental_entries,,
Yb,-1.3254647254943848,minimum_predicted_energy_among_D2_elemental_entries,,
Be,-3.752328395843506,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-87,3.752328395843506
Br,-1.620445728302002,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-23154,1.620445728302002
Cd,-0.869229257106781,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-94,0.869229257106781
Cu,-4.085704326629639,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-30,4.085704326629639
Dy,-4.588254928588867,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-88,4.588254928588867
In,-2.7080671787261963,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-85,2.7080671787261963
Ir,-8.830384254455566,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-101,8.830384254455566
Nb,-10.077057838439941,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-75,10.077057838439941
Pt,-6.0519514083862305,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-126,6.0519514083862305
Sb,-4.06810188293457,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-104,4.06810188293457
Ta,-11.827491251627604,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-569794,11.827491251627604
Ti,-7.818158467610677,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-72,7.818158467610677
V,-9.119929313659668,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-146,9.119929313659668
Zn,-1.2455500364303589,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-79,1.2455500364303589
Zr,-8.59437370300293,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-131,8.59437370300293
