element,mp_id,reference_source,predicted_raw_energy_per_atom,stored_score_convention
Be,mp-87,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.752328395843506,3.752328395843506
Br,mp-23154,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.620445728302002,1.620445728302002
Cd,mp-94,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-0.869229257106781,0.869229257106781
Cu,mp-30,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.085704326629639,4.085704326629639
Dy,mp-88,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.588254928588867,4.588254928588867
In,mp-85,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-2.7080671787261963,2.7080671787261963
Ir,mp-101,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.830384254455566,8.830384254455566
Nb,mp-75,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-10.077057838439941,10.077057838439941
Pt,mp-126,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-6.0519514083862305,6.0519514083862305
Sb,mp-104,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-4.06810188293457,4.06810188293457
Ta,mp-569794,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-11.827491251627604,11.827491251627604
Ti,mp-72,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-7.818158467610677,7.818158467610677
V,mp-146,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-9.119929313659668,9.119929313659668
Zn,mp-79,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.2455500364303589,1.2455500364303589
Zr,mp-131,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.59437370300293,8.59437370300293
