model_name,metric,view_a,view_b,point_delta_a_minus_b,bootstrap_ci_low_95,bootstrap_median,bootstrap_ci_high_95,probability_delta_gt_zero,probability_delta_lt_zero,bootstrap_replicates,cluster
ALIGNN-FF,f1_fixed_threshold,mp_native,alexmp20_native,0.026146507856914192,0.030179260770119044,0.03470555647704976,0.03930817216758134,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,mp_native,alex_pbe_native,0.055741291414327265,0.06169176295457354,0.06658215227929598,0.07212244558045851,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,mp_native,common_pool,-0.06057209400712227,-0.06629274714477534,-0.06190402639237064,-0.0577302796255984,0.0,1.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,mp_native,audit_view,0.07776518076918681,0.08181130085110519,0.08737613332485722,0.0927111274556637,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,alexmp20_native,alex_pbe_native,0.029594783557413074,0.027440781191955883,0.031968645175965316,0.03647798867180285,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,alexmp20_native,common_pool,-0.08671860186403646,-0.10219130953377295,-0.09658327308440057,-0.09158468705514598,0.0,1.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,alexmp20_native,audit_view,0.05161867291227262,0.04814801357389541,0.052606717545473636,0.056721423649084786,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,alex_pbe_native,common_pool,-0.11631338542144953,-0.13464218300017025,-0.12839062567611786,-0.12306255506361918,0.0,1.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,alex_pbe_native,audit_view,0.02202388935485955,0.017655365815572623,0.020655864613522146,0.02339287382799988,1.0,0.0,1000,chemical_system
ALIGNN-FF,f1_fixed_threshold,common_pool,audit_view,0.13833727477630908,0.1432446605150931,0.14926331041631669,0.15546826702760308,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,mp_native,alexmp20_native,0.011785276186715432,0.008452121785985261,0.011743805922344919,0.015544335139754013,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,mp_native,alex_pbe_native,0.018689127118157733,0.015155616408365333,0.01864384504589195,0.022852901667161113,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,mp_native,common_pool,-0.035626866741916396,-0.039208701608669266,-0.03557563069035341,-0.03190999761925688,0.0,1.0,1000,chemical_system
ALIGNN-FF,auroc,mp_native,audit_view,0.02047949572351848,0.016609823415618476,0.020509225768563177,0.024709918643421466,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,alexmp20_native,alex_pbe_native,0.006903850931442301,0.003592735376886533,0.006959058692453113,0.010246839348690109,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,alexmp20_native,common_pool,-0.04741214292863183,-0.051848867064832306,-0.0474114135089343,-0.04279036604194385,0.0,1.0,1000,chemical_system
ALIGNN-FF,auroc,alexmp20_native,audit_view,0.00869421953680305,0.005565536816176128,0.008730617972247945,0.011800015152785772,1.0,0.0,1000,chemical_system
ALIGNN-FF,auroc,alex_pbe_native,common_pool,-0.05431599386007413,-0.0591514361591144,-0.054165876657653766,-0.04961209072707219,0.0,1.0,1000,chemical_system
ALIGNN-FF,auroc,alex_pbe_native,audit_view,0.0017903686053607482,-0.00045020958868550174,0.001830913887199026,0.003926877423204758,0.948,0.052,1000,chemical_system
ALIGNN-FF,auroc,common_pool,audit_view,0.05610636246543488,0.051019576592655616,0.05603823742173403,0.06161075517816017,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,mp_native,alexmp20_native,0.06217868781926461,0.05742287524058639,0.06231679787691069,0.06718172830653348,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,mp_native,alex_pbe_native,0.1157105948617001,0.1104408052557321,0.11574766498328035,0.12145133368526348,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,mp_native,common_pool,-0.13573432751620174,-0.1412261100211917,-0.1356189751714798,-0.13013822892176027,0.0,1.0,1000,chemical_system
ALIGNN-FF,auprc,mp_native,audit_view,0.14980870328281098,0.1444397145981865,0.14985553591766243,0.1552902958387643,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,alexmp20_native,alex_pbe_native,0.05353190704243549,0.04870843043110437,0.05359182480179775,0.05859717432500865,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,alexmp20_native,common_pool,-0.19791301533546635,-0.20462869356536179,-0.19769500441493995,-0.1916002599322774,0.0,1.0,1000,chemical_system
ALIGNN-FF,auprc,alexmp20_native,audit_view,0.08763001546354637,0.083261021255439,0.08759139460577439,0.0920955442284709,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,alex_pbe_native,common_pool,-0.25144492237790184,-0.257764008294789,-0.2514325728109624,-0.24481813556806784,0.0,1.0,1000,chemical_system
ALIGNN-FF,auprc,alex_pbe_native,audit_view,0.034098108421110884,0.03141816084590421,0.03398388759776022,0.036953608780777115,1.0,0.0,1000,chemical_system
ALIGNN-FF,auprc,common_pool,audit_view,0.2855430307990127,0.2788164349296794,0.2854913428425532,0.2921764641302102,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,mp_native,alexmp20_native,0.015460565329304787,0.012425851549820335,0.015480773305365403,0.0189099649170564,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,mp_native,alex_pbe_native,0.027263054701057554,0.023816999633791844,0.027351909936869367,0.03114288033095493,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,mp_native,common_pool,-0.03279130542784836,-0.03637334932811802,-0.0327922320278774,-0.029200710535547417,0.0,1.0,1000,chemical_system
ALIGNN-FF,ap_lift,mp_native,audit_view,0.03315458681694755,0.02936485893905828,0.0332145276274394,0.03701678669448663,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,alexmp20_native,alex_pbe_native,0.011802489371752767,0.00893225392736933,0.011917002138750382,0.014750018447118601,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,alexmp20_native,common_pool,-0.04825187075715315,-0.05310368141166803,-0.04828300482998821,-0.04380963680757161,0.0,1.0,1000,chemical_system
ALIGNN-FF,ap_lift,alexmp20_native,audit_view,0.017694021487642764,0.014905689283312666,0.01777852808044411,0.020680511367349615,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,alex_pbe_native,common_pool,-0.060054360128905915,-0.06529287973737125,-0.06018429709097031,-0.05520307455600796,0.0,1.0,1000,chemical_system
ALIGNN-FF,ap_lift,alex_pbe_native,audit_view,0.005891532115889997,0.004044889286026679,0.005888309942716691,0.007714292690137106,1.0,0.0,1000,chemical_system
ALIGNN-FF,ap_lift,common_pool,audit_view,0.06594589224479591,0.06074501828371314,0.06604298960331953,0.07183571250087659,1.0,0.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,mp_native,alexmp20_native,0.03300000000000003,0.04499999999999993,0.06599999999999995,0.08599999999999997,1.0,0.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,mp_native,alex_pbe_native,0.09300000000000008,0.09897499999999998,0.12200000000000005,0.145025,1.0,0.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,mp_native,common_pool,-0.07799999999999996,-0.16400000000000003,-0.14300000000000002,-0.122,0.0,1.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,mp_native,audit_view,0.1170000000000001,0.13597499999999996,0.158,0.18199999999999994,1.0,0.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,alexmp20_native,alex_pbe_native,0.06000000000000005,0.03600000000000003,0.056999999999999995,0.076025,1.0,0.0,1000,chemical_system
ALIGNN-FF,stable_yield_at_1000,alexmp20_native,common_pool,-0.11099999999999999,-0.236,-0.20899999999999996,-0.18199999999999994,0.0,1.0,1000,chemical_system
