model_name,label_view,K,K_effective,n_ranked,stable_n,stable_yield_at_k,recall_at_k,positive_rate
ALIGNN-FF,consensus,100,100,24614,65,0.65,0.006851480973964372,0.3854310554968717
ALIGNN-FF,consensus,300,300,24614,210,0.7,0.022135553915884894,0.3854310554968717
ALIGNN-FF,consensus,500,500,24614,319,0.638,0.03362496047222515,0.3854310554968717
ALIGNN-FF,consensus,1000,1000,24614,720,0.72,0.07589332771160535,0.3854310554968717
ALIGNN-FF,consensus,5000,5000,24614,2594,0.5188,0.2734267945609782,0.3854310554968717
ALIGNN-FF,consensus,10000,10000,24614,6178,0.6178,0.6512069147254137,0.3854310554968717
CHGNet,consensus,100,100,24614,71,0.71,0.007483925371561084,0.3854310554968717
CHGNet,consensus,300,300,24614,224,0.7466666666666667,0.02361125751027722,0.3854310554968717
CHGNet,consensus,500,500,24614,367,0.734,0.03868451565299884,0.3854310554968717
CHGNet,consensus,1000,1000,24614,782,0.782,0.08242858648677137,0.3854310554968717
CHGNet,consensus,5000,5000,24614,3126,0.6252,0.3295035311478866,0.3854310554968717
CHGNet,consensus,10000,10000,24614,6876,0.6876,0.7247812796458312,0.3854310554968717
M3GNet,consensus,100,100,24614,67,0.67,0.007062295773163276,0.3854310554968717
M3GNet,consensus,300,300,24614,224,0.7466666666666667,0.02361125751027722,0.3854310554968717
M3GNet,consensus,500,500,24614,369,0.738,0.03889533045219774,0.3854310554968717
M3GNet,consensus,1000,1000,24614,783,0.783,0.08253399388637082,0.3854310554968717
M3GNet,consensus,5000,5000,24614,3147,0.6294,0.33171708653947507,0.3854310554968717
M3GNet,consensus,10000,10000,24614,7122,0.7122,0.7507114999472962,0.3854310554968717
MACE-MP,consensus,100,100,24614,77,0.77,0.008116369769157795,0.3854310554968717
MACE-MP,consensus,300,300,24614,253,0.8433333333333334,0.026668072098661327,0.3854310554968717
MACE-MP,consensus,500,500,24614,428,0.856,0.0451143670285654,0.3854310554968717
MACE-MP,consensus,1000,1000,24614,857,0.857,0.09033414145673026,0.3854310554968717
MACE-MP,consensus,5000,5000,24614,3670,0.734,0.3868451565299884,0.3854310554968717
MACE-MP,consensus,10000,10000,24614,8149,0.8149,0.8589648993359333,0.3854310554968717
