element,mp_id,reference_source,predicted_raw_energy_per_atom,stored_score_convention
Be,mp-87,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.6889705657958984,3.6889705657958984
Br,mp-23154,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.4155573844909668,1.4155573844909668
Cd,mp-94,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-0.6855056285858154,0.6855056285858154
Cu,mp-30,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.7286691665649414,3.7286691665649414
Dy,mp-88,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-7.875969886779785,7.875969886779785
In,mp-85,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-2.55464506149292,2.55464506149292
Ir,mp-101,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.831328392028809,8.831328392028809
Nb,mp-75,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-10.067716598510742,10.067716598510742
Pt,mp-126,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-6.073678016662598,6.073678016662598
Sb,mp-104,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-3.8902854919433594,3.8902854919433594
Ta,mp-569794,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-11.722983805338542,11.722983805338542
Ti,mp-72,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-7.727864583333333,7.727864583333333
V,mp-146,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.989696502685547,8.989696502685547
Zn,mp-79,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-1.0853431224822998,1.0853431224822998
Zr,mp-131,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,-8.47744369506836,8.47744369506836
