model_name,label_view,K,K_effective,n_ranked,stable_n,stable_yield_at_k,recall_at_k,positive_rate
ALIGNN-FF,mp_native,100,100,31872,58,0.58,0.004392275653161681,0.41431350401606426
ALIGNN-FF,mp_native,300,300,31872,190,0.6333333333333333,0.014388489208633094,0.41431350401606426
ALIGNN-FF,mp_native,500,500,31872,328,0.656,0.024839076107535024,0.41431350401606426
ALIGNN-FF,mp_native,1000,1000,31872,683,0.683,0.05172283226050738,0.41431350401606426
ALIGNN-FF,mp_native,5000,5000,31872,2910,0.582,0.2203710715638016,0.41431350401606426
ALIGNN-FF,mp_native,10000,10000,31872,5500,0.55,0.4165088981446422,0.41431350401606426
ALIGNN-FF,alexmp20_native,100,100,31872,57,0.57,0.004865141686582451,0.36759538152610444
ALIGNN-FF,alexmp20_native,300,300,31872,173,0.5766666666666667,0.014766131785592352,0.36759538152610444
ALIGNN-FF,alexmp20_native,500,500,31872,312,0.624,0.026630249231819735,0.36759538152610444
ALIGNN-FF,alexmp20_native,1000,1000,31872,650,0.65,0.055479685899624445,0.36759538152610444
ALIGNN-FF,alexmp20_native,5000,5000,31872,2635,0.527,0.22490611130078525,0.36759538152610444
ALIGNN-FF,alexmp20_native,10000,10000,31872,4951,0.4951,0.42258449982929325,0.36759538152610444
ALIGNN-FF,alex_pbe_native,100,100,31872,47,0.47,0.004525322549585981,0.3258659638554217
ALIGNN-FF,alex_pbe_native,300,300,31872,156,0.52,0.015020219526285385,0.3258659638554217
ALIGNN-FF,alex_pbe_native,500,500,31872,277,0.554,0.02667051800500674,0.3258659638554217
ALIGNN-FF,alex_pbe_native,1000,1000,31872,590,0.59,0.05680724051607934,0.3258659638554217
ALIGNN-FF,alex_pbe_native,5000,5000,31872,2374,0.4748,0.22857693048334296,0.3258659638554217
ALIGNN-FF,alex_pbe_native,10000,10000,31872,4380,0.438,0.4217215482380127,0.3258659638554217
ALIGNN-FF,common_pool,100,100,31872,68,0.68,0.004124711876743904,0.5172565261044176
ALIGNN-FF,common_pool,300,300,31872,221,0.7366666666666667,0.013405313599417688,0.5172565261044176
ALIGNN-FF,common_pool,500,500,31872,375,0.75,0.022746572849690647,0.5172565261044176
ALIGNN-FF,common_pool,1000,1000,31872,761,0.761,0.04616037850297222,0.5172565261044176
ALIGNN-FF,common_pool,5000,5000,31872,3649,0.7298,0.2213393182093898,0.5172565261044176
ALIGNN-FF,common_pool,10000,10000,31872,7000,0.7,0.4246026931942254,0.5172565261044176
ALIGNN-FF,audit_view,100,100,31872,47,0.47,0.004954147781174238,0.2976593875502008
ALIGNN-FF,audit_view,300,300,31872,149,0.49666666666666665,0.01570570254031833,0.2976593875502008
ALIGNN-FF,audit_view,500,500,31872,264,0.528,0.027827553494255298,0.2976593875502008
ALIGNN-FF,audit_view,1000,1000,31872,566,0.566,0.059660588173289765,0.2976593875502008
ALIGNN-FF,audit_view,5000,5000,31872,2195,0.439,0.23136924212079688,0.2976593875502008
