scope,model_name,metric,minimum,maximum,spread,n_views,label_view,n_models
label_view_band,ALIGNN-FF,ap_lift,0.11308817727685921,0.17903406952165513,0.06594589224479591,5.0,,
label_view_band,ALIGNN-FF,auprc,0.41074756482706004,0.6962905956260728,0.2855430307990127,5.0,,
label_view_band,ALIGNN-FF,auroc,0.6641591014627801,0.720265463928215,0.05610636246543488,5.0,,
label_view_band,ALIGNN-FF,balanced_accuracy_fixed_threshold,0.6411059616536968,0.6775852489786898,0.03647928732499295,5.0,,
label_view_band,ALIGNN-FF,f1_fixed_threshold,0.51216287678477,0.6505001515610791,0.13833727477630908,5.0,,
label_view_band,ALIGNN-FF,precision_fixed_threshold,0.4400605831124574,0.73131389625142,0.2912533131389626,5.0,,
label_view_band,ALIGNN-FF,recall_fixed_threshold,0.5857697440252335,0.6125223990724149,0.026752655047181384,5.0,,
label_view_band,ALIGNN-FF,stable_yield_at_1000,0.566,0.761,0.19500000000000006,5.0,,
label_view_band,CHGNet,ap_lift,0.15673127348267563,0.2664346475465085,0.10970337406383285,5.0,,
label_view_band,CHGNet,auprc,0.45439066103287645,0.7836911736509261,0.32930051261804966,5.0,,
label_view_band,CHGNet,auroc,0.7397011261121959,0.8430522349070109,0.10335110879481502,5.0,,
label_view_band,CHGNet,balanced_accuracy_fixed_threshold,0.6438074047415059,0.7083699101194686,0.06456250537796271,5.0,,
label_view_band,CHGNet,f1_fixed_threshold,0.5153358011634056,0.6835067865683203,0.1681709854049147,5.0,,
label_view_band,CHGNet,precision_fixed_threshold,0.4427868231730405,0.7684210526315789,0.32563422945853837,5.0,,
label_view_band,CHGNet,recall_fixed_threshold,0.6053767512305944,0.6163170654579951,0.010940314227400716,5.0,,
label_view_band,CHGNet,stable_yield_at_1000,0.589,0.823,0.23399999999999999,5.0,,
label_view_band,M3GNet,ap_lift,0.16499171593501522,0.2737072966195011,0.10871558068448589,5.0,,
label_view_band,M3GNet,auprc,0.46265110348521604,0.7909638227239187,0.3283127192387027,5.0,,
label_view_band,M3GNet,auroc,0.736533182882733,0.8320226179643831,0.0954894350816502,5.0,,
label_view_band,M3GNet,balanced_accuracy_fixed_threshold,0.6793764053976594,0.7402226105243153,0.06084620512665584,5.0,,
label_view_band,M3GNet,f1_fixed_threshold,0.5571126388154416,0.7176585497288741,0.1605459109134325,5.0,,
label_view_band,M3GNet,precision_fixed_threshold,0.4786823173040515,0.8068156001514578,0.32813328284740634,5.0,,
label_view_band,M3GNet,recall_fixed_threshold,0.6447557743279061,0.6662801728681353,0.02152439854022925,5.0,,
label_view_band,M3GNet,stable_yield_at_1000,0.595,0.818,0.22299999999999998,5.0,,
label_view_band,MACE-MP,ap_lift,0.21564313304879756,0.3496876769137366,0.13404454386493903,5.0,,
label_view_band,MACE-MP,auprc,0.5133025205989984,0.8669442030181542,0.35364168241915583,5.0,,
label_view_band,MACE-MP,auroc,0.7941549136552826,0.905830564294464,0.11167565063918139,5.0,,
label_view_band,MACE-MP,balanced_accuracy_fixed_threshold,0.7211737331729282,0.7905461076136291,0.06937237444070088,5.0,,
label_view_band,MACE-MP,f1_fixed_threshold,0.6062048298959986,0.7716142938937726,0.165409463997774,5.0,,
label_view_band,MACE-MP,precision_fixed_threshold,0.520863309352518,0.867474441499432,0.34661113214691397,5.0,,
label_view_band,MACE-MP,recall_fixed_threshold,0.6948319786485503,0.72499209444503,0.030160115796479703,5.0,,
label_view_band,MACE-MP,stable_yield_at_1000,0.654,0.89,0.236,5.0,,
between_model_spread,,ap_lift,0.11897970939274921,0.23125432602686097,0.11227461663411176,,alex_pbe_native,4.0
between_model_spread,,auprc,0.4448456732481709,0.5571202898822827,0.11227461663411176,,alex_pbe_native,4.0
between_model_spread,,auroc,0.6659494700681409,0.8020649328904385,0.13611546282229758,,alex_pbe_native,4.0
between_model_spread,,balanced_accuracy_fixed_threshold,0.6426782788658265,0.7255884193772975,0.08291014051147094,,alex_pbe_native,4.0
between_model_spread,,f1_fixed_threshold,0.5341867661396296,0.6326141325081599,0.09842736636853033,,alex_pbe_native,4.0
between_model_spread,,precision_fixed_threshold,0.4771677394926164,0.5650889814464218,0.0879212419538054,,alex_pbe_native,4.0
between_model_spread,,recall_fixed_threshold,0.606682072020027,0.7184671673406509,0.11178509532062386,,alex_pbe_native,4.0
between_model_spread,,stable_yield_at_1000,0.59,0.683,0.09300000000000008,,alex_pbe_native,4.0
between_model_spread,,ap_lift,0.13078219876450198,0.2566055302628068,0.12582333149830482,,alexmp20_native,4.0
between_model_spread,,auprc,0.4983775802906064,0.6242009117889112,0.12582333149830482,,alexmp20_native,4.0
between_model_spread,,auroc,0.6728533209995832,0.8178214980340099,0.14496817703442677,,alexmp20_native,4.0
between_model_spread,,balanced_accuracy_fixed_threshold,0.6464994602361058,0.7351048896111186,0.08860542937501281,,alexmp20_native,4.0
between_model_spread,,f1_fixed_threshold,0.5637815496970426,0.6691545283094579,0.10537297861241524,,alexmp20_native,4.0
between_model_spread,,precision_fixed_threshold,0.5319954562665657,0.6314274895872776,0.09943203332071182,,alexmp20_native,4.0
between_model_spread,,recall_fixed_threshold,0.5996073745305565,0.7116763400477979,0.11206896551724144,,alexmp20_native,4.0
between_model_spread,,stable_yield_at_1000,0.65,0.761,0.11099999999999999,,alexmp20_native,4.0
between_model_spread,,ap_lift,0.11308817727685921,0.21564313304879756,0.10255495577193835,,audit_view,4.0
between_model_spread,,auprc,0.41074756482706004,0.5133025205989984,0.10255495577193835,,audit_view,4.0
between_model_spread,,auroc,0.6641591014627801,0.7941549136552826,0.12999581219250245,,audit_view,4.0
between_model_spread,,balanced_accuracy_fixed_threshold,0.6411059616536968,0.7211737331729282,0.08006777151923139,,audit_view,4.0
between_model_spread,,f1_fixed_threshold,0.51216287678477,0.6062048298959986,0.09404195311122854,,audit_view,4.0
between_model_spread,,precision_fixed_threshold,0.4400605831124574,0.520863309352518,0.08080272624006063,,audit_view,4.0
between_model_spread,,recall_fixed_threshold,0.6125223990724149,0.72499209444503,0.11246969537261509,,audit_view,4.0
between_model_spread,,stable_yield_at_1000,0.566,0.654,0.08800000000000008,,audit_view,4.0
between_model_spread,,ap_lift,0.17903406952165513,0.3496876769137366,0.17065360739208146,,common_pool,4.0
between_model_spread,,auprc,0.6962905956260728,0.8669442030181542,0.17065360739208146,,common_pool,4.0
between_model_spread,,auroc,0.720265463928215,0.905830564294464,0.18556510036624896,,common_pool,4.0
between_model_spread,,balanced_accuracy_fixed_threshold,0.6775852489786898,0.7905461076136291,0.11296085863493932,,common_pool,4.0
between_model_spread,,f1_fixed_threshold,0.6505001515610791,0.7716142938937726,0.12111414233269346,,common_pool,4.0
between_model_spread,,precision_fixed_threshold,0.73131389625142,0.867474441499432,0.13616054524801202,,common_pool,4.0
between_model_spread,,recall_fixed_threshold,0.5857697440252335,0.6948319786485503,0.10906223462331677,,common_pool,4.0
between_model_spread,,stable_yield_at_1000,0.761,0.89,0.129,,common_pool,4.0
between_model_spread,,ap_lift,0.14624276409380677,0.2849126394707935,0.13866987537698672,,mp_native,4.0
between_model_spread,,auprc,0.560556268109871,0.6992261434868577,0.13866987537698672,,mp_native,4.0
between_model_spread,,auroc,0.6846385971862986,0.839461847387766,0.15482325020146737,,mp_native,4.0
between_model_spread,,balanced_accuracy_fixed_threshold,0.6499219759564931,0.7428235679325816,0.0929015919760885,,mp_native,4.0
between_model_spread,,f1_fixed_threshold,0.5899280575539568,0.6987504733055661,0.10882241575160922,,mp_native,4.0
between_model_spread,,precision_fixed_threshold,0.5899280575539568,0.6987504733055661,0.10882241575160922,,mp_native,4.0
between_model_spread,,recall_fixed_threshold,0.5899280575539568,0.6987504733055661,0.10882241575160922,,mp_native,4.0
between_model_spread,,stable_yield_at_1000,0.683,0.802,0.119,,mp_native,4.0
