element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Ag,-2.808791399002075,minimum_predicted_energy_among_D2_elemental_entries,,
Al,-3.658244371414185,minimum_predicted_energy_among_D2_elemental_entries,,
As,-4.577264785766602,minimum_predicted_energy_among_D2_elemental_entries,,
Au,-3.2147066593170166,minimum_predicted_energy_among_D2_elemental_entries,,
B,-6.5675554275512695,minimum_predicted_energy_among_D2_elemental_entries,,
Ba,-1.8798774480819704,minimum_predicted_energy_among_D2_elemental_entries,,
Bi,-3.805120468139648,minimum_predicted_energy_among_D2_elemental_entries,,
C,-9.189122200012209,minimum_predicted_energy_among_D2_elemental_entries,,
Ca,-1.9679625034332275,minimum_predicted_energy_among_D2_elemental_entries,,
Ce,-5.896796703338623,minimum_predicted_energy_among_D2_elemental_entries,,
Cl,-1.8706018924713133,minimum_predicted_energy_among_D2_elemental_entries,,
Co,-7.027700424194336,minimum_predicted_energy_among_D2_elemental_entries,,
Cr,-9.52711296081543,minimum_predicted_energy_among_D2_elemental_entries,,
Cs,-0.867690920829773,minimum_predicted_energy_among_D2_elemental_entries,,
Er,-4.546461582183838,minimum_predicted_energy_among_D2_elemental_entries,,
Eu,-10.253686904907228,minimum_predicted_energy_among_D2_elemental_entries,,
F,-1.9491081237792969,minimum_predicted_energy_among_D2_elemental_entries,,
Fe,-8.325849533081055,minimum_predicted_energy_among_D2_elemental_entries,,
Ga,-2.987149953842163,minimum_predicted_energy_among_D2_elemental_entries,,
Gd,-14.045214653015137,minimum_predicted_energy_among_D2_elemental_entries,,
Ge,-4.447366714477539,minimum_predicted_energy_among_D2_elemental_entries,,
H,-3.3541200160980225,minimum_predicted_energy_among_D2_elemental_entries,,
Hf,-9.91093635559082,minimum_predicted_energy_among_D2_elemental_entries,,
Hg,-0.2669068276882171,minimum_predicted_energy_among_D2_elemental_entries,,
Ho,-4.563724040985107,minimum_predicted_energy_among_D2_elemental_entries,,
I,-1.5589405298233032,minimum_predicted_energy_among_D2_elemental_entries,,
K,-1.0895371437072754,minimum_predicted_energy_among_D2_elemental_entries,,
La,-4.8944854736328125,minimum_predicted_energy_among_D2_elemental_entries,,
Li,-1.8807857036590576,minimum_predicted_energy_among_D2_elemental_entries,,
Lu,-4.494931697845459,minimum_predicted_energy_among_D2_elemental_entries,,
Mg,-1.5951831340789795,minimum_predicted_energy_among_D2_elemental_entries,,
Mn,-8.727426528930664,minimum_predicted_energy_among_D2_elemental_entries,,
Mo,-10.696203231811523,minimum_predicted_energy_among_D2_elemental_entries,,
N,-8.349923133850098,minimum_predicted_energy_among_D2_elemental_entries,,
Na,-1.294243097305298,minimum_predicted_energy_among_D2_elemental_entries,,
Nd,-4.729692935943604,minimum_predicted_energy_among_D2_elemental_entries,,
Ni,-5.6668548583984375,minimum_predicted_energy_among_D2_elemental_entries,,
O,-4.900284290313721,minimum_predicted_energy_among_D2_elemental_entries,,
Os,-11.168571472167969,minimum_predicted_energy_among_D2_elemental_entries,,
P,-5.375308990478516,minimum_predicted_energy_among_D2_elemental_entries,,
Pb,-3.660455465316773,minimum_predicted_energy_among_D2_elemental_entries,,
Pd,-5.197685718536377,minimum_predicted_energy_among_D2_elemental_entries,,
Pr,-4.747139930725098,minimum_predicted_energy_among_D2_elemental_entries,,
Rb,-0.9662759304046632,minimum_predicted_energy_among_D2_elemental_entries,,
Re,-12.451324462890623,minimum_predicted_energy_among_D2_elemental_entries,,
Rh,-7.30565071105957,minimum_predicted_energy_among_D2_elemental_entries,,
Ru,-9.130279541015623,minimum_predicted_energy_among_D2_elemental_entries,,
S,-4.136333465576172,minimum_predicted_energy_among_D2_elemental_entries,,
Sc,-6.274557113647461,minimum_predicted_energy_among_D2_elemental_entries,,
Se,-3.4980387687683105,minimum_predicted_energy_among_D2_elemental_entries,,
Si,-5.31334114074707,minimum_predicted_energy_among_D2_elemental_entries,,
Sm,-4.68723201751709,minimum_predicted_energy_among_D2_elemental_entries,,
Sn,-3.939810514450073,minimum_predicted_energy_among_D2_elemental_entries,,
Sr,-1.6641775369644165,minimum_predicted_energy_among_D2_elemental_entries,,
Tb,-4.5963454246521,minimum_predicted_energy_among_D2_elemental_entries,,
Te,-3.106510162353516,minimum_predicted_energy_among_D2_elemental_entries,,
Tl,-2.3415002822875977,minimum_predicted_energy_among_D2_elemental_entries,,
Tm,-4.46466064453125,minimum_predicted_energy_among_D2_elemental_entries,,
W,-12.75978946685791,minimum_predicted_energy_among_D2_elemental_entries,,
Y,-6.441082954406738,minimum_predicted_energy_among_D2_elemental_entries,,
