element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Ag,0.330114483833313,minimum_predicted_energy_among_D2_elemental_entries,,
Al,-2.1947412490844727,minimum_predicted_energy_among_D2_elemental_entries,,
As,-2.91944432258606,minimum_predicted_energy_among_D2_elemental_entries,,
Au,-0.426578164100647,minimum_predicted_energy_among_D2_elemental_entries,,
B,-5.835085550944011,minimum_predicted_energy_among_D2_elemental_entries,,
Ba,0.3601584434509277,minimum_predicted_energy_among_D2_elemental_entries,,
Bi,-0.9970861673355104,minimum_predicted_energy_among_D2_elemental_entries,,
C,-7.983968257904053,minimum_predicted_energy_among_D2_elemental_entries,,
Ca,0.6216137409210205,minimum_predicted_energy_among_D2_elemental_entries,,
Ce,-2.9183969497680664,minimum_predicted_energy_among_D2_elemental_entries,,
Cl,0.1673669815063476,minimum_predicted_energy_among_D2_elemental_entries,,
Co,-4.322725296020508,minimum_predicted_energy_among_D2_elemental_entries,,
Cr,-6.3723344802856445,minimum_predicted_energy_among_D2_elemental_entries,,
Cs,1.4243042469024658,minimum_predicted_energy_among_D2_elemental_entries,,
Er,-1.8595329523086548,minimum_predicted_energy_among_D2_elemental_entries,,
Eu,-1.7863097190856934,minimum_predicted_energy_among_D2_elemental_entries,,
F,0.3088418245315552,minimum_predicted_energy_among_D2_elemental_entries,,
Fe,-4.627015113830566,minimum_predicted_energy_among_D2_elemental_entries,,
Ga,0.7009677886962891,minimum_predicted_energy_among_D2_elemental_entries,,
Gd,-1.9518897533416748,minimum_predicted_energy_among_D2_elemental_entries,,
Ge,-0.9282718896865844,minimum_predicted_energy_among_D2_elemental_entries,,
H,-3.1958584785461426,minimum_predicted_energy_among_D2_elemental_entries,,
Hf,-7.477375507354736,minimum_predicted_energy_among_D2_elemental_entries,,
Hg,2.417292594909668,minimum_predicted_energy_among_D2_elemental_entries,,
Ho,-1.880274454752604,minimum_predicted_energy_among_D2_elemental_entries,,
I,0.8822835683822632,minimum_predicted_energy_among_D2_elemental_entries,,
K,1.3428444862365725,minimum_predicted_energy_among_D2_elemental_entries,,
La,-2.533078908920288,minimum_predicted_energy_among_D2_elemental_entries,,
Li,-1.0098063945770264,minimum_predicted_energy_among_D2_elemental_entries,,
Lu,-1.819202184677124,minimum_predicted_energy_among_D2_elemental_entries,,
Mg,1.0973737239837646,minimum_predicted_energy_among_D2_elemental_entries,,
Mn,-5.383971786499023,minimum_predicted_energy_among_D2_elemental_entries,,
Mo,-7.666876316070557,minimum_predicted_energy_among_D2_elemental_entries,,
N,-6.957778930664063,minimum_predicted_energy_among_D2_elemental_entries,,
Na,0.8554344177246094,minimum_predicted_energy_among_D2_elemental_entries,,
Nd,-2.1647961139678955,minimum_predicted_energy_among_D2_elemental_entries,,
Ni,-1.475297451019287,minimum_predicted_energy_among_D2_elemental_entries,,
O,-3.234802722930908,minimum_predicted_energy_among_D2_elemental_entries,,
Os,-7.857549667358398,minimum_predicted_energy_among_D2_elemental_entries,,
P,-3.931863784790039,minimum_predicted_energy_among_D2_elemental_entries,,
Pb,-0.1399450302124023,minimum_predicted_energy_among_D2_elemental_entries,,
Pd,-2.414970874786377,minimum_predicted_energy_among_D2_elemental_entries,,
Pr,-2.262631416320801,minimum_predicted_energy_among_D2_elemental_entries,,
Rb,1.307736873626709,minimum_predicted_energy_among_D2_elemental_entries,,
Re,-9.358898162841797,minimum_predicted_energy_among_D2_elemental_entries,,
Rh,-4.082696914672852,minimum_predicted_energy_among_D2_elemental_entries,,
Ru,-6.013875484466553,minimum_predicted_energy_among_D2_elemental_entries,,
S,-2.463815307617188,minimum_predicted_energy_among_D2_elemental_entries,,
Sc,-3.4703195095062256,minimum_predicted_energy_among_D2_elemental_entries,,
Se,-1.879313786824544,minimum_predicted_energy_among_D2_elemental_entries,,
Si,-3.990167140960693,minimum_predicted_energy_among_D2_elemental_entries,,
Sm,-2.035912036895752,minimum_predicted_energy_among_D2_elemental_entries,,
Sn,-0.5998234748840332,minimum_predicted_energy_among_D2_elemental_entries,,
Sr,0.8901882171630859,minimum_predicted_energy_among_D2_elemental_entries,,
Tb,-1.9259093602498367,minimum_predicted_energy_among_D2_elemental_entries,,
Te,-1.181781530380249,minimum_predicted_energy_among_D2_elemental_entries,,
Tl,1.0925626754760742,minimum_predicted_energy_among_D2_elemental_entries,,
Tm,-1.831990122795105,minimum_predicted_energy_among_D2_elemental_entries,,
W,-9.940689086914062,minimum_predicted_energy_among_D2_elemental_entries,,
Y,-3.851696968078613,minimum_predicted_energy_among_D2_elemental_entries,,
Yb,0.5834825038909912,minimum_predicted_energy_among_D2_elemental_entries,,
