element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Ag,-2.7196070353190103,minimum_predicted_energy_among_D2_elemental_entries,,
Al,-3.728015184402466,minimum_predicted_energy_among_D2_elemental_entries,,
As,-4.288048267364502,minimum_predicted_energy_among_D2_elemental_entries,,
Au,-3.194261074066162,minimum_predicted_energy_among_D2_elemental_entries,,
B,-6.080282847086589,minimum_predicted_energy_among_D2_elemental_entries,,
Ba,-3.193766117095948,minimum_predicted_energy_among_D2_elemental_entries,,
Bi,-3.657070159912109,minimum_predicted_energy_among_D2_elemental_entries,,
C,-9.221399307250977,minimum_predicted_energy_among_D2_elemental_entries,,
Ca,-1.9321717023849487,minimum_predicted_energy_among_D2_elemental_entries,,
Ce,-5.884093761444092,minimum_predicted_energy_among_D2_elemental_entries,,
Cl,-1.768720030784607,minimum_predicted_energy_among_D2_elemental_entries,,
Co,-7.028025627136231,minimum_predicted_energy_among_D2_elemental_entries,,
Cr,-9.384113311767578,minimum_predicted_energy_among_D2_elemental_entries,,
Cs,-0.8191169500350952,minimum_predicted_energy_among_D2_elemental_entries,,
Er,-5.1673784255981445,minimum_predicted_energy_among_D2_elemental_entries,,
Eu,-11.446748733520508,minimum_predicted_energy_among_D2_elemental_entries,,
F,-1.830479860305786,minimum_predicted_energy_among_D2_elemental_entries,,
Fe,-8.147940635681152,minimum_predicted_energy_among_D2_elemental_entries,,
Ga,-2.822492218017578,minimum_predicted_energy_among_D2_elemental_entries,,
Gd,-11.678548812866213,minimum_predicted_energy_among_D2_elemental_entries,,
Ge,-4.301219463348389,minimum_predicted_energy_among_D2_elemental_entries,,
H,-3.387099266052246,minimum_predicted_energy_among_D2_elemental_entries,,
Hf,-9.841687202453612,minimum_predicted_energy_among_D2_elemental_entries,,
Hg,-0.1683408319950103,minimum_predicted_energy_among_D2_elemental_entries,,
Ho,-6.526253700256348,minimum_predicted_energy_among_D2_elemental_entries,,
I,-1.3808715343475342,minimum_predicted_energy_among_D2_elemental_entries,,
K,-0.9605676333109536,minimum_predicted_energy_among_D2_elemental_entries,,
La,-4.86683988571167,minimum_predicted_energy_among_D2_elemental_entries,,
Li,-1.9111703634262085,minimum_predicted_energy_among_D2_elemental_entries,,
Lu,-4.437230428059896,minimum_predicted_energy_among_D2_elemental_entries,,
Mg,-1.5023193359375,minimum_predicted_energy_among_D2_elemental_entries,,
Mn,-8.599259948730468,minimum_predicted_energy_among_D2_elemental_entries,,
Mo,-10.913877487182615,minimum_predicted_energy_among_D2_elemental_entries,,
N,-8.298598289489746,minimum_predicted_energy_among_D2_elemental_entries,,
Na,-1.3100208044052124,minimum_predicted_energy_among_D2_elemental_entries,,
Nd,-6.4512553215026855,minimum_predicted_energy_among_D2_elemental_entries,,
Ni,-5.391807556152344,minimum_predicted_energy_among_D2_elemental_entries,,
O,-4.941127777099609,minimum_predicted_energy_among_D2_elemental_entries,,
Os,-11.14480209350586,minimum_predicted_energy_among_D2_elemental_entries,,
P,-4.918841361999512,minimum_predicted_energy_among_D2_elemental_entries,,
Pb,-3.548283100128174,minimum_predicted_energy_among_D2_elemental_entries,,
Pd,-5.2208757400512695,minimum_predicted_energy_among_D2_elemental_entries,,
Pr,-5.432781219482422,minimum_predicted_energy_among_D2_elemental_entries,,
Rb,-0.7808202505111694,minimum_predicted_energy_among_D2_elemental_entries,,
Re,-12.39466667175293,minimum_predicted_energy_among_D2_elemental_entries,,
Rh,-7.24841833114624,minimum_predicted_energy_among_D2_elemental_entries,,
Ru,-9.192843437194824,minimum_predicted_energy_among_D2_elemental_entries,,
S,-3.6279502868652345,minimum_predicted_energy_among_D2_elemental_entries,,
Sc,-6.215612411499023,minimum_predicted_energy_among_D2_elemental_entries,,
Se,-3.1725082397460938,minimum_predicted_energy_among_D2_elemental_entries,,
Si,-5.215297698974609,minimum_predicted_energy_among_D2_elemental_entries,,
Sm,-9.206928253173828,minimum_predicted_energy_among_D2_elemental_entries,,
Sn,-3.772680997848511,minimum_predicted_energy_among_D2_elemental_entries,,
