model_name,label_view,n,positive_rate,fixed_predicted_positive_n,fixed_predicted_positive_rate,f1_fixed_threshold,precision_fixed_threshold,recall_fixed_threshold,balanced_accuracy_fixed_threshold,auroc,auprc,ap_lift
ALIGNN-FF,consensus,24614,0.3854310554968717,9487,0.3854310554968717,0.6169495098555918,0.6169495098555918,0.6169495098555918,0.6883584066763251,0.7306086148832893,0.5850631366011347,0.19963208110426306
CHGNet,consensus,24614,0.3854310554968717,9487,0.3854310554968717,0.6788236534204701,0.6788236534204701,0.6788236534204701,0.7386978715307546,0.8484511261662605,0.6872462761047501,0.3018152206078784
M3GNet,consensus,24614,0.3854310554968717,9487,0.3854310554968717,0.7255191314430273,0.7255191314430273,0.7255191314430273,0.7766883024174878,0.8399226975703946,0.7007599591261191,0.3153289036292474
MACE-MP,consensus,24614,0.3854310554968717,9487,0.3854310554968717,0.8119531991145779,0.8119531991145779,0.8119531991145779,0.847009190289093,0.9188277488885102,0.8093064954579706,0.42387543996109894
