model,row_id,mp_id,membership_status
ALIGNN-FF,SAS36K-00088,mp-1005761,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00089,mp-10058,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00090,mp-1005831,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00091,mp-1005895,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00092,mp-1006057,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00093,mp-1006068,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00094,mp-1006118,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00095,mp-1006132,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00096,mp-1006146,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00097,mp-1006223,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00098,mp-1006242,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00099,mp-1006246,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00101,mp-1006282,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00102,mp-10063,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00103,mp-1006322,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00104,mp-1006323,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00105,mp-1006324,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00106,mp-1006351,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00107,mp-1006352,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00108,mp-1006372,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00109,mp-10068,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00110,mp-1006885,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00111,mp-1006888,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00112,mp-1006891,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00114,mp-1007,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00115,mp-10074,membership_identifiers_unavailable
