group,element,row_n,element_row_fraction
Mphys retained,Ag,36650,0.0409549795361528
Mphys retained,Al,36650,0.06030013642564802
Mphys retained,As,36650,0.030395634379263303
Mphys retained,Au,36650,0.029113233287858118
Mphys retained,B,36650,0.033124147339699865
Mphys retained,Ba,36650,0.04592087312414734
Mphys retained,Be,36650,0.007858117326057299
Mphys retained,Bi,36650,0.03189631650750341
Mphys retained,Br,36650,0.01787175989085948
Mphys retained,C,36650,0.0296043656207367
Mphys retained,Ca,36650,0.043847203274215554
Mphys retained,Cd,36650,0.03364256480218281
Mphys retained,Ce,36650,0.0338881309686221
Mphys retained,Cl,36650,0.026193724420190995
Mphys retained,Co,36650,0.0452387448840382
Mphys retained,Cr,36650,0.038362892223738065
Mphys retained,Cs,36650,0.03197817189631651
Mphys retained,Cu,36650,0.08242837653478854
Mphys retained,Dy,36650,0.028267394270122783
Mphys retained,Er,36650,0.02867667121418827
Mphys retained,Eu,36650,0.025648021828103683
Mphys retained,F,36650,0.07353342428376534
Mphys retained,Fe,36650,0.06892223738062755
Mphys retained,Ga,36650,0.05124147339699864
Mphys retained,Gd,36650,0.018062755798090042
Mphys retained,Ge,36650,0.054215552523874486
Mphys retained,H,36650,0.024201909959072305
Mphys retained,Hf,36650,0.0191268758526603
Mphys retained,Hg,36650,0.021527967257844473
Mphys retained,Ho,36650,0.027994542974079127
Mphys retained,I,36650,0.019890859481582538
Mphys retained,In,36650,0.04725784447476126
Mphys retained,Ir,36650,0.02412005457025921
Mphys retained,K,36650,0.03765347885402456
Mphys retained,La,36650,0.04496589358799454
Mphys retained,Li,36650,0.10100954979536153
Mphys retained,Lu,36650,0.02291950886766712
Mphys retained,Mg,36650,0.07678035470668486
Mphys retained,Mn,36650,0.06660300136425648
Mphys retained,Mo,36650,0.021282401091405185
Mphys retained,N,36650,0.031705320600272854
Mphys retained,Na,36650,0.03989085948158254
Mphys retained,Nb,36650,0.02824010914051842
Mphys retained,Nd,36650,0.03279672578444748
Mphys retained,Ni,36650,0.07372442019099591
Mphys retained,O,36650,0.2534788540245566
Mphys retained,Os,36650,0.01145975443383356
Mphys retained,P,36650,0.03937244201909959
Mphys retained,Pb,36650,0.022401091405184176
Mphys retained,Pd,36650,0.04130968622100955
Mphys retained,Pr,36650,0.030559345156889496
Mphys retained,Pt,36650,0.027366984993178717
Mphys retained,Rb,36650,0.02791268758526603
Mphys retained,Re,36650,0.009113233287858118
Mphys retained,Rh,36650,0.03298772169167804
Mphys retained,Ru,36650,0.02592087312414734
Mphys retained,S,36650,0.07290586630286494
Mphys retained,Sb,36650,0.040409276944065486
Mphys retained,Sc,36650,0.02461118690313779
Mphys retained,Se,36650,0.04218281036834925
Mphys retained,Si,36650,0.05836289222373806
Mphys retained,Sm,36650,0.031705320600272854
Mphys retained,Sn,36650,0.048185538881309685
Mphys retained,Sr,36650,0.04196452933151432
Mphys retained,Ta,36650,0.019618008185538882
Mphys retained,Tb,36650,0.025948158253751706
Mphys retained,Te,36650,0.033124147339699865
Mphys retained,Ti,36650,0.044447476125511594
Mphys retained,Tl,36650,0.029058663028649387
Mphys retained,Tm,36650,0.0234106412005457
Mphys retained,V,36650,0.04717598908594816
Mphys retained,W,36650,0.01874488403819918
Mphys retained,Y,36650,0.040300136425648024
Mphys retained,Yb,36650,0.01680763983628922
Mphys retained,Zn,36650,0.04646657571623465
Mphys retained,Zr,36650,0.030068212824010915
candidate excluded,Ag,31,0.06451612903225806
candidate excluded,Al,31,0.03225806451612903
candidate excluded,As,31,0.03225806451612903
candidate excluded,Au,31,0.0
candidate excluded,B,31,0.0
candidate excluded,Ba,31,0.0
candidate excluded,Be,31,0.0
candidate excluded,Bi,31,0.0
candidate excluded,Br,31,0.0
candidate excluded,C,31,0.0
candidate excluded,Ca,31,0.16129032258064516
candidate excluded,Cd,31,0.0
candidate excluded,Ce,31,0.16129032258064516
candidate excluded,Cl,31,0.0
candidate excluded,Co,31,0.0
candidate excluded,Cr,31,0.03225806451612903
candidate excluded,Cs,31,0.0
candidate excluded,Cu,31,0.0967741935483871
candidate excluded,Dy,31,0.0
candidate excluded,Er,31,0.0
candidate excluded,Eu,31,0.1935483870967742
candidate excluded,F,31,0.0967741935483871
candidate excluded,Fe,31,0.06451612903225806
candidate excluded,Ga,31,0.0
candidate excluded,Gd,31,0.0
candidate excluded,Ge,31,0.0
candidate excluded,H,31,0.03225806451612903
candidate excluded,Hf,31,0.0
candidate excluded,Hg,31,0.0
candidate excluded,Ho,31,0.0
candidate excluded,I,31,0.03225806451612903
candidate excluded,In,31,0.0
candidate excluded,Ir,31,0.0
candidate excluded,K,31,0.12903225806451613
candidate excluded,La,31,0.03225806451612903
candidate excluded,Li,31,0.12903225806451613
candidate excluded,Lu,31,0.0
candidate excluded,Mg,31,0.2903225806451613
candidate excluded,Mn,31,0.16129032258064516
candidate excluded,Mo,31,0.06451612903225806
candidate excluded,N,31,0.03225806451612903
candidate excluded,Na,31,0.16129032258064516
candidate excluded,Nb,31,0.06451612903225806
candidate excluded,Nd,31,0.0
candidate excluded,Ni,31,0.0
candidate excluded,O,31,0.5161290322580645
candidate excluded,Os,31,0.0
candidate excluded,P,31,0.0
candidate excluded,Pb,31,0.0
candidate excluded,Pd,31,0.0
candidate excluded,Pr,31,0.03225806451612903
candidate excluded,Pt,31,0.0
candidate excluded,Rb,31,0.0
candidate excluded,Re,31,0.0
candidate excluded,Rh,31,0.0
candidate excluded,Ru,31,0.0
candidate excluded,S,31,0.0
candidate excluded,Sb,31,0.03225806451612903
candidate excluded,Sc,31,0.0
candidate excluded,Se,31,0.03225806451612903
candidate excluded,Si,31,0.0
candidate excluded,Sm,31,0.0
candidate excluded,Sn,31,0.03225806451612903
candidate excluded,Sr,31,0.06451612903225806
candidate excluded,Ta,31,0.0
candidate excluded,Tb,31,0.0
candidate excluded,Te,31,0.0
candidate excluded,Ti,31,0.0
candidate excluded,Tl,31,0.0
candidate excluded,Tm,31,0.0
candidate excluded,V,31,0.06451612903225806
candidate excluded,W,31,0.12903225806451613
candidate excluded,Y,31,0.0
candidate excluded,Yb,31,0.0
candidate excluded,Zn,31,0.0
candidate excluded,Zr,31,0.0
