denominator,metric,label_view_a,label_view_b,common_model_n,rank_inversion_count,top_model_a,top_model_b,top_model_inversion,example_inversions
D5_family_complete,stable_yield@100,alexmp20_native,uncertain,12,44,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,common_pool,12,13,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->random_baseline;CHGNet<->MP_common_pool_public_hull_rank;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,consensus,12,9,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;CHGNet<->MP_common_pool_public_hull_rank;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank;MACE-MP<->MP_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,mp_native,12,3,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->random_baseline;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@100,audit_view,uncertain,12,46,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,stable_yield@100,common_pool,consensus,12,3,MP_common_pool_public_hull_rank,MP_common_pool_public_hull_rank,False,ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->MACE-MP
D5_family_complete,stable_yield@100,common_pool,mp_native,12,11,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;CHGNet<->MP_common_pool_public_hull_rank;CHGNet<->official_Alexandria_PBE_common_pool_public_hull_rank;M3GNet<->MP_common_pool_public_hull_rank;M3GNet<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,common_pool,uncertain,12,23,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MP_source_native_public_hull_rank
D5_family_complete,stable_yield@100,consensus,mp_native,12,12,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->official_Alexandria_PBE_common_pool_public_hull_rank;ALIGNN-FF<->prevalence_dummy;ALIGNN-FF<->random_baseline;CHGNet<->MACE-MP;CHGNet<->MP_common_pool_public_hull_rank
D5_family_complete,stable_yield@100,consensus,uncertain,12,23,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MP_source_native_public_hull_rank;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy
