denominator,model_a,model_b,label_view,metric,pairwise_n,metric_value_a,metric_value_b,margin_a_minus_b,winner,metric_status_a,metric_status_b
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@100,36801,0.876502135348226,1.1485200394218134,-0.2720179040735874,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@1000,36801,0.9037039257555847,0.9701971911957951,-0.06649326544021039,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@10000,36801,0.882244735545335,0.862296755913272,0.019947979632062962,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@300,36801,0.6649326544021025,0.9973989816031538,-0.3324663272010513,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@500,36801,0.7193362352168199,0.985309296977661,-0.2659730617608411,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,DAF@5000,36801,0.874688682654402,0.8861738830486203,-0.011485200394218298,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,auprc,36801,0.31274951213680524,0.3147672985817327,-0.0020177864449274496,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,auroc,36801,0.48277771867099795,0.48128657857347734,0.0014911400975206046,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,balanced_accuracy,36801,0.47087684852284933,0.4687289350107059,0.00214791351214344,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,f1,36801,0.2918856767411301,0.28901116951379763,0.0028745072273324568,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@100,36801,0.71,0.62,0.08999999999999997,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@1000,36801,0.7010000000000001,0.679,0.02200000000000002,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@10000,36801,0.7081,0.7147,-0.00660000000000005,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@300,36801,0.78,0.6699999999999999,0.1100000000000001,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@500,36801,0.762,0.6739999999999999,0.08800000000000008,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,false_positive_burden@5000,36801,0.7106,0.7068,0.0038000000000000256,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,precision,36801,0.2918856767411301,0.28901116951379763,0.0028745072273324568,ALIGNN-FF,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,precision@100,36801,0.29,0.38,-0.09000000000000002,CHGNet,ok,ok
D5_pairwise_complete,ALIGNN-FF,CHGNet,alex_pbe_native,precision@1000,36801,0.299,0.321,-0.02200000000000002,CHGNet,ok,ok
