denominator,metric,label_view_a,label_view_b,common_model_n,spearman_rank_correlation,kendall_tau_b,discordant_pair_fraction,metric_status
D5_family_complete,auprc,alex_pbe_native,alexmp20_native,12,0.9720279720279721,0.9090909090909091,0.045454545454545456,ok
D5_family_complete,auprc,alex_pbe_native,audit_view,12,0.9580419580419581,0.8484848484848485,0.07575757575757576,ok
D5_family_complete,auprc,alex_pbe_native,common_pool,12,0.7622377622377624,0.5757575757575758,0.21212121212121213,ok
D5_family_complete,auprc,alex_pbe_native,consensus,12,0.9426479189556485,0.9285714285714286,0.030303030303030304,ok
D5_family_complete,auprc,alex_pbe_native,mp_native,12,0.9300699300699302,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,auprc,alex_pbe_native,uncertain,12,0.3636363636363637,0.36363636363636365,0.3181818181818182,ok
D5_family_complete,auprc,alexmp20_native,audit_view,12,0.9440559440559443,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,auprc,alexmp20_native,common_pool,12,0.7552447552447553,0.5454545454545454,0.22727272727272727,ok
D5_family_complete,auprc,alexmp20_native,consensus,12,0.9208945054412873,0.8928571428571429,0.045454545454545456,ok
D5_family_complete,auprc,alexmp20_native,mp_native,12,0.9580419580419581,0.9090909090909091,0.045454545454545456,ok
D5_family_complete,auprc,alexmp20_native,uncertain,12,0.43356643356643365,0.3939393939393939,0.30303030303030304,ok
D5_family_complete,auprc,audit_view,common_pool,12,0.7552447552447553,0.5454545454545454,0.22727272727272727,ok
D5_family_complete,auprc,audit_view,consensus,12,0.9353967811175282,0.9285714285714286,0.030303030303030304,ok
D5_family_complete,auprc,audit_view,mp_native,12,0.9020979020979022,0.7272727272727273,0.13636363636363635,ok
D5_family_complete,auprc,audit_view,uncertain,12,0.2797202797202798,0.21212121212121213,0.3939393939393939,ok
D5_family_complete,auprc,common_pool,consensus,12,0.8773876784125652,0.8571428571428571,0.06060606060606061,ok
D5_family_complete,auprc,common_pool,mp_native,12,0.7972027972027973,0.6363636363636364,0.18181818181818182,ok
D5_family_complete,auprc,common_pool,uncertain,12,0.7622377622377624,0.6666666666666666,0.16666666666666666,ok
D5_family_complete,auprc,consensus,mp_native,12,0.9208945054412874,0.8928571428571429,0.045454545454545456,ok
D5_family_complete,auprc,consensus,uncertain,12,0.4930773729921854,0.5,0.21212121212121213,ok
D5_family_complete,auprc,mp_native,uncertain,12,0.5314685314685316,0.48484848484848486,0.25757575757575757,ok
D5_family_complete,auroc,alex_pbe_native,alexmp20_native,12,0.9720279720279721,0.8787878787878788,0.06060606060606061,ok
D5_family_complete,auroc,alex_pbe_native,audit_view,12,0.9090909090909092,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,auroc,alex_pbe_native,common_pool,12,0.8266212326392487,0.6615384615384615,0.16666666666666666,ok
D5_family_complete,auroc,alex_pbe_native,consensus,12,0.9218856948317323,0.9215686274509803,0.030303030303030304,ok
D5_family_complete,auroc,alex_pbe_native,mp_native,12,0.9370629370629372,0.7878787878787878,0.10606060606060606,ok
D5_family_complete,auroc,alex_pbe_native,uncertain,12,0.6363636363636365,0.45454545454545453,0.2727272727272727,ok
D5_family_complete,auroc,alexmp20_native,audit_view,12,0.8531468531468532,0.696969696969697,0.15151515151515152,ok
D5_family_complete,auroc,alexmp20_native,common_pool,12,0.8651501883978578,0.7230769230769231,0.13636363636363635,ok
D5_family_complete,auroc,alexmp20_native,consensus,12,0.9368150178249588,1.0,0.0,ok
D5_family_complete,auroc,alexmp20_native,mp_native,12,0.9720279720279721,0.9090909090909091,0.045454545454545456,ok
D5_family_complete,auroc,alexmp20_native,uncertain,12,0.7272727272727274,0.5757575757575758,0.21212121212121213,ok
D5_family_complete,auroc,audit_view,common_pool,12,0.7390554240969553,0.5076923076923077,0.24242424242424243,ok
D5_family_complete,auroc,audit_view,consensus,12,0.9069563718385057,0.8823529411764706,0.045454545454545456,ok
D5_family_complete,auroc,audit_view,mp_native,12,0.8391608391608393,0.6666666666666666,0.16666666666666666,ok
D5_family_complete,auroc,audit_view,uncertain,12,0.3706293706293707,0.2727272727272727,0.36363636363636365,ok
D5_family_complete,auroc,common_pool,consensus,12,0.9309793678437817,0.9607843137254902,0.015151515151515152,ok
D5_family_complete,auroc,common_pool,mp_native,12,0.886165982448008,0.7846153846153846,0.10606060606060606,ok
D5_family_complete,auroc,common_pool,uncertain,12,0.8441343943477073,0.7846153846153846,0.10606060606060606,ok
D5_family_complete,auroc,consensus,mp_native,12,0.9368150178249588,1.0,0.0,ok
D5_family_complete,auroc,consensus,uncertain,12,0.6680872039468829,0.7647058823529411,0.09090909090909091,ok
D5_family_complete,auroc,mp_native,uncertain,12,0.7412587412587414,0.6060606060606061,0.19696969696969696,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,alexmp20_native,12,0.965034965034965,0.8484848484848485,0.07575757575757576,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,audit_view,12,0.9300699300699302,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,common_pool,12,0.6690027772631207,0.4461538461538462,0.2727272727272727,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,consensus,12,0.8845623873486662,0.8431372549019608,0.06060606060606061,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,mp_native,12,0.8601398601398602,0.6666666666666666,0.16666666666666666,ok
D5_family_complete,balanced_accuracy,alex_pbe_native,uncertain,12,-0.16783216783216784,0.06060606060606061,0.4696969696969697,ok
D5_family_complete,balanced_accuracy,alexmp20_native,audit_view,12,0.9230769230769231,0.7878787878787878,0.10606060606060606,ok
D5_family_complete,balanced_accuracy,alexmp20_native,common_pool,12,0.7390554240969553,0.5692307692307692,0.21212121212121213,ok
D5_family_complete,balanced_accuracy,alexmp20_native,consensus,12,0.914421033335119,0.9215686274509803,0.030303030303030304,ok
D5_family_complete,balanced_accuracy,alexmp20_native,mp_native,12,0.9370629370629372,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,balanced_accuracy,alexmp20_native,uncertain,12,-0.10489510489510491,0.09090909090909091,0.45454545454545453,ok
D5_family_complete,balanced_accuracy,audit_view,common_pool,12,0.7320501594135719,0.47692307692307695,0.25757575757575757,ok
D5_family_complete,balanced_accuracy,audit_view,consensus,12,0.9293503563283455,0.9607843137254902,0.015151515151515152,ok
D5_family_complete,balanced_accuracy,audit_view,mp_native,12,0.8601398601398602,0.7272727272727273,0.13636363636363635,ok
D5_family_complete,balanced_accuracy,audit_view,uncertain,12,-0.2377622377622378,-0.12121212121212122,0.5606060606060606,ok
D5_family_complete,balanced_accuracy,common_pool,consensus,12,0.9160238759908694,0.9215686274509803,0.030303030303030304,ok
D5_family_complete,balanced_accuracy,common_pool,mp_native,12,0.8721554530812412,0.7538461538461538,0.12121212121212122,ok
D5_family_complete,balanced_accuracy,common_pool,uncertain,12,0.325744807777331,0.2923076923076923,0.3484848484848485,ok
D5_family_complete,balanced_accuracy,consensus,mp_native,12,0.9368150178249588,1.0,0.0,ok
D5_family_complete,balanced_accuracy,consensus,uncertain,12,0.085843607211052,0.17647058823529413,0.3181818181818182,ok
D5_family_complete,balanced_accuracy,mp_native,uncertain,12,0.11188811188811189,0.15151515151515152,0.42424242424242425,ok
D5_family_complete,f1,alex_pbe_native,alexmp20_native,12,0.965034965034965,0.8484848484848485,0.07575757575757576,ok
D5_family_complete,f1,alex_pbe_native,audit_view,12,0.9300699300699302,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,f1,alex_pbe_native,common_pool,12,0.6690027772631207,0.4461538461538462,0.2727272727272727,ok
D5_family_complete,f1,alex_pbe_native,consensus,12,0.8845623873486662,0.8431372549019608,0.06060606060606061,ok
D5_family_complete,f1,alex_pbe_native,mp_native,12,0.8601398601398602,0.6666666666666666,0.16666666666666666,ok
D5_family_complete,f1,alex_pbe_native,uncertain,12,-0.16783216783216784,0.06060606060606061,0.4696969696969697,ok
D5_family_complete,f1,alexmp20_native,audit_view,12,0.9230769230769231,0.7878787878787878,0.10606060606060606,ok
D5_family_complete,f1,alexmp20_native,common_pool,12,0.7390554240969553,0.5692307692307692,0.21212121212121213,ok
D5_family_complete,f1,alexmp20_native,consensus,12,0.914421033335119,0.9215686274509803,0.030303030303030304,ok
D5_family_complete,f1,alexmp20_native,mp_native,12,0.9370629370629372,0.8181818181818182,0.09090909090909091,ok
D5_family_complete,f1,alexmp20_native,uncertain,12,-0.10489510489510491,0.09090909090909091,0.45454545454545453,ok
D5_family_complete,f1,audit_view,common_pool,12,0.7320501594135719,0.47692307692307695,0.25757575757575757,ok
D5_family_complete,f1,audit_view,consensus,12,0.9293503563283455,0.9607843137254902,0.015151515151515152,ok
D5_family_complete,f1,audit_view,mp_native,12,0.8601398601398602,0.7272727272727273,0.13636363636363635,ok
D5_family_complete,f1,audit_view,uncertain,12,-0.2377622377622378,-0.12121212121212122,0.5606060606060606,ok
