denominator,metric,label_view_a,label_view_b,common_model_n,rank_inversion_count,top_model_a,top_model_b,top_model_inversion,example_inversions
D5_family_complete,auprc,alex_pbe_native,alexmp20_native,12,3,official_Alexandria_PBE_source_native_public_hull_rank,MatterGen_alex_mp20_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auprc,alex_pbe_native,audit_view,12,5,official_Alexandria_PBE_source_native_public_hull_rank,consensus_oracle_proxy,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank;prevalence_dummy<->random_baseline
D5_family_complete,auprc,alex_pbe_native,common_pool,12,14,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,auprc,alex_pbe_native,consensus,12,2,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline
D5_family_complete,auprc,alex_pbe_native,mp_native,12,6,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,auprc,alex_pbe_native,uncertain,12,21,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,auprc,alexmp20_native,audit_view,12,6,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auprc,alexmp20_native,common_pool,12,15,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,auprc,alexmp20_native,consensus,12,3,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,auprc,alexmp20_native,mp_native,12,3,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
