denominator,metric,label_view_a,label_view_b,family_rank_inversion_count,common_family_n
D5_family_complete,auprc,alex_pbe_native,alexmp20_native,0,6
D5_family_complete,auprc,alex_pbe_native,audit_view,4,6
D5_family_complete,auprc,alex_pbe_native,common_pool,2,6
D5_family_complete,auprc,alex_pbe_native,consensus,2,6
D5_family_complete,auprc,alex_pbe_native,mp_native,0,6
D5_family_complete,auprc,alex_pbe_native,uncertain,4,6
D5_family_complete,auprc,alexmp20_native,audit_view,4,6
D5_family_complete,auprc,alexmp20_native,common_pool,2,6
D5_family_complete,auprc,alexmp20_native,consensus,2,6
D5_family_complete,auprc,alexmp20_native,mp_native,0,6
D5_family_complete,auprc,alexmp20_native,uncertain,4,6
D5_family_complete,auprc,audit_view,common_pool,2,6
D5_family_complete,auprc,audit_view,consensus,1,6
D5_family_complete,auprc,audit_view,mp_native,4,6
D5_family_complete,auprc,audit_view,uncertain,8,6
D5_family_complete,auprc,common_pool,consensus,0,6
D5_family_complete,auprc,common_pool,mp_native,2,6
D5_family_complete,auprc,common_pool,uncertain,6,6
D5_family_complete,auprc,consensus,mp_native,2,6
D5_family_complete,auprc,consensus,uncertain,6,6
D5_family_complete,auprc,mp_native,uncertain,4,6
D5_family_complete,auroc,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,auroc,alex_pbe_native,audit_view,2,6
D5_family_complete,auroc,alex_pbe_native,common_pool,1,6
D5_family_complete,auroc,alex_pbe_native,consensus,1,6
D5_family_complete,auroc,alex_pbe_native,mp_native,1,6
D5_family_complete,auroc,alex_pbe_native,uncertain,5,6
D5_family_complete,auroc,alexmp20_native,audit_view,3,6
D5_family_complete,auroc,alexmp20_native,common_pool,0,6
D5_family_complete,auroc,alexmp20_native,consensus,0,6
D5_family_complete,auroc,alexmp20_native,mp_native,0,6
D5_family_complete,auroc,alexmp20_native,uncertain,4,6
D5_family_complete,auroc,audit_view,common_pool,3,6
D5_family_complete,auroc,audit_view,consensus,2,6
D5_family_complete,auroc,audit_view,mp_native,3,6
D5_family_complete,auroc,audit_view,uncertain,7,6
D5_family_complete,auroc,common_pool,consensus,0,6
D5_family_complete,auroc,common_pool,mp_native,0,6
D5_family_complete,auroc,common_pool,uncertain,4,6
D5_family_complete,auroc,consensus,mp_native,0,6
D5_family_complete,auroc,consensus,uncertain,4,6
D5_family_complete,auroc,mp_native,uncertain,4,6
D5_family_complete,balanced_accuracy,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,balanced_accuracy,alex_pbe_native,audit_view,3,6
D5_family_complete,balanced_accuracy,alex_pbe_native,common_pool,3,6
D5_family_complete,balanced_accuracy,alex_pbe_native,consensus,2,6
D5_family_complete,balanced_accuracy,alex_pbe_native,mp_native,2,6
D5_family_complete,balanced_accuracy,alex_pbe_native,uncertain,4,6
D5_family_complete,balanced_accuracy,alexmp20_native,audit_view,2,6
D5_family_complete,balanced_accuracy,alexmp20_native,common_pool,2,6
D5_family_complete,balanced_accuracy,alexmp20_native,consensus,1,6
