cutoff_mev_atom,pair,n,conflict_n,conflict_fraction,ci_low_95,ci_high_95,evidence_scope,sensitivity_rule
0,MP-JARVIS,23300,4728,0.20291845493562233,0.19777033913692063,0.2081407787441714,multiple_match_tie_break_sensitivity,single_match_primary
0,alex-mp-20-JARVIS,23300,5702,0.24472103004291845,0.23921141862503048,0.2502943851295968,multiple_match_tie_break_sensitivity,single_match_primary
0,MP-alex-mp-20,23300,3040,0.13047210300429185,0.12617208043100947,0.1348645276948282,multiple_match_tie_break_sensitivity,single_match_primary
1,MP-JARVIS,23300,4718,0.2024892703862661,0.1973452831795296,0.20770757312932822,multiple_match_tie_break_sensitivity,single_match_primary
1,alex-mp-20-JARVIS,23300,5624,0.2413733905579399,0.23588994541475547,0.24692141682894653,multiple_match_tie_break_sensitivity,single_match_primary
1,MP-alex-mp-20,23300,2978,0.12781115879828325,0.12354925081652912,0.13216613961482904,multiple_match_tie_break_sensitivity,single_match_primary
5,MP-JARVIS,23300,4642,0.1992274678111588,0.19411515722739794,0.204414911203578,multiple_match_tie_break_sensitivity,single_match_primary
5,alex-mp-20-JARVIS,23300,5442,0.23356223175965665,0.22814163815731608,0.2390493608894428,multiple_match_tie_break_sensitivity,single_match_primary
5,MP-alex-mp-20,23300,2868,0.1230901287553648,0.1188973570603643,0.12737716391855872,multiple_match_tie_break_sensitivity,single_match_primary
10,MP-JARVIS,23300,4406,0.18909871244635193,0.1840882281595887,0.19418686823757045,multiple_match_tie_break_sensitivity,single_match_primary
10,alex-mp-20-JARVIS,23300,5052,0.21682403433476394,0.21154695370830576,0.22217184020861813,multiple_match_tie_break_sensitivity,single_match_primary
10,MP-alex-mp-20,23300,2706,0.11613733905579399,0.11205009094792012,0.12032060577781549,multiple_match_tie_break_sensitivity,single_match_primary
25,MP-JARVIS,23300,3655,0.15686695278969956,0.15221885782851743,0.16160080848991198,multiple_match_tie_break_sensitivity,single_match_primary
25,alex-mp-20-JARVIS,23300,4019,0.1724892703862661,0.1676578081290368,0.17740257036328713,multiple_match_tie_break_sensitivity,single_match_primary
25,MP-alex-mp-20,23300,2214,0.09502145922746781,0.09128537589362647,0.09885890713548418,multiple_match_tie_break_sensitivity,single_match_primary
0,MP-JARVIS,28273,6397,0.22625826760513565,0.221391793538304,0.2311810538737799,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
0,alex-mp-20-JARVIS,28273,7533,0.2664379443285113,0.26129124709303,0.27163267600693847,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
0,MP-alex-mp-20,28273,3630,0.1283910444593782,0.12451235285659189,0.1323462722045134,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
1,MP-JARVIS,28273,6272,0.2218370883882149,0.21700517458955357,0.22672622580457802,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
1,alex-mp-20-JARVIS,28273,7363,0.2604251405934991,0.25531670053084843,0.2655828533316588,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
1,MP-alex-mp-20,28273,3605,0.12750680861599406,0.1236396874663509,0.13145064937269935,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
5,MP-JARVIS,28273,6075,0.21486930994234782,0.2100934820779022,0.21970379809317794,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
5,alex-mp-20-JARVIS,28273,7013,0.24804583878612105,0.24302012056065672,0.25312337951727937,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
5,MP-alex-mp-20,28273,3456,0.12223676298942454,0.11843989451981081,0.12611144497872714,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
10,MP-JARVIS,28273,5721,0.2023485304000283,0.19767866862697084,0.20707963502541354,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
10,alex-mp-20-JARVIS,28273,6464,0.22862801966540516,0.22374334244486932,0.23356852062213418,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
10,MP-alex-mp-20,28273,3237,0.11449085700137941,0.11080146564419294,0.11825967129073386,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
25,MP-JARVIS,28273,4768,0.1686414600502246,0.16429344672991367,0.17305767626930885,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
25,alex-mp-20-JARVIS,28273,5118,0.18102076185760266,0.17654792032444153,0.1855592486558428,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
25,MP-alex-mp-20,28273,2622,0.09273865525412939,0.08938183620288821,0.09617942987394038,multiple_match_tie_break_sensitivity,include_multiple_lowest_jarvis_ehull
0,MP-JARVIS,28273,6281,0.2221554132918332,0.21732098482271042,0.2270469997522806,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
0,alex-mp-20-JARVIS,28273,7341,0.25964701305132104,0.254543614415806,0.2647998446159655,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
0,MP-alex-mp-20,28273,3630,0.1283910444593782,0.12451235285659189,0.1323462722045134,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
1,MP-JARVIS,28273,6221,0.22003324726771126,0.21521566121936825,0.22490842882987647,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
1,alex-mp-20-JARVIS,28273,7236,0.2559332225091076,0.2508541746826392,0.2610624681500158,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
1,MP-alex-mp-20,28273,3605,0.12750680861599406,0.1236396874663509,0.13145064937269935,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
5,MP-JARVIS,28273,6099,0.2157181763519966,0.2109354078778828,0.22055943006796316,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
5,alex-mp-20-JARVIS,28273,7007,0.24783362218370883,0.24280936960914024,0.2529097409819571,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
5,MP-alex-mp-20,28273,3456,0.12223676298942454,0.11843989451981081,0.12611144497872714,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
10,MP-JARVIS,28273,5792,0.20485976019523927,0.20016809558751616,0.20961214957960278,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
10,alex-mp-20-JARVIS,28273,6507,0.2301489053160259,0.22525266203699693,0.2351006588573725,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
10,MP-alex-mp-20,28273,3237,0.11449085700137941,0.11080146564419294,0.11825967129073386,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
25,MP-JARVIS,28273,4835,0.1710112121104941,0.16663866667623886,0.17545147068636205,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
25,alex-mp-20-JARVIS,28273,5211,0.18431011919499168,0.17980545156225117,0.18887975280524325,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
25,MP-alex-mp-20,28273,2622,0.09273865525412939,0.08938183620288821,0.09617942987394038,multiple_match_tie_break_sensitivity,include_multiple_first_jarvis_identifier
