cutoff_mev_atom,pair,n,conflict_n,conflict_fraction,ci_low_95,ci_high_95,evidence_scope
0,MP-JARVIS,23300,4728,0.20291845493562233,0.19777033913692063,0.2081407787441714,triple_exact_match_conflict_rate_result
0,alex-mp-20-JARVIS,23300,5702,0.24472103004291845,0.23921141862503048,0.2502943851295968,triple_exact_match_conflict_rate_result
0,MP-alex-mp-20,23300,3040,0.13047210300429185,0.12617208043100947,0.1348645276948282,triple_exact_match_conflict_rate_result
1,MP-JARVIS,23300,4718,0.2024892703862661,0.1973452831795296,0.20770757312932822,triple_exact_match_conflict_rate_result
1,alex-mp-20-JARVIS,23300,5624,0.2413733905579399,0.23588994541475547,0.24692141682894653,triple_exact_match_conflict_rate_result
1,MP-alex-mp-20,23300,2978,0.12781115879828325,0.12354925081652912,0.13216613961482904,triple_exact_match_conflict_rate_result
5,MP-JARVIS,23300,4642,0.1992274678111588,0.19411515722739794,0.204414911203578,triple_exact_match_conflict_rate_result
5,alex-mp-20-JARVIS,23300,5442,0.23356223175965665,0.22814163815731608,0.2390493608894428,triple_exact_match_conflict_rate_result
5,MP-alex-mp-20,23300,2868,0.1230901287553648,0.1188973570603643,0.12737716391855872,triple_exact_match_conflict_rate_result
10,MP-JARVIS,23300,4406,0.18909871244635193,0.1840882281595887,0.19418686823757045,triple_exact_match_conflict_rate_result
10,alex-mp-20-JARVIS,23300,5052,0.21682403433476394,0.21154695370830576,0.22217184020861813,triple_exact_match_conflict_rate_result
10,MP-alex-mp-20,23300,2706,0.11613733905579399,0.11205009094792012,0.12032060577781549,triple_exact_match_conflict_rate_result
25,MP-JARVIS,23300,3655,0.15686695278969956,0.15221885782851743,0.16160080848991198,triple_exact_match_conflict_rate_result
25,alex-mp-20-JARVIS,23300,4019,0.1724892703862661,0.1676578081290368,0.17740257036328713,triple_exact_match_conflict_rate_result
25,MP-alex-mp-20,23300,2214,0.09502145922746781,0.09128537589362647,0.09885890713548418,triple_exact_match_conflict_rate_result
