support,threshold_meV_per_atom,endpoint_a,endpoint_b,switch_rate_ci_low_95,switch_rate_median,switch_rate_ci_high_95
D2_native_full,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.10130228164957931,0.10479517756711479,0.10853851900612901
D2_native_full,0,mp_source_coordinate,alex_pbe_source_coordinate,0.1491413216740631,0.15407669635035812,0.15906852333240837
D2_native_full,0,mp_source_coordinate,alexmp20_source_coordinate,0.11148205656857238,0.11533723317327041,0.11940009418708866
D2_native_full,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.08664584097476988,0.08995581251205767,0.09357968172901346
D2_native_full,10,mp_source_coordinate,alex_pbe_source_coordinate,0.12845769476928265,0.13273318449105376,0.13708288851928246
D2_native_full,10,mp_source_coordinate,alexmp20_source_coordinate,0.10250289897170073,0.1066481280939125,0.11084447718860609
D2_native_full,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.07783082739418445,0.08116976494704514,0.08466550592353729
D2_native_full,25,mp_source_coordinate,alex_pbe_source_coordinate,0.1089151855530645,0.11336348826439777,0.11768288153309978
D2_native_full,25,mp_source_coordinate,alexmp20_source_coordinate,0.08480569973850778,0.08851558652179474,0.09245464491392164
D2_native_full,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.06228663834291264,0.06580070200237297,0.06931417203100716
D2_native_full,50,mp_source_coordinate,alex_pbe_source_coordinate,0.08504529654977917,0.08938080947371922,0.09403110971879923
D2_native_full,50,mp_source_coordinate,alexmp20_source_coordinate,0.06178399681672694,0.06508117816924083,0.06834612234650103
D2_reconstructable,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.10128170083229146,0.10492967004045643,0.1086359059992254
D2_reconstructable,0,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.12908211179333828,0.1332700984859908,0.138160529689218
D2_reconstructable,0,mp_source_coordinate,alex_pbe_source_coordinate,0.14923544080322249,0.15412871298305092,0.158967772459406
D2_reconstructable,0,mp_source_coordinate,alexmp20_source_coordinate,0.11143235535388459,0.11553242212110584,0.11961659138268475
D2_reconstructable,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.08672197392714857,0.09009405587516953,0.0936665229031378
D2_reconstructable,10,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.12622291206498576,0.13044180475958977,0.13460959785575438
D2_reconstructable,10,mp_source_coordinate,alex_pbe_source_coordinate,0.12860232220266468,0.13275237366976195,0.13723282391241515
D2_reconstructable,10,mp_source_coordinate,alexmp20_source_coordinate,0.10250560455557603,0.10678116354504955,0.11062700846093736
D2_reconstructable,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.07789626733112452,0.08121145022703498,0.0848958256766758
D2_reconstructable,25,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.11279490153837655,0.11716687616105273,0.12129838077433229
D2_reconstructable,25,mp_source_coordinate,alex_pbe_source_coordinate,0.10900626185633418,0.11339780062909267,0.11778542075195315
D2_reconstructable,25,mp_source_coordinate,alexmp20_source_coordinate,0.08473393724616783,0.08864546972692992,0.09228509358189867
D2_reconstructable,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.06213076763857303,0.06565067566435029,0.06947056563846452
D2_reconstructable,50,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.08830176624498376,0.09282077813289749,0.09768848994384363
D2_reconstructable,50,mp_source_coordinate,alex_pbe_source_coordinate,0.08514614768630913,0.08921689322762827,0.09360267606060048
D2_reconstructable,50,mp_source_coordinate,alexmp20_source_coordinate,0.061850483401803664,0.06501941685946852,0.06843993658303774
