support,indeterminate_width_meV_per_atom,endpoint_a,endpoint_b,any_indeterminate_fraction_ci_low_95,any_indeterminate_fraction_median,any_indeterminate_fraction_ci_high_95,robust_conflict_rate_full_support_ci_low_95,robust_conflict_rate_full_support_median,robust_conflict_rate_full_support_ci_high_95,robust_conflict_rate_decisive_support_ci_low_95,robust_conflict_rate_decisive_support_median,robust_conflict_rate_decisive_support_ci_high_95
D2_native_full,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.1989428102817076,0.20425281120461303,0.20988521801512994,0.033812716140977056,0.03583973342345706,0.03796428881200209,0.042504528030174966,0.04503320036093896,0.04772092744616336
D2_native_full,10,mp_source_coordinate,alex_pbe_source_coordinate,0.20314529211212015,0.20878321018896429,0.21435320928991905,0.06464852220909405,0.06764639271177834,0.07045679847165567,0.08159429146203337,0.0854356917115777,0.08929672997795378
D2_native_full,10,mp_source_coordinate,alexmp20_source_coordinate,0.17314555871026074,0.17836321439267283,0.18331275012312984,0.05442226827137271,0.0570522177081582,0.05990685331515825,0.0661424174588612,0.06946433481059913,0.07305053293725049
D2_native_full,20,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.3129131457982372,0.3196641154145804,0.3265245355970382,0.02022659209120325,0.02169109249913488,0.023383823086630298,0.029592018337031477,0.03190403715207485,0.03452926717668413
D2_native_full,20,mp_source_coordinate,alex_pbe_source_coordinate,0.3186662367221658,0.3258652455527285,0.33314386423061504,0.037550491971832585,0.039552827295665005,0.04184927179643238,0.05546187105031493,0.05869021720313479,0.06213510452658674
D2_native_full,20,mp_source_coordinate,alexmp20_source_coordinate,0.28271545001637705,0.2890434744290995,0.29565538717719436,0.0326902050854823,0.034771076686430036,0.03682911368188662,0.045929747653724776,0.04890315171930605,0.05192377057609148
D2_native_full,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.35478518448140806,0.3621114325531295,0.3688645689210537,0.01627421449613954,0.017784629435805607,0.019272179672872744,0.0254755624165463,0.027860578473135104,0.03027822594697828
D2_native_full,25,mp_source_coordinate,alex_pbe_source_coordinate,0.3624182500352032,0.37019498705131654,0.37737146323783416,0.029715086638560553,0.03164692472931489,0.03350293114010934,0.04707901173981532,0.050255442439321785,0.0534027548135467
D2_native_full,25,mp_source_coordinate,alexmp20_source_coordinate,0.3226687332367897,0.32975120315227335,0.3369390399615242,0.02697535565214808,0.02879073720476351,0.030701730902650826,0.040174605049576755,0.042982825596359894,0.045936048637169165
D2_native_full,30,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.3921746159055443,0.39966617550685446,0.4070235872462475,0.013263591823457934,0.014573052314915676,0.015948325278666683,0.022105942293824295,0.024285696839350175,0.026549240847071703
